prefix,variable,category,n_codes,dst_register,source_tag,lookup_dict,raw_source,intl_standard,en_coverage_pct,da_coverage_pct,official_coverage_pct,dominant_confidence,notes
DEM,Birth,DEM_Birth,1,FAMILY_RELATIONS:RELATION,manual_demographic_events,,,,100,0,0,,
DEM,Death,DEM_Death,1,FAMILY_RELATIONS:RELATION,manual_demographic_events,,,,100,0,0,,
DEM,Indvandret,DEM_Indvandret,1,LIFELINES:EVENT_CAUSE_START,manual_demographic_events,,,,100,0,0,,
DEM,Udvandret,DEM_Udvandret,1,LIFELINES:EVENT_CAUSE_FINAL,manual_demographic_events,,,,100,0,0,,
DEM,birthmonth,DEM_birthmonth,12,LIFELINES:FOED_DAG,manual_update,,,,100,100,0,,
DEM,birthyear,DEM_birthyear,158,LIFELINES:FOED_DAG,manual_update,,,,100,100,0,,
DEM,civst,DEM_civst,7,BEF:CIVST,dst_times_civst (dst.dk/.../moduldata-for-befolkning-og-valg/civst),,DEM_civst.txt,,100,100,0,high,
DEM,familie,DEM_familie,9,BEF:FAMILIE_TYPE,none|generated,,,,100,100,0,high,
DEM,far,DEM_far,15,FERTILITETSDATABASEN:FAR_FOED_ADOP,CSV:DEM_far_foed_adop,DEM_far_dict.csv,DEM_far_foed_adop.txt; DEM_far_foed_adop_en.txt,,100,73,0,,
DEM,female,DEM_female,2,LIFELINES:KOEN,manual_update,,,,100,100,0,,
DEM,fm,DEM_fm,6,BEF:FM_MARK,raw_dem_fm_mark,,DEM_fm_mark.txt,,100,100,0,,
DEM,ie,DEM_ie,4,BEF:IE_TYPE,dst_bef_ie_type,,,,100,100,0,high,
DEM,kom,DEM_kom,356,BEFADR:KOM,CSV:DEM_kom,DEM_kom_dict.csv; DEM_kom_dict.pt,,,100,99,0,high,
DEM,laengde,DEM_laengde,52,FERTILITETSDATABASEN:LAENGDE_BARN,generated:quantile_percentile,DEM_laengde_quantile_dict.csv,,,100,100,0,,
DEM,manual,DEM_manual,3,,none|generated,,,,100,100,0,,
DEM,manual_bin_antboernf,DEM_manual_bin_antboernf,8,BEF:ANTBOERNF,generated_pattern,,,,100,100,0,,
DEM,manual_bin_antefam,DEM_manual_bin_antefam,18,BEF:ANTEFAM,generated_pattern,,,,100,56,0,,
DEM,manual_bin_antpersf,DEM_manual_bin_antpersf,10,BEF:ANTPERSF,generated_pattern,,,,100,100,0,,
DEM,mor,DEM_mor,16,FERTILITETSDATABASEN:MOR_FOED_ADOP,CSV:DEM_mor_foed_adop,DEM_mor_dict.csv,DEM_mor_foed_adop.txt; DEM_mor_foed_adop_en.txt,,100,81,0,,
DEM,n,DEM_n,20,,manual_update,,,,100,100,0,,
DEM,opr,DEM_opr,219,BEF:OPR_LAND,CSV:DEM_opr_land,,,iso3166,100,98,86,,
DEM,relation,DEM_relation,5,FAMILY_RELATIONS:RELATION,dst_family_relations_relation,,,,100,100,0,high,
DEM,statsb,DEM_statsb,214,BEF:STATSB,CSV:DEM_statsb,DEM_statsb_dict.csv; DEM_statsb_dict.pt,,iso3166,100,100,87,,
DEM,unknown,DEM_unknown,1,,manual_demographic_events,,,,100,0,0,,
DEM,vaegt,DEM_vaegt,100,FERTILITETSDATABASEN:VAEGT_BARN,generated:quantile_percentile,DEM_vaegt_quantile_dict.csv,,,100,100,0,,
EDU,afg,EDU_afg,10,KOTRE:AFG_ART,none|dict_fill,,,,100,100,0,high,
EDU,audd,EDU_audd,3758,KOTRE:AUDD / UDG:AUDD / UDKV:AUDD,CSV:EDU_audd,EDU_audd_dict.csv; EDU_audd_dict.pt,EDU_audd_pria_l1lx_k.txt,,100,100,0,,
EDU,course,EDU_course,163,UDFK:GRUNDSKOLEFAG / UDGK:FAG_TXT,manual_update,,,,100,31,0,,
EDU,dageaktiv,EDU_dageaktiv,23,UDD_FOLKESKOLE_FRAVAER_STIL:DAGEAKTIV,none|generated,,,,100,100,0,,
EDU,dageialtfra,EDU_dageialtfra,23,UDD_FOLKESKOLE_FRAVAER_STIL:DAGEIALTFRA,none|generated,,,,100,100,0,,
EDU,dagelovfra,EDU_dagelovfra,23,UDD_FOLKESKOLE_FRAVAER_STIL:DAGELOVFRA,none|generated,,,,100,100,0,,
EDU,dagesyg,EDU_dagesyg,23,UDD_FOLKESKOLE_FRAVAER_STIL:DAGESYG,none|generated,,,,100,100,0,,
EDU,dageulovfra,EDU_dageulovfra,23,UDD_FOLKESKOLE_FRAVAER_STIL:DAGEULOVFRA,none|generated,,,,100,100,0,,
EDU,disced,EDU_disced,790,DISCED-15 (KOTRE:UDD / KOTRE:AUDD),CSV:EDU_disced_compound_start,EDU_disced_dict.csv; EDU_disced_dict.pt,,,100,100,0,,
