category,rows,empty_en,official_en,mojibake,danish_chars_in_en,src_who_icd10,src_who_atc,src_nace2,src_isco08,src_isco88,src_isco08_crosswalk
DEM_Birth,1,0,0,0,0,0,0,0,0,0,0
DEM_Death,1,0,0,0,0,0,0,0,0,0,0
DEM_Indvandret,1,0,0,0,0,0,0,0,0,0,0
DEM_Udvandret,1,0,0,0,0,0,0,0,0,0,0
DEM_birthmonth,12,0,0,0,0,0,0,0,0,0,0
DEM_birthyear,158,0,0,0,0,0,0,0,0,0,0
DEM_civst,7,0,0,0,0,0,0,0,0,0,0
DEM_familie,9,0,0,0,0,0,0,0,0,0,0
DEM_far,15,0,0,0,0,0,0,0,0,0,0
DEM_female,2,0,0,0,0,0,0,0,0,0,0
DEM_fm,6,0,0,0,0,0,0,0,0,0,0
DEM_ie,4,0,0,0,0,0,0,0,0,0,0
DEM_kom,356,0,0,0,129,0,0,0,0,0,0
DEM_laengde,52,0,0,0,0,0,0,0,0,0,0
DEM_manual,3,0,0,0,0,0,0,0,0,0,0
DEM_manual_bin_antboernf,8,0,0,0,0,0,0,0,0,0,0
DEM_manual_bin_antefam,18,0,0,0,0,0,0,0,0,0,0
DEM_manual_bin_antpersf,10,0,0,0,0,0,0,0,0,0,0
DEM_mor,16,0,0,0,0,0,0,0,0,0,0
DEM_n,20,0,0,0,0,0,0,0,0,0,0
DEM_opr,219,0,188,0,0,0,0,0,0,0,0
DEM_relation,5,0,0,0,0,0,0,0,0,0,0
DEM_statsb,214,0,186,0,0,0,0,0,0,0,0
DEM_unknown,1,0,0,0,0,0,0,0,0,0,0
DEM_vaegt,100,0,0,0,0,0,0,0,0,0,0
EDU_afg,10,0,0,0,0,0,0,0,0,0,0
EDU_audd,3758,0,0,0,4,0,0,0,0,0,0
EDU_course,163,0,0,0,0,0,0,0,0,0,0
EDU_dageaktiv,23,0,0,0,0,0,0,0,0,0,0
EDU_dageialtfra,23,0,0,0,0,0,0,0,0,0,0
EDU_dagelovfra,23,0,0,0,0,0,0,0,0,0,0
EDU_dagesyg,23,0,0,0,0,0,0,0,0,0,0
EDU_dageulovfra,23,0,0,0,0,0,0,0,0,0,0
EDU_disced,790,0,0,0,0,0,0,0,0,0,0
EDU_dnt,7,0,0,0,0,0,0,0,0,0,0
EDU_ects,100,0,0,0,0,0,0,0,0,0,0
EDU_fag,16,0,0,0,0,0,0,0,0,0,0
EDU_field,409,0,0,0,0,0,0,0,0,0,0
EDU_grade,143,0,0,0,0,0,0,0,0,0,0
EDU_tilg,8,0,0,0,0,0,0,0,0,0,0
EDU_udd,2416,0,0,0,29,0,0,0,0,0,0
EDU_udel,25,0,0,0,0,0,0,0,0,0,0
EDU_wellbeing,60,0,0,0,0,0,0,0,0,0,0
HEA_,1,0,0,0,0,0,0,0,0,0,0
HEA_DDK,18,0,0,0,0,0,0,0,0,0,0
