code,prefix,database,value,token_id
DEM_far_foed_adop_unknown,DEM,far_foed_adop,unknown,614
DEM_far_foed_adop_21,DEM,far_foed_adop,21,615
DEM_far_foed_adop_33,DEM,far_foed_adop,33,616
DEM_far_foed_adop_39,DEM,far_foed_adop,39,617
DEM_far_foed_adop_99,DEM,far_foed_adop,99,618
DEM_far_foed_adop_31,DEM,far_foed_adop,31,619
DEM_far_foed_adop_0,DEM,far_foed_adop,0,620
DEM_far_foed_adop_11,DEM,far_foed_adop,11,621
DEM_far_foed_adop_32,DEM,far_foed_adop,32,622
DEM_far_foed_adop_12,DEM,far_foed_adop,12,623
DEM_far_foed_adop_14,DEM,far_foed_adop,14,624
DEM_far_foed_adop_35,DEM,far_foed_adop,35,625
DEM_far_foed_adop_15,DEM,far_foed_adop,15,626
DEM_far_foed_adop_2,DEM,far_foed_adop,2,627
DEM_far_foed_adop_1,DEM,far_foed_adop,1,628
