code,prefix,database,value,token_id
DEM_laengde_barn_Q59,DEM,laengde,barn_Q59,766
DEM_laengde_barn_Q68,DEM,laengde,barn_Q68,767
DEM_laengde_barn_Q61,DEM,laengde,barn_Q61,768
DEM_laengde_barn_Q65,DEM,laengde,barn_Q65,769
DEM_laengde_barn_Q63,DEM,laengde,barn_Q63,770
DEM_laengde_barn_Q72,DEM,laengde,barn_Q72,771
DEM_laengde_barn_Q55,DEM,laengde,barn_Q55,772
DEM_laengde_barn_Q67,DEM,laengde,barn_Q67,773
DEM_laengde_barn_Q57,DEM,laengde,barn_Q57,774
DEM_laengde_barn_Q70,DEM,laengde,barn_Q70,775
DEM_laengde_barn_Q74,DEM,laengde,barn_Q74,776
DEM_laengde_barn_Q51,DEM,laengde,barn_Q51,777
DEM_laengde_barn_Q48,DEM,laengde,barn_Q48,778
DEM_laengde_barn_Q76,DEM,laengde,barn_Q76,779
DEM_laengde_barn_Q36,DEM,laengde,barn_Q36,780
DEM_laengde_barn_Q53,DEM,laengde,barn_Q53,781
DEM_laengde_barn_Q42,DEM,laengde,barn_Q42,782
DEM_laengde_barn_Q50,DEM,laengde,barn_Q50,783
DEM_laengde_barn_Q21,DEM,laengde,barn_Q21,784
DEM_laengde_barn_Q31,DEM,laengde,barn_Q31,785
DEM_laengde_barn_Q40,DEM,laengde,barn_Q40,786
DEM_laengde_barn_Q44,DEM,laengde,barn_Q44,787
DEM_laengde_barn_Q17,DEM,laengde,barn_Q17,788
DEM_laengde_barn_Q46,DEM,laengde,barn_Q46,789
DEM_laengde_barn_Q34,DEM,laengde,barn_Q34,790
DEM_laengde_barn_Q33,DEM,laengde,barn_Q33,791
DEM_laengde_barn_Q80,DEM,laengde,barn_Q80,792
DEM_laengde_barn_Q29,DEM,laengde,barn_Q29,793
DEM_laengde_barn_Q78,DEM,laengde,barn_Q78,794
DEM_laengde_barn_Q38,DEM,laengde,barn_Q38,795
DEM_laengde_barn_Q4,DEM,laengde,barn_Q4,796
DEM_laengde_barn_Q23,DEM,laengde,barn_Q23,797
DEM_laengde_barn_Q25,DEM,laengde,barn_Q25,798
DEM_laengde_barn_Q14,DEM,laengde,barn_Q14,799
DEM_laengde_barn_Q16,DEM,laengde,barn_Q16,800
DEM_laengde_barn_Q27,DEM,laengde,barn_Q27,801
DEM_laengde_barn_Q87,DEM,laengde,barn_Q87,802
DEM_laengde_barn_Q19,DEM,laengde,barn_Q19,803
DEM_laengde_barn_Q82,DEM,laengde,barn_Q82,804
DEM_laengde_barn_Q12,DEM,laengde,barn_Q12,805
DEM_laengde_barn_Q85,DEM,laengde,barn_Q85,806
DEM_laengde_barn_Q84,DEM,laengde,barn_Q84,807
DEM_laengde_barn_Q10,DEM,laengde,barn_Q10,808
DEM_laengde_barn_Q8,DEM,laengde,barn_Q8,809
DEM_laengde_barn_Q97,DEM,laengde,barn_Q97,810
DEM_laengde_barn_Q89,DEM,laengde,barn_Q89,811
DEM_laengde_barn_Q6,DEM,laengde,barn_Q6,812
DEM_laengde_barn_Q99,DEM,laengde,barn_Q99,813
DEM_laengde_barn_Q95,DEM,laengde,barn_Q95,814
DEM_laengde_barn_Q91,DEM,laengde,barn_Q91,815
DEM_laengde_barn_Q93,DEM,laengde,barn_Q93,816
DEM_laengde_barn_Q2,DEM,laengde,barn_Q2,817
