code,prefix,database,value,token_id
DEM_manual_bin_antpersf_manual_bin_1,DEM,manual_bin_antpersf,1,1192
DEM_manual_bin_antpersf_manual_bin_2,DEM,manual_bin_antpersf,2,1193
DEM_manual_bin_antpersf_manual_bin_3,DEM,manual_bin_antpersf,3,1194
DEM_manual_bin_antpersf_manual_bin_4,DEM,manual_bin_antpersf,4,1195
DEM_manual_bin_antpersf_manual_bin_6,DEM,manual_bin_antpersf,6,1196
DEM_manual_bin_antpersf_manual_bin_5,DEM,manual_bin_antpersf,5,1197
DEM_manual_bin_antpersf_manual_bin_7,DEM,manual_bin_antpersf,7,1198
DEM_manual_bin_antpersf_manual_bin_8,DEM,manual_bin_antpersf,8,1199
DEM_manual_bin_antpersf_manual_bin_9,DEM,manual_bin_antpersf,9,1200
DEM_manual_bin_antpersf_manual_bin_10,DEM,manual_bin_antpersf,10,1201
