code,prefix,database,value,token_id
DEM_mor_foed_adop_unknown,DEM,mor,foed_adop_unknown,629
DEM_mor_foed_adop_21,DEM,mor,foed_adop_21,630
DEM_mor_foed_adop_33,DEM,mor,foed_adop_33,631
DEM_mor_foed_adop_99,DEM,mor,foed_adop_99,632
DEM_mor_foed_adop_31,DEM,mor,foed_adop_31,633
DEM_mor_foed_adop_32,DEM,mor,foed_adop_32,634
DEM_mor_foed_adop_0,DEM,mor,foed_adop_0,635
DEM_mor_foed_adop_39,DEM,mor,foed_adop_39,636
DEM_mor_foed_adop_35,DEM,mor,foed_adop_35,637
DEM_mor_foed_adop_18,DEM,mor,foed_adop_18,638
DEM_mor_foed_adop_11,DEM,mor,foed_adop_11,639
DEM_mor_foed_adop_12,DEM,mor,foed_adop_12,640
DEM_mor_foed_adop_17,DEM,mor,foed_adop_17,641
DEM_mor_foed_adop_15,DEM,mor,foed_adop_15,642
DEM_mor_foed_adop_14,DEM,mor,foed_adop_14,643
DEM_mor_foed_adop_2,DEM,mor,foed_adop_2,644
