code,prefix,database,value,token_id
DEM_n_siblings_at_birth_0,DEM,n,siblings_at_birth_0,645
DEM_n_siblings_at_birth_4,DEM,n,siblings_at_birth_4,646
DEM_n_siblings_at_birth_2,DEM,n,siblings_at_birth_2,647
DEM_n_siblings_at_birth_1,DEM,n,siblings_at_birth_1,648
DEM_n_siblings_at_birth_3,DEM,n,siblings_at_birth_3,649
DEM_n_siblings_at_birth_6,DEM,n,siblings_at_birth_6,650
DEM_n_siblings_at_birth_9,DEM,n,siblings_at_birth_9,651
DEM_n_siblings_at_birth_5,DEM,n,siblings_at_birth_5,652
DEM_n_siblings_at_birth_7,DEM,n,siblings_at_birth_7,653
DEM_n_siblings_at_birth_10,DEM,n,siblings_at_birth_10,654
DEM_n_siblings_at_birth_8,DEM,n,siblings_at_birth_8,655
DEM_n_siblings_at_birth_13,DEM,n,siblings_at_birth_13,656
DEM_n_siblings_at_birth_12,DEM,n,siblings_at_birth_12,657
DEM_n_siblings_at_birth_11,DEM,n,siblings_at_birth_11,658
DEM_n_siblings_at_birth_14,DEM,n,siblings_at_birth_14,659
DEM_n_siblings_at_birth_17,DEM,n,siblings_at_birth_17,660
DEM_n_siblings_at_birth_19,DEM,n,siblings_at_birth_19,661
DEM_n_siblings_at_birth_16,DEM,n,siblings_at_birth_16,662
DEM_n_siblings_at_birth_15,DEM,n,siblings_at_birth_15,663
DEM_n_siblings_at_birth_18,DEM,n,siblings_at_birth_18,664
