code,prefix,database,value,token_id
DEM_statsb_5999,DEM,statsb,5999,400
DEM_statsb_unknown,DEM,statsb,unknown,401
DEM_statsb_5704,DEM,statsb,5704,402
DEM_statsb_5100,DEM,statsb,5100,403
DEM_statsb_5486,DEM,statsb,5486,404
DEM_statsb_5180,DEM,statsb,5180,405
DEM_statsb_5390,DEM,statsb,5390,406
DEM_statsb_5492,DEM,statsb,5492,407
DEM_statsb_5170,DEM,statsb,5170,408
DEM_statsb_5611,DEM,statsb,5611,409
DEM_statsb_5140,DEM,statsb,5140,410
DEM_statsb_5150,DEM,statsb,5150,411
DEM_statsb_5474,DEM,statsb,5474,412
DEM_statsb_5154,DEM,statsb,5154,413
DEM_statsb_5158,DEM,statsb,5158,414
DEM_statsb_5130,DEM,statsb,5130,415
DEM_statsb_5106,DEM,statsb,5106,416
DEM_statsb_5120,DEM,statsb,5120,417
DEM_statsb_5306,DEM,statsb,5306,418
DEM_statsb_5172,DEM,statsb,5172,419
DEM_statsb_5706,DEM,statsb,5706,420
DEM_statsb_5418,DEM,statsb,5418,421
DEM_statsb_5244,DEM,statsb,5244,422
DEM_statsb_5110,DEM,statsb,5110,423
DEM_statsb_5700,DEM,statsb,5700,424
DEM_statsb_5432,DEM,statsb,5432,425
DEM_statsb_5104,DEM,statsb,5104,426
DEM_statsb_5404,DEM,statsb,5404,427
DEM_statsb_5392,DEM,statsb,5392,428
DEM_statsb_5758,DEM,statsb,5758,429
DEM_statsb_5436,DEM,statsb,5436,430
DEM_statsb_5103,DEM,statsb,5103,431
DEM_statsb_5289,DEM,statsb,5289,432
DEM_statsb_5142,DEM,statsb,5142,433
DEM_statsb_5156,DEM,statsb,5156,434
DEM_statsb_5488,DEM,statsb,5488,435
DEM_statsb_5152,DEM,statsb,5152,436
DEM_statsb_5472,DEM,statsb,5472,437
DEM_statsb_5448,DEM,statsb,5448,438
DEM_statsb_5174,DEM,statsb,5174,439
DEM_statsb_5484,DEM,statsb,5484,440
DEM_statsb_5464,DEM,statsb,5464,441
DEM_statsb_5134,DEM,statsb,5134,442
DEM_statsb_5128,DEM,statsb,5128,443
DEM_statsb_5438,DEM,statsb,5438,444
DEM_statsb_5754,DEM,statsb,5754,445
DEM_statsb_5444,DEM,statsb,5444,446
DEM_statsb_5756,DEM,statsb,5756,447
DEM_statsb_5304,DEM,statsb,5304,448
DEM_statsb_5164,DEM,statsb,5164,449
DEM_statsb_5410,DEM,statsb,5410,450
DEM_statsb_5281,DEM,statsb,5281,451
DEM_statsb_5609,DEM,statsb,5609,452
DEM_statsb_5776,DEM,statsb,5776,453
DEM_statsb_5318,DEM,statsb,5318,454
DEM_statsb_5287,DEM,statsb,5287,455
DEM_statsb_5278,DEM,statsb,5278,456
DEM_statsb_5456,DEM,statsb,5456,457
DEM_statsb_5607,DEM,statsb,5607,458
DEM_statsb_5202,DEM,statsb,5202,459
DEM_statsb_5502,DEM,statsb,5502,460
DEM_statsb_5446,DEM,statsb,5446,461
DEM_statsb_5272,DEM,statsb,5272,462
DEM_statsb_5434,DEM,statsb,5434,463
DEM_statsb_5222,DEM,statsb,5222,464
DEM_statsb_5354,DEM,statsb,5354,465
DEM_statsb_5366,DEM,statsb,5366,466
DEM_statsb_5514,DEM,statsb,5514,467
DEM_statsb_5778,DEM,statsb,5778,468
DEM_statsb_5714,DEM,statsb,5714,469
DEM_statsb_5262,DEM,statsb,5262,470
DEM_statsb_5268,DEM,statsb,5268,471
DEM_statsb_5302,DEM,statsb,5302,472
DEM_statsb_5216,DEM,statsb,5216,473
DEM_statsb_5716,DEM,statsb,5716,474
DEM_statsb_5314,DEM,statsb,5314,475
DEM_statsb_5458,DEM,statsb,5458,476
DEM_statsb_5151,DEM,statsb,5151,477
DEM_statsb_5234,DEM,statsb,5234,478
DEM_statsb_5414,DEM,statsb,5414,479
DEM_statsb_5182,DEM,statsb,5182,480
DEM_statsb_5247,DEM,statsb,5247,481
DEM_statsb_5316,DEM,statsb,5316,482
DEM_statsb_5295,DEM,statsb,5295,483
DEM_statsb_5752,DEM,statsb,5752,484
DEM_statsb_5326,DEM,statsb,5326,485
DEM_statsb_5376,DEM,statsb,5376,486
DEM_statsb_5724,DEM,statsb,5724,487
DEM_statsb_5126,DEM,statsb,5126,488
DEM_statsb_5328,DEM,statsb,5328,489
DEM_statsb_5424,DEM,statsb,5424,490
DEM_statsb_5204,DEM,statsb,5204,491
DEM_statsb_5708,DEM,statsb,5708,492
DEM_statsb_5338,DEM,statsb,5338,493
DEM_statsb_5269,DEM,statsb,5269,494
DEM_statsb_5288,DEM,statsb,5288,495
DEM_statsb_5258,DEM,statsb,5258,496
DEM_statsb_5459,DEM,statsb,5459,497
DEM_statsb_5324,DEM,statsb,5324,498
DEM_statsb_5153,DEM,statsb,5153,499
DEM_statsb_5240,DEM,statsb,5240,500
DEM_statsb_5750,DEM,statsb,5750,501
DEM_statsb_5213,DEM,statsb,5213,502
DEM_statsb_5228,DEM,statsb,5228,503
DEM_statsb_5266,DEM,statsb,5266,504
DEM_statsb_5160,DEM,statsb,5160,505
DEM_statsb_5214,DEM,statsb,5214,506
DEM_statsb_5293,DEM,statsb,5293,507
DEM_statsb_5442,DEM,statsb,5442,508
DEM_statsb_5233,DEM,statsb,5233,509
