code,prefix,database,value,token_id
DEM_vaegt_barn_Q50,DEM,vaegt,barn_Q50,666
DEM_vaegt_barn_Q67,DEM,vaegt,barn_Q67,667
DEM_vaegt_barn_Q56,DEM,vaegt,barn_Q56,668
DEM_vaegt_barn_Q55,DEM,vaegt,barn_Q55,669
DEM_vaegt_barn_Q63,DEM,vaegt,barn_Q63,670
DEM_vaegt_barn_Q51,DEM,vaegt,barn_Q51,671
DEM_vaegt_barn_Q69,DEM,vaegt,barn_Q69,672
DEM_vaegt_barn_Q71,DEM,vaegt,barn_Q71,673
DEM_vaegt_barn_Q65,DEM,vaegt,barn_Q65,674
DEM_vaegt_barn_Q61,DEM,vaegt,barn_Q61,675
DEM_vaegt_barn_Q54,DEM,vaegt,barn_Q54,676
DEM_vaegt_barn_Q83,DEM,vaegt,barn_Q83,677
DEM_vaegt_barn_Q28,DEM,vaegt,barn_Q28,678
DEM_vaegt_barn_Q62,DEM,vaegt,barn_Q62,679
DEM_vaegt_barn_Q74,DEM,vaegt,barn_Q74,680
DEM_vaegt_barn_Q68,DEM,vaegt,barn_Q68,681
DEM_vaegt_barn_Q47,DEM,vaegt,barn_Q47,682
DEM_vaegt_barn_Q86,DEM,vaegt,barn_Q86,683
DEM_vaegt_barn_Q70,DEM,vaegt,barn_Q70,684
DEM_vaegt_barn_Q78,DEM,vaegt,barn_Q78,685
DEM_vaegt_barn_Q81,DEM,vaegt,barn_Q81,686
DEM_vaegt_barn_Q64,DEM,vaegt,barn_Q64,687
DEM_vaegt_barn_Q52,DEM,vaegt,barn_Q52,688
DEM_vaegt_barn_Q57,DEM,vaegt,barn_Q57,689
DEM_vaegt_barn_Q49,DEM,vaegt,barn_Q49,690
DEM_vaegt_barn_Q60,DEM,vaegt,barn_Q60,691
DEM_vaegt_barn_Q82,DEM,vaegt,barn_Q82,692
DEM_vaegt_barn_Q66,DEM,vaegt,barn_Q66,693
DEM_vaegt_barn_Q77,DEM,vaegt,barn_Q77,694
DEM_vaegt_barn_Q72,DEM,vaegt,barn_Q72,695
DEM_vaegt_barn_Q75,DEM,vaegt,barn_Q75,696
DEM_vaegt_barn_Q87,DEM,vaegt,barn_Q87,697
DEM_vaegt_barn_Q59,DEM,vaegt,barn_Q59,698
DEM_vaegt_barn_Q58,DEM,vaegt,barn_Q58,699
DEM_vaegt_barn_Q84,DEM,vaegt,barn_Q84,700
DEM_vaegt_barn_Q44,DEM,vaegt,barn_Q44,701
DEM_vaegt_barn_Q40,DEM,vaegt,barn_Q40,702
DEM_vaegt_barn_Q35,DEM,vaegt,barn_Q35,703
DEM_vaegt_barn_Q73,DEM,vaegt,barn_Q73,704
DEM_vaegt_barn_Q79,DEM,vaegt,barn_Q79,705
DEM_vaegt_barn_Q53,DEM,vaegt,barn_Q53,706
DEM_vaegt_barn_Q80,DEM,vaegt,barn_Q80,707
DEM_vaegt_barn_Q94,DEM,vaegt,barn_Q94,708
DEM_vaegt_barn_Q92,DEM,vaegt,barn_Q92,709
DEM_vaegt_barn_Q42,DEM,vaegt,barn_Q42,710
DEM_vaegt_barn_Q22,DEM,vaegt,barn_Q22,711
DEM_vaegt_barn_Q34,DEM,vaegt,barn_Q34,712
DEM_vaegt_barn_Q76,DEM,vaegt,barn_Q76,713
DEM_vaegt_barn_Q37,DEM,vaegt,barn_Q37,714
DEM_vaegt_barn_Q48,DEM,vaegt,barn_Q48,715
DEM_vaegt_barn_Q13,DEM,vaegt,barn_Q13,716
DEM_vaegt_barn_Q85,DEM,vaegt,barn_Q85,717
DEM_vaegt_barn_Q18,DEM,vaegt,barn_Q18,718
DEM_vaegt_barn_Q45,DEM,vaegt,barn_Q45,719
DEM_vaegt_barn_Q39,DEM,vaegt,barn_Q39,720
DEM_vaegt_barn_Q36,DEM,vaegt,barn_Q36,721
DEM_vaegt_barn_Q32,DEM,vaegt,barn_Q32,722
DEM_vaegt_barn_Q89,DEM,vaegt,barn_Q89,723
DEM_vaegt_barn_Q27,DEM,vaegt,barn_Q27,724
