code,prefix,database,value,token_id
EDU_dageaktiv_22,EDU,dageaktiv,22,39685
EDU_dageaktiv_15,EDU,dageaktiv,15,39686
EDU_dageaktiv_20,EDU,dageaktiv,20,39687
EDU_dageaktiv_16,EDU,dageaktiv,16,39688
EDU_dageaktiv_18,EDU,dageaktiv,18,39689
EDU_dageaktiv_21,EDU,dageaktiv,21,39690
EDU_dageaktiv_14,EDU,dageaktiv,14,39691
EDU_dageaktiv_19,EDU,dageaktiv,19,39692
EDU_dageaktiv_23,EDU,dageaktiv,23,39693
EDU_dageaktiv_17,EDU,dageaktiv,17,39694
EDU_dageaktiv_13,EDU,dageaktiv,13,39695
EDU_dageaktiv_2,EDU,dageaktiv,2,39696
EDU_dageaktiv_11,EDU,dageaktiv,11,39697
EDU_dageaktiv_12,EDU,dageaktiv,12,39698
EDU_dageaktiv_10,EDU,dageaktiv,10,39699
EDU_dageaktiv_3,EDU,dageaktiv,3,39700
EDU_dageaktiv_1,EDU,dageaktiv,1,39701
EDU_dageaktiv_8,EDU,dageaktiv,8,39702
EDU_dageaktiv_4,EDU,dageaktiv,4,39703
EDU_dageaktiv_5,EDU,dageaktiv,5,39704
EDU_dageaktiv_9,EDU,dageaktiv,9,39705
EDU_dageaktiv_6,EDU,dageaktiv,6,39706
EDU_dageaktiv_7,EDU,dageaktiv,7,39707
