code,prefix,database,value,token_id
EDU_dagesyg_2,EDU,dagesyg,2,39754
EDU_dagesyg_5,EDU,dagesyg,5,39755
EDU_dagesyg_3,EDU,dagesyg,3,39756
EDU_dagesyg_1,EDU,dagesyg,1,39757
EDU_dagesyg_6,EDU,dagesyg,6,39758
EDU_dagesyg_4,EDU,dagesyg,4,39759
EDU_dagesyg_7,EDU,dagesyg,7,39760
EDU_dagesyg_8,EDU,dagesyg,8,39761
EDU_dagesyg_9,EDU,dagesyg,9,39762
EDU_dagesyg_14,EDU,dagesyg,14,39763
EDU_dagesyg_10,EDU,dagesyg,10,39764
EDU_dagesyg_13,EDU,dagesyg,13,39765
EDU_dagesyg_16,EDU,dagesyg,16,39766
EDU_dagesyg_11,EDU,dagesyg,11,39767
EDU_dagesyg_12,EDU,dagesyg,12,39768
EDU_dagesyg_20,EDU,dagesyg,20,39769
EDU_dagesyg_15,EDU,dagesyg,15,39770
EDU_dagesyg_18,EDU,dagesyg,18,39771
EDU_dagesyg_17,EDU,dagesyg,17,39772
EDU_dagesyg_22,EDU,dagesyg,22,39773
EDU_dagesyg_21,EDU,dagesyg,21,39774
EDU_dagesyg_19,EDU,dagesyg,19,39775
EDU_dagesyg_23,EDU,dagesyg,23,39776
