code,prefix,database,value,token_id
EDU_dageulovfra_1,EDU,dageulovfra,1,39777
EDU_dageulovfra_4,EDU,dageulovfra,4,39778
EDU_dageulovfra_2,EDU,dageulovfra,2,39779
EDU_dageulovfra_7,EDU,dageulovfra,7,39780
EDU_dageulovfra_3,EDU,dageulovfra,3,39781
EDU_dageulovfra_6,EDU,dageulovfra,6,39782
EDU_dageulovfra_8,EDU,dageulovfra,8,39783
EDU_dageulovfra_5,EDU,dageulovfra,5,39784
EDU_dageulovfra_9,EDU,dageulovfra,9,39785
EDU_dageulovfra_12,EDU,dageulovfra,12,39786
EDU_dageulovfra_10,EDU,dageulovfra,10,39787
EDU_dageulovfra_11,EDU,dageulovfra,11,39788
EDU_dageulovfra_13,EDU,dageulovfra,13,39789
EDU_dageulovfra_17,EDU,dageulovfra,17,39790
EDU_dageulovfra_21,EDU,dageulovfra,21,39791
EDU_dageulovfra_14,EDU,dageulovfra,14,39792
EDU_dageulovfra_22,EDU,dageulovfra,22,39793
EDU_dageulovfra_15,EDU,dageulovfra,15,39794
EDU_dageulovfra_16,EDU,dageulovfra,16,39795
EDU_dageulovfra_20,EDU,dageulovfra,20,39796
EDU_dageulovfra_18,EDU,dageulovfra,18,39797
EDU_dageulovfra_19,EDU,dageulovfra,19,39798
EDU_dageulovfra_23,EDU,dageulovfra,23,39799
