code,prefix,database,value,token_id
EDU_ects_Q42,EDU,ects,Q42,31972
EDU_ects_Q47,EDU,ects,Q47,31973
EDU_ects_Q26,EDU,ects,Q26,31974
EDU_ects_Q1,EDU,ects,Q1,31975
EDU_ects_Q22,EDU,ects,Q22,31976
EDU_ects_Q20,EDU,ects,Q20,31977
EDU_ects_Q40,EDU,ects,Q40,31978
EDU_ects_Q52,EDU,ects,Q52,31979
EDU_ects_Q30,EDU,ects,Q30,31980
EDU_ects_Q12,EDU,ects,Q12,31981
EDU_ects_Q18,EDU,ects,Q18,31982
EDU_ects_Q62,EDU,ects,Q62,31983
EDU_ects_Q9,EDU,ects,Q9,31984
EDU_ects_Q32,EDU,ects,Q32,31985
EDU_ects_Q75,EDU,ects,Q75,31986
EDU_ects_Q16,EDU,ects,Q16,31987
EDU_ects_Q34,EDU,ects,Q34,31988
EDU_ects_Q7,EDU,ects,Q7,31989
EDU_ects_Q45,EDU,ects,Q45,31990
EDU_ects_Q56,EDU,ects,Q56,31991
EDU_ects_Q14,EDU,ects,Q14,31992
EDU_ects_Q36,EDU,ects,Q36,31993
EDU_ects_Q64,EDU,ects,Q64,31994
EDU_ects_Q11,EDU,ects,Q11,31995
EDU_ects_Q23,EDU,ects,Q23,31996
EDU_ects_Q58,EDU,ects,Q58,31997
EDU_ects_Q73,EDU,ects,Q73,31998
EDU_ects_Q44,EDU,ects,Q44,31999
EDU_ects_Q70,EDU,ects,Q70,32000
EDU_ects_Q17,EDU,ects,Q17,32001
EDU_ects_Q4,EDU,ects,Q4,32002
EDU_ects_Q71,EDU,ects,Q71,32003
EDU_ects_Q85,EDU,ects,Q85,32004
EDU_ects_Q88,EDU,ects,Q88,32005
EDU_ects_Q97,EDU,ects,Q97,32006
EDU_ects_Q76,EDU,ects,Q76,32007
EDU_ects_Q59,EDU,ects,Q59,32008
EDU_ects_Q43,EDU,ects,Q43,32009
EDU_ects_Q67,EDU,ects,Q67,32010
EDU_ects_Q29,EDU,ects,Q29,32011
EDU_ects_Q5,EDU,ects,Q5,32012
EDU_ects_Q50,EDU,ects,Q50,32013
EDU_ects_Q54,EDU,ects,Q54,32014
EDU_ects_Q74,EDU,ects,Q74,32015
EDU_ects_Q69,EDU,ects,Q69,32016
EDU_ects_Q38,EDU,ects,Q38,32017
EDU_ects_Q24,EDU,ects,Q24,32018
EDU_ects_Q27,EDU,ects,Q27,32019
EDU_ects_Q25,EDU,ects,Q25,32020
EDU_ects_Q80,EDU,ects,Q80,32021
EDU_ects_Q90,EDU,ects,Q90,32022
EDU_ects_Q78,EDU,ects,Q78,32023
EDU_ects_Q98,EDU,ects,Q98,32024
EDU_ects_Q55,EDU,ects,Q55,32025
EDU_ects_Q66,EDU,ects,Q66,32026
EDU_ects_Q33,EDU,ects,Q33,32027
EDU_ects_Q6,EDU,ects,Q6,32028
EDU_ects_Q15,EDU,ects,Q15,32029
EDU_ects_Q8,EDU,ects,Q8,32030
EDU_ects_Q82,EDU,ects,Q82,32031
EDU_ects_Q77,EDU,ects,Q77,32032
EDU_ects_Q53,EDU,ects,Q53,32033
EDU_ects_Q79,EDU,ects,Q79,32034
EDU_ects_Q13,EDU,ects,Q13,32035
EDU_ects_Q48,EDU,ects,Q48,32036
EDU_ects_Q21,EDU,ects,Q21,32037
EDU_ects_Q51,EDU,ects,Q51,32038
EDU_ects_Q19,EDU,ects,Q19,32039
EDU_ects_Q28,EDU,ects,Q28,32040
EDU_ects_Q89,EDU,ects,Q89,32041
EDU_ects_Q68,EDU,ects,Q68,32042
EDU_ects_Q65,EDU,ects,Q65,32043
EDU_ects_Q39,EDU,ects,Q39,32044
EDU_ects_Q60,EDU,ects,Q60,32045
EDU_ects_Q63,EDU,ects,Q63,32046
EDU_ects_Q72,EDU,ects,Q72,32047
EDU_ects_Q46,EDU,ects,Q46,32048
EDU_ects_Q96,EDU,ects,Q96,32049
EDU_ects_Q94,EDU,ects,Q94,32050
EDU_ects_Q37,EDU,ects,Q37,32051
EDU_ects_Q49,EDU,ects,Q49,32052
EDU_ects_Q61,EDU,ects,Q61,32053
EDU_ects_Q10,EDU,ects,Q10,32054
EDU_ects_Q3,EDU,ects,Q3,32055
EDU_ects_Q92,EDU,ects,Q92,32056
EDU_ects_Q93,EDU,ects,Q93,32057
EDU_ects_Q57,EDU,ects,Q57,32058
EDU_ects_Q35,EDU,ects,Q35,32059
EDU_ects_Q2,EDU,ects,Q2,32060
EDU_ects_Q87,EDU,ects,Q87,32061
EDU_ects_Q84,EDU,ects,Q84,32062
EDU_ects_Q91,EDU,ects,Q91,32063
EDU_ects_Q81,EDU,ects,Q81,32064
EDU_ects_Q86,EDU,ects,Q86,32065
EDU_ects_Q95,EDU,ects,Q95,32066
EDU_ects_Q100,EDU,ects,Q100,32067
EDU_ects_Q41,EDU,ects,Q41,32068
EDU_ects_Q83,EDU,ects,Q83,32069
EDU_ects_Q31,EDU,ects,Q31,32070
EDU_ects_Q99,EDU,ects,Q99,32071
