code,prefix,database,value,token_id
EDU_fag_Matematik 6. klasse,EDU,fag,Matematik 6. klasse,39662
EDU_fag_Dansk/læsning 4. klasse,EDU,fag,Dansk/læsning 4. klasse,39663
EDU_fag_Matematik 3. klasse,EDU,fag,Matematik 3. klasse,39664
EDU_fag_Dansk/læsning 2. klasse,EDU,fag,Dansk/læsning 2. klasse,39665
EDU_fag_Fysik/kemi 8. klasse,EDU,fag,Fysik/kemi 8. klasse,39666
EDU_fag_Geografi 8. klasse,EDU,fag,Geografi 8. klasse,39667
EDU_fag_Engelsk 7. klasse,EDU,fag,Engelsk 7. klasse,39668
EDU_fag_Dansk/læsning 6. klasse,EDU,fag,Dansk/læsning 6. klasse,39669
EDU_fag_Biologi 8. klasse,EDU,fag,Biologi 8. klasse,39670
EDU_fag_Matematik 8. klasse,EDU,fag,Matematik 8. klasse,39671
EDU_fag_Dansk/læsning 8. klasse,EDU,fag,Dansk/læsning 8. klasse,39672
EDU_fag_Engelsk 4. klasse,EDU,fag,Engelsk 4. klasse,39673
"EDU_fag_Dansk, læsning 8. klasse",EDU,fag,"Dansk, læsning 8. klasse",39674
"EDU_fag_Dansk, læsning 6. klasse",EDU,fag,"Dansk, læsning 6. klasse",39675
"EDU_fag_Dansk, læsning 4. klasse",EDU,fag,"Dansk, læsning 4. klasse",39676
"EDU_fag_Dansk, læsning 2. klasse",EDU,fag,"Dansk, læsning 2. klasse",39677
