code,prefix,database,value,token_id
EDU_field_102010,EDU,field,102010,32072
EDU_field_573015,EDU,field,573015,32073
EDU_field_554020,EDU,field,554020,32074
EDU_field_401010,EDU,field,401010,32075
EDU_field_404015,EDU,field,404015,32076
EDU_field_121010,EDU,field,121010,32077
EDU_field_453010,EDU,field,453010,32078
EDU_field_652010,EDU,field,652010,32079
EDU_field_802010,EDU,field,802010,32080
EDU_field_551010,EDU,field,551010,32081
EDU_field_551510,EDU,field,551510,32082
EDU_field_553510,EDU,field,553510,32083
EDU_field_571010,EDU,field,571010,32084
EDU_field_803010,EDU,field,803010,32085
EDU_field_803015,EDU,field,803015,32086
EDU_field_121030,EDU,field,121030,32087
EDU_field_203510,EDU,field,203510,32088
EDU_field_656510,EDU,field,656510,32089
EDU_field_702530,EDU,field,702530,32090
EDU_field_701010,EDU,field,701010,32091
EDU_field_403510,EDU,field,403510,32092
EDU_field_122010,EDU,field,122010,32093
EDU_field_121020,EDU,field,121020,32094
EDU_field_554015,EDU,field,554015,32095
EDU_field_402010,EDU,field,402010,32096
EDU_field_552010,EDU,field,552010,32097
EDU_field_653520,EDU,field,653520,32098
EDU_field_574020,EDU,field,574020,32099
EDU_field_404010,EDU,field,404010,32100
EDU_field_656515,EDU,field,656515,32101
EDU_field_604010,EDU,field,604010,32102
EDU_field_251510,EDU,field,251510,32103
EDU_field_657010,EDU,field,657010,32104
EDU_field_555010,EDU,field,555010,32105
EDU_field_582010,EDU,field,582010,32106
EDU_field_573510,EDU,field,573510,32107
EDU_field_601515,EDU,field,601515,32108
EDU_field_553015,EDU,field,553015,32109
EDU_field_553030,EDU,field,553030,32110
EDU_field_801520,EDU,field,801520,32111
EDU_field_651010,EDU,field,651010,32112
EDU_field_702515,EDU,field,702515,32113
EDU_field_656015,EDU,field,656015,32114
EDU_field_403010,EDU,field,403010,32115
EDU_field_204015,EDU,field,204015,32116
EDU_field_602025,EDU,field,602025,32117
EDU_field_459010,EDU,field,459010,32118
EDU_field_573020,EDU,field,573020,32119
EDU_field_405010,EDU,field,405010,32120
EDU_field_352010,EDU,field,352010,32121
EDU_field_582045,EDU,field,582045,32122
EDU_field_581510,EDU,field,581510,32123
EDU_field_271010,EDU,field,271010,32124
EDU_field_703510,EDU,field,703510,32125
EDU_field_656520,EDU,field,656520,32126
EDU_field_351510,EDU,field,351510,32127
EDU_field_582035,EDU,field,582035,32128
EDU_field_555020,EDU,field,555020,32129
EDU_field_555075,EDU,field,555075,32130
EDU_field_555090,EDU,field,555090,32131
EDU_field_654530,EDU,field,654530,32132
EDU_field_501015,EDU,field,501015,32133
EDU_field_601520,EDU,field,601520,32134
EDU_field_654515,EDU,field,654515,32135
EDU_field_582050,EDU,field,582050,32136
EDU_field_401510,EDU,field,401510,32137
EDU_field_581010,EDU,field,581010,32138
EDU_field_553025,EDU,field,553025,32139
EDU_field_652525,EDU,field,652525,32140
EDU_field_582020,EDU,field,582020,32141
EDU_field_451510,EDU,field,451510,32142
EDU_field_409020,EDU,field,409020,32143
EDU_field_501095,EDU,field,501095,32144
EDU_field_555084,EDU,field,555084,32145
EDU_field_451010,EDU,field,451010,32146
EDU_field_501025,EDU,field,501025,32147
EDU_field_257415,EDU,field,257415,32148
EDU_field_574510,EDU,field,574510,32149
EDU_field_258010,EDU,field,258010,32150
EDU_field_571510,EDU,field,571510,32151
EDU_field_582015,EDU,field,582015,32152
EDU_field_581525,EDU,field,581525,32153
EDU_field_651520,EDU,field,651520,32154
EDU_field_257410,EDU,field,257410,32155
EDU_field_582055,EDU,field,582055,32156
EDU_field_555088,EDU,field,555088,32157
EDU_field_702020,EDU,field,702020,32158
EDU_field_555030,EDU,field,555030,32159
EDU_field_602015,EDU,field,602015,32160
EDU_field_409015,EDU,field,409015,32161
EDU_field_404025,EDU,field,404025,32162
EDU_field_601530,EDU,field,601530,32163
EDU_field_553520,EDU,field,553520,32164
EDU_field_653510,EDU,field,653510,32165
EDU_field_257610,EDU,field,257610,32166
EDU_field_751515,EDU,field,751515,32167
EDU_field_255210,EDU,field,255210,32168
EDU_field_552015,EDU,field,552015,32169
EDU_field_355510,EDU,field,355510,32170
EDU_field_575010,EDU,field,575010,32171
EDU_field_553515,EDU,field,553515,32172
EDU_field_501090,EDU,field,501090,32173
EDU_field_555025,EDU,field,555025,32174
EDU_field_652520,EDU,field,652520,32175
EDU_field_553010,EDU,field,553010,32176
EDU_field_601510,EDU,field,601510,32177
EDU_field_409010,EDU,field,409010,32178
EDU_field_257810,EDU,field,257810,32179
EDU_field_572510,EDU,field,572510,32180
EDU_field_404030,EDU,field,404030,32181
EDU_field_651510,EDU,field,651510,32182
EDU_field_574025,EDU,field,574025,32183
EDU_field_455010,EDU,field,455010,32184
EDU_field_251010,EDU,field,251010,32185
EDU_field_402510,EDU,field,402510,32186
EDU_field_251515,EDU,field,251515,32187
EDU_field_801530,EDU,field,801530,32188
EDU_field_654520,EDU,field,654520,32189
EDU_field_572015,EDU,field,572015,32190
EDU_field_304010,EDU,field,304010,32191
EDU_field_271015,EDU,field,271015,32192
EDU_field_271030,EDU,field,271030,32193
EDU_field_253510,EDU,field,253510,32194
EDU_field_253515,EDU,field,253515,32195
EDU_field_573035,EDU,field,573035,32196
EDU_field_701515,EDU,field,701515,32197
EDU_field_654010,EDU,field,654010,32198
EDU_field_657015,EDU,field,657015,32199
EDU_field_803020,EDU,field,803020,32200
EDU_field_702525,EDU,field,702525,32201
EDU_field_555055,EDU,field,555055,32202
EDU_field_602515,EDU,field,602515,32203
EDU_field_602020,EDU,field,602020,32204
EDU_field_574035,EDU,field,574035,32205
EDU_field_257425,EDU,field,257425,32206
EDU_field_257210,EDU,field,257210,32207
EDU_field_404020,EDU,field,404020,32208
EDU_field_555065,EDU,field,555065,32209
EDU_field_351010,EDU,field,351010,32210
EDU_field_254015,EDU,field,254015,32211
EDU_field_254510,EDU,field,254510,32212
EDU_field_302010,EDU,field,302010,32213
EDU_field_256020,EDU,field,256020,32214
EDU_field_604015,EDU,field,604015,32215
EDU_field_354030,EDU,field,354030,32216
EDU_field_271025,EDU,field,271025,32217
EDU_field_801510,EDU,field,801510,32218
EDU_field_751030,EDU,field,751030,32219
EDU_field_555015,EDU,field,555015,32220
EDU_field_601525,EDU,field,601525,32221
EDU_field_271515,EDU,field,271515,32222
EDU_field_123020,EDU,field,123020,32223
EDU_field_308015,EDU,field,308015,32224
EDU_field_257225,EDU,field,257225,32225
EDU_field_581515,EDU,field,581515,32226
EDU_field_751520,EDU,field,751520,32227
EDU_field_303515,EDU,field,303515,32228
EDU_field_255015,EDU,field,255015,32229
EDU_field_801010,EDU,field,801010,32230
