code,prefix,database,value,token_id
EDU_udd_1116,EDU,udd,1116,33091
EDU_udd_1117,EDU,udd,1117,33092
EDU_udd_4106,EDU,udd,4106,33093
EDU_udd_5189,EDU,udd,5189,33094
EDU_udd_4198,EDU,udd,4198,33095
EDU_udd_4192,EDU,udd,4192,33096
EDU_udd_1179,EDU,udd,1179,33097
EDU_udd_5425,EDU,udd,5425,33098
EDU_udd_7180,EDU,udd,7180,33099
EDU_udd_4303,EDU,udd,4303,33100
EDU_udd_5045,EDU,udd,5045,33101
EDU_udd_5325,EDU,udd,5325,33102
EDU_udd_5337,EDU,udd,5337,33103
EDU_udd_4120,EDU,udd,4120,33104
EDU_udd_4110,EDU,udd,4110,33105
EDU_udd_4550,EDU,udd,4550,33106
EDU_udd_4156,EDU,udd,4156,33107
EDU_udd_2517,EDU,udd,2517,33108
EDU_udd_1539,EDU,udd,1539,33109
EDU_udd_5440,EDU,udd,5440,33110
EDU_udd_2516,EDU,udd,2516,33111
EDU_udd_5443,EDU,udd,5443,33112
EDU_udd_4442,EDU,udd,4442,33113
EDU_udd_4380,EDU,udd,4380,33114
EDU_udd_4190,EDU,udd,4190,33115
EDU_udd_4007,EDU,udd,4007,33116
EDU_udd_1189,EDU,udd,1189,33117
EDU_udd_5331,EDU,udd,5331,33118
EDU_udd_5050,EDU,udd,5050,33119
EDU_udd_4193,EDU,udd,4193,33120
EDU_udd_4036,EDU,udd,4036,33121
EDU_udd_4498,EDU,udd,4498,33122
EDU_udd_4144,EDU,udd,4144,33123
EDU_udd_4276,EDU,udd,4276,33124
EDU_udd_5352,EDU,udd,5352,33125
EDU_udd_4008,EDU,udd,4008,33126
EDU_udd_4191,EDU,udd,4191,33127
EDU_udd_5444,EDU,udd,5444,33128
EDU_udd_4996,EDU,udd,4996,33129
EDU_udd_4640,EDU,udd,4640,33130
EDU_udd_7230,EDU,udd,7230,33131
EDU_udd_5127,EDU,udd,5127,33132
EDU_udd_4320,EDU,udd,4320,33133
EDU_udd_4274,EDU,udd,4274,33134
EDU_udd_4105,EDU,udd,4105,33135
EDU_udd_2487,EDU,udd,2487,33136
EDU_udd_4112,EDU,udd,4112,33137
EDU_udd_5032,EDU,udd,5032,33138
