code,prefix,database,value,token_id
EDU_udel_29,EDU,udel,29,35507
EDU_udel_30,EDU,udel,30,35508
EDU_udel_0,EDU,udel,0,35509
EDU_udel_28,EDU,udel,28,35510
EDU_udel_51,EDU,udel,51,35511
EDU_udel_52,EDU,udel,52,35512
EDU_udel_21,EDU,udel,21,35513
EDU_udel_22,EDU,udel,22,35514
EDU_udel_23,EDU,udel,23,35515
EDU_udel_60,EDU,udel,60,35516
EDU_udel_61,EDU,udel,61,35517
EDU_udel_62,EDU,udel,62,35518
EDU_udel_54,EDU,udel,54,35519
EDU_udel_31,EDU,udel,31,35520
EDU_udel_55,EDU,udel,55,35521
EDU_udel_27,EDU,udel,27,35522
EDU_udel_56,EDU,udel,56,35523
EDU_udel_26,EDU,udel,26,35524
EDU_udel_25,EDU,udel,25,35525
EDU_udel_20,EDU,udel,20,35526
EDU_udel_64,EDU,udel,64,35527
EDU_udel_24,EDU,udel,24,35528
EDU_udel_41,EDU,udel,41,35529
EDU_udel_40,EDU,udel,40,35530
EDU_udel_53,EDU,udel,53,35531
