code,prefix,database,value,token_id
HEA_DWG_manual_bin_15_20,HEA,DWG,manual_bin_15_20,10270
HEA_DWG_manual_bin_7,HEA,DWG,manual_bin_7,10290
HEA_DWG_manual_bin_10,HEA,DWG,manual_bin_10,10297
HEA_DWG_manual_bin_10_15,HEA,DWG,manual_bin_10_15,10300
HEA_DWG_manual_bin_20_30,HEA,DWG,manual_bin_20_30,10308
HEA_DWG_manual_bin_30_40,HEA,DWG,manual_bin_30_40,10309
HEA_DWG_manual_bin_9,HEA,DWG,manual_bin_9,10312
HEA_DWG_manual_bin_40_50,HEA,DWG,manual_bin_40_50,10315
HEA_DWG_manual_bin_4,HEA,DWG,manual_bin_4,10319
HEA_DWG_manual_bin_5,HEA,DWG,manual_bin_5,10321
HEA_DWG_manual_bin_100_500,HEA,DWG,manual_bin_100_500,10323
HEA_DWG_manual_bin_1,HEA,DWG,manual_bin_1,10325
HEA_DWG_manual_bin_50_100,HEA,DWG,manual_bin_50_100,10326
HEA_DWG_manual_bin_2,HEA,DWG,manual_bin_2,10335
HEA_DWG_manual_bin_8,HEA,DWG,manual_bin_8,10348
HEA_DWG_manual_bin_6,HEA,DWG,manual_bin_6,10351
HEA_DWG_manual_bin_3,HEA,DWG,manual_bin_3,10407
