code,prefix,database,value,token_id
HEA_DWK_manual_bin_15_20,HEA,DWK,manual_bin_15_20,10273
HEA_DWK_manual_bin_4,HEA,DWK,manual_bin_4,10289
HEA_DWK_manual_bin_10,HEA,DWK,manual_bin_10,10293
HEA_DWK_manual_bin_50_100,HEA,DWK,manual_bin_50_100,10294
HEA_DWK_manual_bin_20_30,HEA,DWK,manual_bin_20_30,10295
HEA_DWK_manual_bin_2,HEA,DWK,manual_bin_2,10313
HEA_DWK_manual_bin_40_50,HEA,DWK,manual_bin_40_50,10314
HEA_DWK_manual_bin_100_500,HEA,DWK,manual_bin_100_500,10329
HEA_DWK_manual_bin_8,HEA,DWK,manual_bin_8,10336
HEA_DWK_manual_bin_5,HEA,DWK,manual_bin_5,10346
HEA_DWK_manual_bin_3,HEA,DWK,manual_bin_3,10347
HEA_DWK_manual_bin_10_15,HEA,DWK,manual_bin_10_15,10354
HEA_DWK_manual_bin_500_1000,HEA,DWK,manual_bin_500_1000,10370
HEA_DWK_manual_bin_30_40,HEA,DWK,manual_bin_30_40,10384
HEA_DWK_manual_bin_7,HEA,DWK,manual_bin_7,10386
HEA_DWK_manual_bin_1,HEA,DWK,manual_bin_1,10401
HEA_DWK,HEA,DWK,,10410
HEA_DWK_manual_bin_6,HEA,DWK,manual_bin_6,10420
