code,prefix,database,value,token_id
HEA_L_manual_bin_9,HEA,L,manual_bin_9,10342
HEA_L_manual_bin_2,HEA,L,manual_bin_2,10350
HEA_L_manual_bin_3,HEA,L,manual_bin_3,10355
HEA_L_manual_bin_10,HEA,L,manual_bin_10,10360
HEA_L_manual_bin_5,HEA,L,manual_bin_5,10365
HEA_L_manual_bin_1,HEA,L,manual_bin_1,10368
HEA_L_manual_bin_8,HEA,L,manual_bin_8,10374
HEA_L_manual_bin_6,HEA,L,manual_bin_6,10380
HEA_L_manual_bin_10_15,HEA,L,manual_bin_10_15,10381
HEA_L_manual_bin_4,HEA,L,manual_bin_4,10389
HEA_L_manual_bin_7,HEA,L,manual_bin_7,10398
HEA_L_over_1000,HEA,L,over_1000,10412
