code,prefix,database,value,token_id
HEA_ML_manual_bin_100_500,HEA,ML,manual_bin_100_500,10265
HEA_ML_manual_bin_20_30,HEA,ML,manual_bin_20_30,10268
HEA_ML_manual_bin_10,HEA,ML,manual_bin_10,10279
HEA_ML_manual_bin_50_100,HEA,ML,manual_bin_50_100,10296
HEA_ML_manual_bin_10_15,HEA,ML,manual_bin_10_15,10298
HEA_ML_manual_bin_15_20,HEA,ML,manual_bin_15_20,10318
HEA_ML_manual_bin_40_50,HEA,ML,manual_bin_40_50,10337
HEA_ML_manual_bin_5,HEA,ML,manual_bin_5,10338
HEA_ML_manual_bin_8,HEA,ML,manual_bin_8,10339
HEA_ML_manual_bin_3,HEA,ML,manual_bin_3,10352
HEA_ML_manual_bin_4,HEA,ML,manual_bin_4,10353
HEA_ML_manual_bin_500_1000,HEA,ML,manual_bin_500_1000,10357
HEA_ML_over_1000,HEA,ML,over_1000,10378
HEA_ML_manual_bin_30_40,HEA,ML,manual_bin_30_40,10383
HEA_ML_manual_bin_7,HEA,ML,manual_bin_7,10413
HEA_ML_manual_bin_9,HEA,ML,manual_bin_9,10419
