code,prefix,database,value,token_id
HEA_ST_manual_bin_10,HEA,ST,manual_bin_10,10328
HEA_ST_manual_bin_1,HEA,ST,manual_bin_1,10330
HEA_ST_manual_bin_4,HEA,ST,manual_bin_4,10333
HEA_ST_manual_bin_3,HEA,ST,manual_bin_3,10340
HEA_ST_manual_bin_5,HEA,ST,manual_bin_5,10359
HEA_ST_manual_bin_10_15,HEA,ST,manual_bin_10_15,10364
HEA_ST_manual_bin_15_20,HEA,ST,manual_bin_15_20,10366
HEA_ST_manual_bin_20_30,HEA,ST,manual_bin_20_30,10367
HEA_ST_manual_bin_50_100,HEA,ST,manual_bin_50_100,10372
HEA_ST_manual_bin_2,HEA,ST,manual_bin_2,10379
HEA_ST_manual_bin_40_50,HEA,ST,manual_bin_40_50,10405
