code,prefix,database,value,token_id
HEA_atc_B01AC06,HEA,atc,B01AC06,8602
HEA_atc_N02BE01,HEA,atc,N02BE01,8603
HEA_atc_S01AX06,HEA,atc,S01AX06,8604
HEA_atc_A10BB01,HEA,atc,A10BB01,8605
HEA_atc_N05CD05,HEA,atc,N05CD05,8606
HEA_atc_M01AE01,HEA,atc,M01AE01,8607
HEA_atc_C03AB01,HEA,atc,C03AB01,8608
HEA_atc_M04AA01,HEA,atc,M04AA01,8609
HEA_atc_D01AC08,HEA,atc,D01AC08,8610
HEA_atc_D04AB02,HEA,atc,D04AB02,8611
HEA_atc_D07AD01,HEA,atc,D07AD01,8612
HEA_atc_J01EB02,HEA,atc,J01EB02,8613
HEA_atc_C08DB01,HEA,atc,C08DB01,8614
HEA_atc_N02BA75,HEA,atc,N02BA75,8615
HEA_atc_H02AB06,HEA,atc,H02AB06,8616
HEA_atc_R03AC02,HEA,atc,R03AC02,8617
HEA_atc_C05AA05,HEA,atc,C05AA05,8618
HEA_atc_N05CD03,HEA,atc,N05CD03,8619
HEA_atc_N05CD02,HEA,atc,N05CD02,8620
HEA_atc_A02BC01,HEA,atc,A02BC01,8621
HEA_atc_R03CC03,HEA,atc,R03CC03,8622
HEA_atc_C09AA10,HEA,atc,C09AA10,8623
HEA_atc_R03AL01,HEA,atc,R03AL01,8624
HEA_atc_S01BC01,HEA,atc,S01BC01,8625
HEA_atc_N05BA06,HEA,atc,N05BA06,8626
HEA_atc_A10BB07,HEA,atc,A10BB07,8627
HEA_atc_C08CA02,HEA,atc,C08CA02,8628
HEA_atc_G03CA03,HEA,atc,G03CA03,8629
HEA_atc_N02AX02,HEA,atc,N02AX02,8630
HEA_atc_N02AG02,HEA,atc,N02AG02,8631
HEA_atc_A12BA01,HEA,atc,A12BA01,8632
HEA_atc_J01AA04,HEA,atc,J01AA04,8633
HEA_atc_N05BA01,HEA,atc,N05BA01,8634
HEA_atc_C03CA01,HEA,atc,C03CA01,8635
HEA_atc_N06AB04,HEA,atc,N06AB04,8636
HEA_atc_R05CB01,HEA,atc,R05CB01,8637
HEA_atc_S01AA13,HEA,atc,S01AA13,8638
HEA_atc_J01CA02,HEA,atc,J01CA02,8639
HEA_atc_S01XA20,HEA,atc,S01XA20,8640
HEA_atc_N05AA02,HEA,atc,N05AA02,8641
HEA_atc_C01AA05,HEA,atc,C01AA05,8642
HEA_atc_R03DA04,HEA,atc,R03DA04,8643
HEA_atc_N05BA04,HEA,atc,N05BA04,8644
HEA_atc_J01CE02,HEA,atc,J01CE02,8645
HEA_atc_J01FA06,HEA,atc,J01FA06,8646
HEA_atc_J01CA04,HEA,atc,J01CA04,8647
HEA_atc_C09AA01,HEA,atc,C09AA01,8648
HEA_atc_C08CA01,HEA,atc,C08CA01,8649
HEA_atc_S02CA02,HEA,atc,S02CA02,8650
HEA_atc_S01GA51,HEA,atc,S01GA51,8651
HEA_atc_N04AB02,HEA,atc,N04AB02,8652
HEA_atc_N05CF01,HEA,atc,N05CF01,8653
HEA_atc_H03BB02,HEA,atc,H03BB02,8654
HEA_atc_J05AB01,HEA,atc,J05AB01,8655
HEA_atc_A02BA01,HEA,atc,A02BA01,8656
HEA_atc_J01MA02,HEA,atc,J01MA02,8657
HEA_atc_M01AC01,HEA,atc,M01AC01,8658
HEA_atc_N05CF02,HEA,atc,N05CF02,8659
HEA_atc_C03CB02,HEA,atc,C03CB02,8660
HEA_atc_R03CC02,HEA,atc,R03CC02,8661
HEA_atc_D07AA02,HEA,atc,D07AA02,8662
HEA_atc_N02BA01,HEA,atc,N02BA01,8663
HEA_atc_S01AA01,HEA,atc,S01AA01,8664
HEA_atc_C08DA01,HEA,atc,C08DA01,8665
HEA_atc_N05BA02,HEA,atc,N05BA02,8666
HEA_atc_S03CA04,HEA,atc,S03CA04,8667
HEA_atc_S01GX01,HEA,atc,S01GX01,8668
HEA_atc_R06AE07,HEA,atc,R06AE07,8669
HEA_atc_D07AC01,HEA,atc,D07AC01,8670
HEA_atc_S01ED01,HEA,atc,S01ED01,8671
HEA_atc_S01BA01,HEA,atc,S01BA01,8672
HEA_atc_C07AB02,HEA,atc,C07AB02,8673
HEA_atc_C03AB02,HEA,atc,C03AB02,8674
HEA_atc_C01DA08,HEA,atc,C01DA08,8675
HEA_atc_D07XB02,HEA,atc,D07XB02,8676
HEA_atc_S03CA01,HEA,atc,S03CA01,8677
HEA_atc_C01DA02,HEA,atc,C01DA02,8678
HEA_atc_D07AB02,HEA,atc,D07AB02,8679
HEA_atc_R05DA04,HEA,atc,R05DA04,8680
HEA_atc_C09CA01,HEA,atc,C09CA01,8681
HEA_atc_A03FA01,HEA,atc,A03FA01,8682
HEA_atc_N02AC04,HEA,atc,N02AC04,8683
HEA_atc_N02AA01,HEA,atc,N02AA01,8684
HEA_atc_S01BC03,HEA,atc,S01BC03,8685
HEA_atc_S01AE02,HEA,atc,S01AE02,8686
HEA_atc_R05FA02,HEA,atc,R05FA02,8687
HEA_atc_S01KA01,HEA,atc,S01KA01,8688
HEA_atc_M01AB05,HEA,atc,M01AB05,8689
HEA_atc_R01AD05,HEA,atc,R01AD05,8690
HEA_atc_D06AX01,HEA,atc,D06AX01,8691
HEA_atc_D02AF,HEA,atc,D02AF,8692
HEA_atc_A07EC02,HEA,atc,A07EC02,8693
HEA_atc_R03AC03,HEA,atc,R03AC03,8694
HEA_atc_S01FA05,HEA,atc,S01FA05,8695
HEA_atc_N04BA02,HEA,atc,N04BA02,8696
HEA_atc_N03AA02,HEA,atc,N03AA02,8697
