code,prefix,database,value,token_id
HEA_speciale_802144,HEA,speciale,802144,25646
HEA_speciale_800201,HEA,speciale,800201,25647
HEA_speciale_800101,HEA,speciale,800101,25648
HEA_speciale_190110,HEA,speciale,190110,25649
HEA_speciale_807136,HEA,speciale,807136,25650
HEA_speciale_440290,HEA,speciale,440290,25651
HEA_speciale_820101,HEA,speciale,820101,25652
HEA_speciale_511010,HEA,speciale,511010,25653
HEA_speciale_802601,HEA,speciale,802601,25654
HEA_speciale_802161,HEA,speciale,802161,25655
HEA_speciale_481925,HEA,speciale,481925,25656
HEA_speciale_807101,HEA,speciale,807101,25657
HEA_speciale_800501,HEA,speciale,800501,25658
HEA_speciale_090120,HEA,speciale,090120,25659
HEA_speciale_501505,HEA,speciale,501505,25660
HEA_speciale_501301,HEA,speciale,501301,25661
HEA_speciale_501701,HEA,speciale,501701,25662
HEA_speciale_212007,HEA,speciale,212007,25663
HEA_speciale_807108,HEA,speciale,807108,25664
HEA_speciale_083810,HEA,speciale,083810,25665
HEA_speciale_511012,HEA,speciale,511012,25666
HEA_speciale_531030,HEA,speciale,531030,25667
HEA_speciale_807109,HEA,speciale,807109,25668
HEA_speciale_501506,HEA,speciale,501506,25669
HEA_speciale_212020,HEA,speciale,212020,25670
HEA_speciale_620111,HEA,speciale,620111,25671
HEA_speciale_510111,HEA,speciale,510111,25672
HEA_speciale_802402,HEA,speciale,802402,25673
HEA_speciale_620114,HEA,speciale,620114,25674
HEA_speciale_210101,HEA,speciale,210101,25675
HEA_speciale_803201,HEA,speciale,803201,25676
HEA_speciale_192002,HEA,speciale,192002,25677
HEA_speciale_440112,HEA,speciale,440112,25678
HEA_speciale_807312,HEA,speciale,807312,25679
HEA_speciale_501425,HEA,speciale,501425,25680
HEA_speciale_807120,HEA,speciale,807120,25681
HEA_speciale_482199,HEA,speciale,482199,25682
HEA_speciale_440242,HEA,speciale,440242,25683
HEA_speciale_806101,HEA,speciale,806101,25684
HEA_speciale_440257,HEA,speciale,440257,25685
HEA_speciale_518050,HEA,speciale,518050,25686
HEA_speciale_800602,HEA,speciale,800602,25687
HEA_speciale_212008,HEA,speciale,212008,25688
HEA_speciale_808120,HEA,speciale,808120,25689
HEA_speciale_802102,HEA,speciale,802102,25690
HEA_speciale_501140,HEA,speciale,501140,25691
HEA_speciale_449991,HEA,speciale,449991,25692
HEA_speciale_511019,HEA,speciale,511019,25693
HEA_speciale_511020,HEA,speciale,511020,25694
HEA_speciale_501170,HEA,speciale,501170,25695
HEA_speciale_802133,HEA,speciale,802133,25696
HEA_speciale_501150,HEA,speciale,501150,25697
HEA_speciale_501171,HEA,speciale,501171,25698
HEA_speciale_621013,HEA,speciale,621013,25699
HEA_speciale_621020,HEA,speciale,621020,25700
HEA_speciale_443114,HEA,speciale,443114,25701
HEA_speciale_093131,HEA,speciale,093131,25702
HEA_speciale_443119,HEA,speciale,443119,25703
HEA_speciale_808140,HEA,speciale,808140,25704
HEA_speciale_804062,HEA,speciale,804062,25705
HEA_speciale_440443,HEA,speciale,440443,25706
HEA_speciale_808213,HEA,speciale,808213,25707
HEA_speciale_802103,HEA,speciale,802103,25708
HEA_speciale_511011,HEA,speciale,511011,25709
HEA_speciale_802112,HEA,speciale,802112,25710
HEA_speciale_504512,HEA,speciale,504512,25711
HEA_speciale_807105,HEA,speciale,807105,25712
HEA_speciale_807189,HEA,speciale,807189,25713
HEA_speciale_440272,HEA,speciale,440272,25714
HEA_speciale_501431,HEA,speciale,501431,25715
HEA_speciale_195009,HEA,speciale,195009,25716
HEA_speciale_240130,HEA,speciale,240130,25717
HEA_speciale_802101,HEA,speciale,802101,25718
HEA_speciale_501302,HEA,speciale,501302,25719
HEA_speciale_501503,HEA,speciale,501503,25720
HEA_speciale_830471,HEA,speciale,830471,25721
HEA_speciale_501501,HEA,speciale,501501,25722
HEA_speciale_809001,HEA,speciale,809001,25723
HEA_speciale_043100,HEA,speciale,043100,25724
HEA_speciale_807126,HEA,speciale,807126,25725
HEA_speciale_440110,HEA,speciale,440110,25726
HEA_speciale_830501,HEA,speciale,830501,25727
HEA_speciale_440181,HEA,speciale,440181,25728
HEA_speciale_072190,HEA,speciale,072190,25729
HEA_speciale_807122,HEA,speciale,807122,25730
HEA_speciale_800471,HEA,speciale,800471,25731
HEA_speciale_807177,HEA,speciale,807177,25732
HEA_speciale_440377,HEA,speciale,440377,25733
HEA_speciale_440268,HEA,speciale,440268,25734
HEA_speciale_457000,HEA,speciale,457000,25735
HEA_speciale_482106,HEA,speciale,482106,25736
HEA_speciale_621019,HEA,speciale,621019,25737
HEA_speciale_077416,HEA,speciale,077416,25738
HEA_speciale_501606,HEA,speciale,501606,25739
