code,prefix,database,value,token_id
LAB_bredt_loen_beloeb_Q1,LAB,bredt,loen_beloeb_Q1,5962
LAB_bredt_loen_beloeb_Q6,LAB,bredt,loen_beloeb_Q6,5963
LAB_bredt_loen_beloeb_Q23,LAB,bredt,loen_beloeb_Q23,5964
LAB_bredt_loen_beloeb_Q5,LAB,bredt,loen_beloeb_Q5,5965
LAB_bredt_loen_beloeb_Q47,LAB,bredt,loen_beloeb_Q47,5966
LAB_bredt_loen_beloeb_Q44,LAB,bredt,loen_beloeb_Q44,5967
LAB_bredt_loen_beloeb_Q52,LAB,bredt,loen_beloeb_Q52,5968
LAB_bredt_loen_beloeb_Q20,LAB,bredt,loen_beloeb_Q20,5969
LAB_bredt_loen_beloeb_Q19,LAB,bredt,loen_beloeb_Q19,5970
LAB_bredt_loen_beloeb_Q69,LAB,bredt,loen_beloeb_Q69,5971
LAB_bredt_loen_beloeb_Q39,LAB,bredt,loen_beloeb_Q39,5972
LAB_bredt_loen_beloeb_Q50,LAB,bredt,loen_beloeb_Q50,5973
LAB_bredt_loen_beloeb_Q28,LAB,bredt,loen_beloeb_Q28,5974
LAB_bredt_loen_beloeb_Q30,LAB,bredt,loen_beloeb_Q30,5975
LAB_bredt_loen_beloeb_Q51,LAB,bredt,loen_beloeb_Q51,5976
LAB_bredt_loen_beloeb_Q31,LAB,bredt,loen_beloeb_Q31,5977
LAB_bredt_loen_beloeb_Q49,LAB,bredt,loen_beloeb_Q49,5978
LAB_bredt_loen_beloeb_Q7,LAB,bredt,loen_beloeb_Q7,5979
LAB_bredt_loen_beloeb_Q93,LAB,bredt,loen_beloeb_Q93,5980
LAB_bredt_loen_beloeb_Q34,LAB,bredt,loen_beloeb_Q34,5981
LAB_bredt_loen_beloeb_Q64,LAB,bredt,loen_beloeb_Q64,5982
LAB_bredt_loen_beloeb_Q42,LAB,bredt,loen_beloeb_Q42,5983
LAB_bredt_loen_beloeb_Q41,LAB,bredt,loen_beloeb_Q41,5984
LAB_bredt_loen_beloeb_Q8,LAB,bredt,loen_beloeb_Q8,5985
LAB_bredt_loen_beloeb_Q4,LAB,bredt,loen_beloeb_Q4,5986
LAB_bredt_loen_beloeb_Q38,LAB,bredt,loen_beloeb_Q38,5987
