code,prefix,database,value,token_id
LAB_dagpenge_kontant_13_Q15,LAB,dagpenge,kontant_13_Q15,6762
LAB_dagpenge_kontant_13_Q4,LAB,dagpenge,kontant_13_Q4,6763
LAB_dagpenge_kontant_13_Q6,LAB,dagpenge,kontant_13_Q6,6764
LAB_dagpenge_kontant_13_Q11,LAB,dagpenge,kontant_13_Q11,6765
LAB_dagpenge_kontant_13_Q88,LAB,dagpenge,kontant_13_Q88,6766
LAB_dagpenge_kontant_13_Q23,LAB,dagpenge,kontant_13_Q23,6767
LAB_dagpenge_kontant_13_Q26,LAB,dagpenge,kontant_13_Q26,6768
LAB_dagpenge_kontant_13_Q92,LAB,dagpenge,kontant_13_Q92,6769
LAB_dagpenge_kontant_13_Q51,LAB,dagpenge,kontant_13_Q51,6770
LAB_dagpenge_kontant_13_Q5,LAB,dagpenge,kontant_13_Q5,6771
LAB_dagpenge_kontant_13_Q80,LAB,dagpenge,kontant_13_Q80,6772
LAB_dagpenge_kontant_13_Q75,LAB,dagpenge,kontant_13_Q75,6773
LAB_dagpenge_kontant_13_Q73,LAB,dagpenge,kontant_13_Q73,6774
LAB_dagpenge_kontant_13_Q85,LAB,dagpenge,kontant_13_Q85,6775
LAB_dagpenge_kontant_13_Q89,LAB,dagpenge,kontant_13_Q89,6776
LAB_dagpenge_kontant_13_Q83,LAB,dagpenge,kontant_13_Q83,6777
LAB_dagpenge_kontant_13_Q81,LAB,dagpenge,kontant_13_Q81,6778
LAB_dagpenge_kontant_13_Q78,LAB,dagpenge,kontant_13_Q78,6779
LAB_dagpenge_kontant_13_Q71,LAB,dagpenge,kontant_13_Q71,6780
LAB_dagpenge_kontant_13_Q91,LAB,dagpenge,kontant_13_Q91,6781
LAB_dagpenge_kontant_13_Q79,LAB,dagpenge,kontant_13_Q79,6782
LAB_dagpenge_kontant_13_Q72,LAB,dagpenge,kontant_13_Q72,6783
LAB_dagpenge_kontant_13_Q70,LAB,dagpenge,kontant_13_Q70,6784
LAB_dagpenge_kontant_13_Q77,LAB,dagpenge,kontant_13_Q77,6785
LAB_dagpenge_kontant_13_Q54,LAB,dagpenge,kontant_13_Q54,6786
LAB_dagpenge_kontant_13_Q82,LAB,dagpenge,kontant_13_Q82,6787
LAB_dagpenge_kontant_13_Q36,LAB,dagpenge,kontant_13_Q36,6788
LAB_dagpenge_kontant_13_Q67,LAB,dagpenge,kontant_13_Q67,6789
LAB_dagpenge_kontant_13_Q76,LAB,dagpenge,kontant_13_Q76,6790
LAB_dagpenge_kontant_13_Q69,LAB,dagpenge,kontant_13_Q69,6791
LAB_dagpenge_kontant_13_Q58,LAB,dagpenge,kontant_13_Q58,6792
LAB_dagpenge_kontant_13_Q63,LAB,dagpenge,kontant_13_Q63,6793
LAB_dagpenge_kontant_13_Q1,LAB,dagpenge,kontant_13_Q1,6794
LAB_dagpenge_kontant_13_Q14,LAB,dagpenge,kontant_13_Q14,6795
LAB_dagpenge_kontant_13_Q42,LAB,dagpenge,kontant_13_Q42,6796
LAB_dagpenge_kontant_13_Q38,LAB,dagpenge,kontant_13_Q38,6797
LAB_dagpenge_kontant_13_Q49,LAB,dagpenge,kontant_13_Q49,6798
LAB_dagpenge_kontant_13_Q2,LAB,dagpenge,kontant_13_Q2,6799
LAB_dagpenge_kontant_13_Q28,LAB,dagpenge,kontant_13_Q28,6800
LAB_dagpenge_kontant_13_Q9,LAB,dagpenge,kontant_13_Q9,6801
LAB_dagpenge_kontant_13_Q7,LAB,dagpenge,kontant_13_Q7,6802
LAB_dagpenge_kontant_13_Q56,LAB,dagpenge,kontant_13_Q56,6803
LAB_dagpenge_kontant_13_Q45,LAB,dagpenge,kontant_13_Q45,6804
LAB_dagpenge_kontant_13_Q30,LAB,dagpenge,kontant_13_Q30,6805
LAB_dagpenge_kontant_13_Q31,LAB,dagpenge,kontant_13_Q31,6806
LAB_dagpenge_kontant_13_Q20,LAB,dagpenge,kontant_13_Q20,6807
LAB_dagpenge_kontant_13_Q37,LAB,dagpenge,kontant_13_Q37,6808
LAB_dagpenge_kontant_13_Q59,LAB,dagpenge,kontant_13_Q59,6809
LAB_dagpenge_kontant_13_Q62,LAB,dagpenge,kontant_13_Q62,6810
LAB_dagpenge_kontant_13_Q55,LAB,dagpenge,kontant_13_Q55,6811
LAB_dagpenge_kontant_13_Q39,LAB,dagpenge,kontant_13_Q39,6812
LAB_dagpenge_kontant_13_Q32,LAB,dagpenge,kontant_13_Q32,6813
LAB_dagpenge_kontant_13_Q41,LAB,dagpenge,kontant_13_Q41,6814
LAB_dagpenge_kontant_13_Q44,LAB,dagpenge,kontant_13_Q44,6815
LAB_dagpenge_kontant_13_Q33,LAB,dagpenge,kontant_13_Q33,6816
LAB_dagpenge_kontant_13_Q47,LAB,dagpenge,kontant_13_Q47,6817
LAB_dagpenge_kontant_13_Q74,LAB,dagpenge,kontant_13_Q74,6818
LAB_dagpenge_kontant_13_Q40,LAB,dagpenge,kontant_13_Q40,6819
LAB_dagpenge_kontant_13_Q60,LAB,dagpenge,kontant_13_Q60,6820
LAB_dagpenge_kontant_13_Q34,LAB,dagpenge,kontant_13_Q34,6821
LAB_dagpenge_kontant_13_Q8,LAB,dagpenge,kontant_13_Q8,6822
LAB_dagpenge_kontant_13_Q52,LAB,dagpenge,kontant_13_Q52,6823
LAB_dagpenge_kontant_13_Q53,LAB,dagpenge,kontant_13_Q53,6824
LAB_dagpenge_kontant_13_Q61,LAB,dagpenge,kontant_13_Q61,6825
LAB_dagpenge_kontant_13_Q50,LAB,dagpenge,kontant_13_Q50,6826
LAB_dagpenge_kontant_13_Q24,LAB,dagpenge,kontant_13_Q24,6827
LAB_dagpenge_kontant_13_Q16,LAB,dagpenge,kontant_13_Q16,6828
LAB_dagpenge_kontant_13_Q29,LAB,dagpenge,kontant_13_Q29,6829
LAB_dagpenge_kontant_13_Q19,LAB,dagpenge,kontant_13_Q19,6830
LAB_dagpenge_kontant_13_Q68,LAB,dagpenge,kontant_13_Q68,6831
LAB_dagpenge_kontant_13_Q48,LAB,dagpenge,kontant_13_Q48,6832
LAB_dagpenge_kontant_13_Q10,LAB,dagpenge,kontant_13_Q10,6833
LAB_dagpenge_kontant_13_Q12,LAB,dagpenge,kontant_13_Q12,6834
LAB_dagpenge_kontant_13_Q57,LAB,dagpenge,kontant_13_Q57,6835
LAB_dagpenge_kontant_13_Q13,LAB,dagpenge,kontant_13_Q13,6836
LAB_dagpenge_kontant_13_Q43,LAB,dagpenge,kontant_13_Q43,6837
LAB_dagpenge_kontant_13_Q64,LAB,dagpenge,kontant_13_Q64,6838
LAB_dagpenge_kontant_13_Q3,LAB,dagpenge,kontant_13_Q3,6839
LAB_dagpenge_kontant_13_Q17,LAB,dagpenge,kontant_13_Q17,6840
LAB_dagpenge_kontant_13_Q98,LAB,dagpenge,kontant_13_Q98,6841
LAB_dagpenge_kontant_13_Q27,LAB,dagpenge,kontant_13_Q27,6842
LAB_dagpenge_kontant_13_Q25,LAB,dagpenge,kontant_13_Q25,6843
LAB_dagpenge_kontant_13_Q66,LAB,dagpenge,kontant_13_Q66,6844
LAB_dagpenge_kontant_13_Q87,LAB,dagpenge,kontant_13_Q87,6845
LAB_dagpenge_kontant_13_Q46,LAB,dagpenge,kontant_13_Q46,6846
LAB_dagpenge_kontant_13_Q21,LAB,dagpenge,kontant_13_Q21,6847
LAB_dagpenge_kontant_13_Q95,LAB,dagpenge,kontant_13_Q95,6848
LAB_dagpenge_kontant_13_Q90,LAB,dagpenge,kontant_13_Q90,6849
LAB_dagpenge_kontant_13_Q86,LAB,dagpenge,kontant_13_Q86,6850
LAB_dagpenge_kontant_13_Q97,LAB,dagpenge,kontant_13_Q97,6851
LAB_dagpenge_kontant_13_Q84,LAB,dagpenge,kontant_13_Q84,6852
LAB_dagpenge_kontant_13_Q96,LAB,dagpenge,kontant_13_Q96,6853
LAB_dagpenge_kontant_13_Q65,LAB,dagpenge,kontant_13_Q65,6854
LAB_dagpenge_kontant_13_Q22,LAB,dagpenge,kontant_13_Q22,6855
LAB_dagpenge_kontant_13_Q93,LAB,dagpenge,kontant_13_Q93,6856
LAB_dagpenge_kontant_13_Q94,LAB,dagpenge,kontant_13_Q94,6857
LAB_dagpenge_kontant_13_Q99,LAB,dagpenge,kontant_13_Q99,6858
LAB_dagpenge_kontant_13_Q18,LAB,dagpenge,kontant_13_Q18,6859
LAB_dagpenge_kontant_13_Q35,LAB,dagpenge,kontant_13_Q35,6860
LAB_dagpenge_kontant_13_Q100,LAB,dagpenge,kontant_13_Q100,6861
