code,prefix,database,value,token_id
LAB_db07_531000,LAB,db07,531000,2868
LAB_db07_889910,LAB,db07,889910,2869
LAB_db07_222900,LAB,db07,222900,2870
LAB_db07_749010,LAB,db07,749010,2871
LAB_db07_941100,LAB,db07,941100,2872
LAB_db07_682040,LAB,db07,682040,2873
LAB_db07_162400,LAB,db07,162400,2874
LAB_db07_721100,LAB,db07,721100,2875
LAB_db07_141300,LAB,db07,141300,2876
LAB_db07_139210,LAB,db07,139210,2877
LAB_db07_702200,LAB,db07,702200,2878
LAB_db07_14100,LAB,db07,14100,2879
LAB_db07_842200,LAB,db07,842200,2880
LAB_db07_855300,LAB,db07,855300,2881
LAB_db07_651200,LAB,db07,651200,2882
LAB_db07_692000,LAB,db07,692000,2883
LAB_db07_259200,LAB,db07,259200,2884
LAB_db07_552000,LAB,db07,552000,2885
LAB_db07_852010,LAB,db07,852010,2886
LAB_db07_949900,LAB,db07,949900,2887
LAB_db07_889920,LAB,db07,889920,2888
LAB_db07_782000,LAB,db07,782000,2889
LAB_db07_889150,LAB,db07,889150,2890
LAB_db07_931300,LAB,db07,931300,2891
LAB_db07_853110,LAB,db07,853110,2892
LAB_db07_464220,LAB,db07,464220,2893
LAB_db07_532000,LAB,db07,532000,2894
LAB_db07_951100,LAB,db07,951100,2895
LAB_db07_256100,LAB,db07,256100,2896
LAB_db07_869090,LAB,db07,869090,2897
LAB_db07_471110,LAB,db07,471110,2898
LAB_db07_251100,LAB,db07,251100,2899
LAB_db07_812100,LAB,db07,812100,2900
LAB_db07_855900,LAB,db07,855900,2901
LAB_db07_871010,LAB,db07,871010,2902
LAB_db07_493200,LAB,db07,493200,2903
LAB_db07_493110,LAB,db07,493110,2904
LAB_db07_561010,LAB,db07,561010,2905
LAB_db07_841100,LAB,db07,841100,2906
LAB_db07_205200,LAB,db07,205200,2907
LAB_db07_467310,LAB,db07,467310,2908
LAB_db07_881010,LAB,db07,881010,2909
LAB_db07_889990,LAB,db07,889990,2910
LAB_db07_682010,LAB,db07,682010,2911
LAB_db07_563000,LAB,db07,563000,2912
LAB_db07_479111,LAB,db07,479111,2913
LAB_db07_561020,LAB,db07,561020,2914
LAB_db07_109200,LAB,db07,109200,2915
LAB_db07_879020,LAB,db07,879020,2916
LAB_db07_743000,LAB,db07,743000,2917
LAB_db07_493910,LAB,db07,493910,2918
LAB_db07_811000,LAB,db07,811000,2919
LAB_db07_101300,LAB,db07,101300,2920
LAB_db07_101200,LAB,db07,101200,2921
LAB_db07_463900,LAB,db07,463900,2922
LAB_db07_620200,LAB,db07,620200,2923
LAB_db07_469000,LAB,db07,469000,2924
LAB_db07_222100,LAB,db07,222100,2925
LAB_db07_910200,LAB,db07,910200,2926
LAB_db07_721900,LAB,db07,721900,2927
LAB_db07_854200,LAB,db07,854200,2928
LAB_db07_551010,LAB,db07,551010,2929
LAB_db07_239910,LAB,db07,239910,2930
LAB_db07_889130,LAB,db07,889130,2931
LAB_db07_853120,LAB,db07,853120,2932
LAB_db07_873020,LAB,db07,873020,2933
LAB_db07_682030,LAB,db07,682030,2934
LAB_db07_931200,LAB,db07,931200,2935
LAB_db07_265100,LAB,db07,265100,2936
LAB_db07_466900,LAB,db07,466900,2937
LAB_db07_476420,LAB,db07,476420,2938
LAB_db07_289900,LAB,db07,289900,2939
LAB_db07_463600,LAB,db07,463600,2940
LAB_db07_104200,LAB,db07,104200,2941
LAB_db07_581410,LAB,db07,581410,2942
LAB_db07_181200,LAB,db07,181200,2943
LAB_db07_182000,LAB,db07,182000,2944
LAB_db07_432900,LAB,db07,432900,2945
LAB_db07_452010,LAB,db07,452010,2946
LAB_db07_931100,LAB,db07,931100,2947
LAB_db07_451920,LAB,db07,451920,2948
LAB_db07_841200,LAB,db07,841200,2949
LAB_db07_869030,LAB,db07,869030,2950
LAB_db07_522920,LAB,db07,522920,2951
LAB_db07_521000,LAB,db07,521000,2952
LAB_db07_900400,LAB,db07,900400,2953
LAB_db07_889110,LAB,db07,889110,2954
LAB_db07_949100,LAB,db07,949100,2955
LAB_db07_351100,LAB,db07,351100,2956
LAB_db07_212000,LAB,db07,212000,2957
LAB_db07_477110,LAB,db07,477110,2958
LAB_db07_108900,LAB,db07,108900,2959
LAB_db07_281300,LAB,db07,281300,2960
LAB_db07_282500,LAB,db07,282500,2961
LAB_db07_861000,LAB,db07,861000,2962
LAB_db07_641900,LAB,db07,641900,2963
LAB_db07_477700,LAB,db07,477700,2964
LAB_db07_464330,LAB,db07,464330,2965
