code,prefix,database,value,token_id
LAB_erhvervsindk_13_Q57,LAB,erhvervsindk,13_Q57,6262
LAB_erhvervsindk_13_Q35,LAB,erhvervsindk,13_Q35,6263
LAB_erhvervsindk_13_Q15,LAB,erhvervsindk,13_Q15,6264
LAB_erhvervsindk_13_Q31,LAB,erhvervsindk,13_Q31,6265
LAB_erhvervsindk_13_Q45,LAB,erhvervsindk,13_Q45,6266
LAB_erhvervsindk_13_Q44,LAB,erhvervsindk,13_Q44,6267
LAB_erhvervsindk_13_Q36,LAB,erhvervsindk,13_Q36,6268
LAB_erhvervsindk_13_Q7,LAB,erhvervsindk,13_Q7,6269
LAB_erhvervsindk_13_Q58,LAB,erhvervsindk,13_Q58,6270
LAB_erhvervsindk_13_Q53,LAB,erhvervsindk,13_Q53,6271
LAB_erhvervsindk_13_Q51,LAB,erhvervsindk,13_Q51,6272
LAB_erhvervsindk_13_Q50,LAB,erhvervsindk,13_Q50,6273
LAB_erhvervsindk_13_Q42,LAB,erhvervsindk,13_Q42,6274
LAB_erhvervsindk_13_Q47,LAB,erhvervsindk,13_Q47,6275
LAB_erhvervsindk_13_Q46,LAB,erhvervsindk,13_Q46,6276
LAB_erhvervsindk_13_Q39,LAB,erhvervsindk,13_Q39,6277
LAB_erhvervsindk_13_Q18,LAB,erhvervsindk,13_Q18,6278
LAB_erhvervsindk_13_Q17,LAB,erhvervsindk,13_Q17,6279
LAB_erhvervsindk_13_Q14,LAB,erhvervsindk,13_Q14,6280
LAB_erhvervsindk_13_Q5,LAB,erhvervsindk,13_Q5,6281
LAB_erhvervsindk_13_Q23,LAB,erhvervsindk,13_Q23,6282
LAB_erhvervsindk_13_Q37,LAB,erhvervsindk,13_Q37,6283
LAB_erhvervsindk_13_Q33,LAB,erhvervsindk,13_Q33,6284
LAB_erhvervsindk_13_Q38,LAB,erhvervsindk,13_Q38,6285
LAB_erhvervsindk_13_Q10,LAB,erhvervsindk,13_Q10,6286
LAB_erhvervsindk_13_Q16,LAB,erhvervsindk,13_Q16,6287
LAB_erhvervsindk_13_Q9,LAB,erhvervsindk,13_Q9,6288
LAB_erhvervsindk_13_Q41,LAB,erhvervsindk,13_Q41,6289
LAB_erhvervsindk_13_Q8,LAB,erhvervsindk,13_Q8,6290
LAB_erhvervsindk_13_Q6,LAB,erhvervsindk,13_Q6,6291
LAB_erhvervsindk_13_Q40,LAB,erhvervsindk,13_Q40,6292
LAB_erhvervsindk_13_Q20,LAB,erhvervsindk,13_Q20,6293
LAB_erhvervsindk_13_Q19,LAB,erhvervsindk,13_Q19,6294
LAB_erhvervsindk_13_Q34,LAB,erhvervsindk,13_Q34,6295
LAB_erhvervsindk_13_Q22,LAB,erhvervsindk,13_Q22,6296
LAB_erhvervsindk_13_Q48,LAB,erhvervsindk,13_Q48,6297
LAB_erhvervsindk_13_Q49,LAB,erhvervsindk,13_Q49,6298
LAB_erhvervsindk_13_Q55,LAB,erhvervsindk,13_Q55,6299
LAB_erhvervsindk_13_Q12,LAB,erhvervsindk,13_Q12,6300
LAB_erhvervsindk_13_Q24,LAB,erhvervsindk,13_Q24,6301
LAB_erhvervsindk_13_Q25,LAB,erhvervsindk,13_Q25,6302
LAB_erhvervsindk_13_Q11,LAB,erhvervsindk,13_Q11,6303
LAB_erhvervsindk_13_Q3,LAB,erhvervsindk,13_Q3,6304
LAB_erhvervsindk_13_Q2,LAB,erhvervsindk,13_Q2,6305
LAB_erhvervsindk_13_Q4,LAB,erhvervsindk,13_Q4,6306
LAB_erhvervsindk_13_Q43,LAB,erhvervsindk,13_Q43,6307
LAB_erhvervsindk_13_Q32,LAB,erhvervsindk,13_Q32,6308
LAB_erhvervsindk_13_Q26,LAB,erhvervsindk,13_Q26,6309
LAB_erhvervsindk_13_Q59,LAB,erhvervsindk,13_Q59,6310
