code,prefix,database,value,token_id
LAB_formueindk_brutto_Q27,LAB,formueindk,brutto_Q27,7902
LAB_formueindk_brutto_Q30,LAB,formueindk,brutto_Q30,7903
LAB_formueindk_brutto_Q28,LAB,formueindk,brutto_Q28,7904
LAB_formueindk_brutto_Q18,LAB,formueindk,brutto_Q18,7905
LAB_formueindk_brutto_Q21,LAB,formueindk,brutto_Q21,7906
LAB_formueindk_brutto_Q24,LAB,formueindk,brutto_Q24,7907
LAB_formueindk_brutto_Q13,LAB,formueindk,brutto_Q13,7908
LAB_formueindk_brutto_Q22,LAB,formueindk,brutto_Q22,7909
LAB_formueindk_brutto_Q14,LAB,formueindk,brutto_Q14,7910
LAB_formueindk_brutto_Q29,LAB,formueindk,brutto_Q29,7911
LAB_formueindk_brutto_Q31,LAB,formueindk,brutto_Q31,7912
LAB_formueindk_brutto_Q11,LAB,formueindk,brutto_Q11,7913
LAB_formueindk_brutto_Q12,LAB,formueindk,brutto_Q12,7914
LAB_formueindk_brutto_Q15,LAB,formueindk,brutto_Q15,7915
LAB_formueindk_brutto_Q10,LAB,formueindk,brutto_Q10,7916
LAB_formueindk_brutto_Q17,LAB,formueindk,brutto_Q17,7917
LAB_formueindk_brutto_Q20,LAB,formueindk,brutto_Q20,7918
LAB_formueindk_brutto_Q25,LAB,formueindk,brutto_Q25,7919
LAB_formueindk_brutto_Q38,LAB,formueindk,brutto_Q38,7920
LAB_formueindk_brutto_Q47,LAB,formueindk,brutto_Q47,7921
LAB_formueindk_brutto_Q78,LAB,formueindk,brutto_Q78,7922
LAB_formueindk_brutto_Q41,LAB,formueindk,brutto_Q41,7923
LAB_formueindk_brutto_Q64,LAB,formueindk,brutto_Q64,7924
LAB_formueindk_brutto_Q19,LAB,formueindk,brutto_Q19,7925
LAB_formueindk_brutto_Q2,LAB,formueindk,brutto_Q2,7926
LAB_formueindk_brutto_Q46,LAB,formueindk,brutto_Q46,7927
LAB_formueindk_brutto_Q68,LAB,formueindk,brutto_Q68,7928
LAB_formueindk_brutto_Q26,LAB,formueindk,brutto_Q26,7929
LAB_formueindk_brutto_Q43,LAB,formueindk,brutto_Q43,7930
LAB_formueindk_brutto_Q9,LAB,formueindk,brutto_Q9,7931
LAB_formueindk_brutto_Q16,LAB,formueindk,brutto_Q16,7932
LAB_formueindk_brutto_Q32,LAB,formueindk,brutto_Q32,7933
LAB_formueindk_brutto_Q54,LAB,formueindk,brutto_Q54,7934
LAB_formueindk_brutto_Q45,LAB,formueindk,brutto_Q45,7935
LAB_formueindk_brutto_Q23,LAB,formueindk,brutto_Q23,7936
LAB_formueindk_brutto_Q1,LAB,formueindk,brutto_Q1,7937
LAB_formueindk_brutto_Q49,LAB,formueindk,brutto_Q49,7938
LAB_formueindk_brutto_Q50,LAB,formueindk,brutto_Q50,7939
LAB_formueindk_brutto_Q34,LAB,formueindk,brutto_Q34,7940
LAB_formueindk_brutto_Q90,LAB,formueindk,brutto_Q90,7941
LAB_formueindk_brutto_Q62,LAB,formueindk,brutto_Q62,7942
LAB_formueindk_brutto_Q69,LAB,formueindk,brutto_Q69,7943
LAB_formueindk_brutto_Q59,LAB,formueindk,brutto_Q59,7944
LAB_formueindk_brutto_Q94,LAB,formueindk,brutto_Q94,7945
LAB_formueindk_brutto_Q7,LAB,formueindk,brutto_Q7,7946
LAB_formueindk_brutto_Q75,LAB,formueindk,brutto_Q75,7947
LAB_formueindk_brutto_Q99,LAB,formueindk,brutto_Q99,7948
LAB_formueindk_brutto_Q82,LAB,formueindk,brutto_Q82,7949
LAB_formueindk_brutto_Q66,LAB,formueindk,brutto_Q66,7950
LAB_formueindk_brutto_Q35,LAB,formueindk,brutto_Q35,7951
LAB_formueindk_brutto_Q48,LAB,formueindk,brutto_Q48,7952
