code,prefix,database,value,token_id
LAB_korstoett_Q26,LAB,korstoett,Q26,7472
LAB_korstoett_Q25,LAB,korstoett,Q25,7473
LAB_korstoett_Q30,LAB,korstoett,Q30,7474
LAB_korstoett_Q73,LAB,korstoett,Q73,7475
LAB_korstoett_Q79,LAB,korstoett,Q79,7476
LAB_korstoett_Q76,LAB,korstoett,Q76,7477
LAB_korstoett_Q41,LAB,korstoett,Q41,7478
LAB_korstoett_Q15,LAB,korstoett,Q15,7479
LAB_korstoett_Q18,LAB,korstoett,Q18,7480
LAB_korstoett_Q31,LAB,korstoett,Q31,7481
LAB_korstoett_Q17,LAB,korstoett,Q17,7482
LAB_korstoett_Q14,LAB,korstoett,Q14,7483
LAB_korstoett_Q16,LAB,korstoett,Q16,7484
LAB_korstoett_Q39,LAB,korstoett,Q39,7485
LAB_korstoett_Q34,LAB,korstoett,Q34,7486
LAB_korstoett_Q7,LAB,korstoett,Q7,7487
LAB_korstoett_Q1,LAB,korstoett,Q1,7488
LAB_korstoett_Q9,LAB,korstoett,Q9,7489
LAB_korstoett_Q8,LAB,korstoett,Q8,7490
LAB_korstoett_Q4,LAB,korstoett,Q4,7491
LAB_korstoett_Q3,LAB,korstoett,Q3,7492
LAB_korstoett_Q6,LAB,korstoett,Q6,7493
LAB_korstoett_Q5,LAB,korstoett,Q5,7494
LAB_korstoett_Q13,LAB,korstoett,Q13,7495
LAB_korstoett_Q10,LAB,korstoett,Q10,7496
LAB_korstoett_Q77,LAB,korstoett,Q77,7497
LAB_korstoett_Q66,LAB,korstoett,Q66,7498
LAB_korstoett_Q44,LAB,korstoett,Q44,7499
LAB_korstoett_Q67,LAB,korstoett,Q67,7500
LAB_korstoett_Q68,LAB,korstoett,Q68,7501
LAB_korstoett_Q65,LAB,korstoett,Q65,7502
LAB_korstoett_Q55,LAB,korstoett,Q55,7503
LAB_korstoett_Q24,LAB,korstoett,Q24,7504
LAB_korstoett_Q63,LAB,korstoett,Q63,7505
LAB_korstoett_Q20,LAB,korstoett,Q20,7506
LAB_korstoett_Q57,LAB,korstoett,Q57,7507
LAB_korstoett_Q56,LAB,korstoett,Q56,7508
LAB_korstoett_Q51,LAB,korstoett,Q51,7509
LAB_korstoett_Q38,LAB,korstoett,Q38,7510
LAB_korstoett_Q2,LAB,korstoett,Q2,7511
LAB_korstoett_Q21,LAB,korstoett,Q21,7512
LAB_korstoett_Q49,LAB,korstoett,Q49,7513
LAB_korstoett_Q40,LAB,korstoett,Q40,7514
LAB_korstoett_Q43,LAB,korstoett,Q43,7515
LAB_korstoett_Q12,LAB,korstoett,Q12,7516
LAB_korstoett_Q11,LAB,korstoett,Q11,7517
LAB_korstoett_Q27,LAB,korstoett,Q27,7518
LAB_korstoett_Q50,LAB,korstoett,Q50,7519
LAB_korstoett_Q45,LAB,korstoett,Q45,7520
LAB_korstoett_Q58,LAB,korstoett,Q58,7521
LAB_korstoett_Q75,LAB,korstoett,Q75,7522
LAB_korstoett_Q59,LAB,korstoett,Q59,7523
LAB_korstoett_Q47,LAB,korstoett,Q47,7524
LAB_korstoett_Q61,LAB,korstoett,Q61,7525
LAB_korstoett_Q48,LAB,korstoett,Q48,7526
LAB_korstoett_Q36,LAB,korstoett,Q36,7527
LAB_korstoett_Q62,LAB,korstoett,Q62,7528
LAB_korstoett_Q28,LAB,korstoett,Q28,7529
LAB_korstoett_Q22,LAB,korstoett,Q22,7530
LAB_korstoett_Q19,LAB,korstoett,Q19,7531
LAB_korstoett_Q54,LAB,korstoett,Q54,7532
LAB_korstoett_Q52,LAB,korstoett,Q52,7533
LAB_korstoett_Q32,LAB,korstoett,Q32,7534
LAB_korstoett_Q37,LAB,korstoett,Q37,7535
LAB_korstoett_Q60,LAB,korstoett,Q60,7536
LAB_korstoett_Q93,LAB,korstoett,Q93,7537
LAB_korstoett_Q94,LAB,korstoett,Q94,7538
LAB_korstoett_Q99,LAB,korstoett,Q99,7539
LAB_korstoett_Q95,LAB,korstoett,Q95,7540
LAB_korstoett_Q96,LAB,korstoett,Q96,7541
LAB_korstoett_Q91,LAB,korstoett,Q91,7542
LAB_korstoett_Q90,LAB,korstoett,Q90,7543
LAB_korstoett_Q23,LAB,korstoett,Q23,7544
LAB_korstoett_Q35,LAB,korstoett,Q35,7545
LAB_korstoett_Q42,LAB,korstoett,Q42,7546
LAB_korstoett_Q72,LAB,korstoett,Q72,7547
LAB_korstoett_Q29,LAB,korstoett,Q29,7548
LAB_korstoett_Q64,LAB,korstoett,Q64,7549
LAB_korstoett_Q33,LAB,korstoett,Q33,7550
LAB_korstoett_Q74,LAB,korstoett,Q74,7551
LAB_korstoett_Q46,LAB,korstoett,Q46,7552
LAB_korstoett_Q80,LAB,korstoett,Q80,7553
LAB_korstoett_Q53,LAB,korstoett,Q53,7554
LAB_korstoett_Q71,LAB,korstoett,Q71,7555
LAB_korstoett_Q70,LAB,korstoett,Q70,7556
LAB_korstoett_Q69,LAB,korstoett,Q69,7557
LAB_korstoett_Q78,LAB,korstoett,Q78,7558
LAB_korstoett_Q81,LAB,korstoett,Q81,7559
LAB_korstoett_Q88,LAB,korstoett,Q88,7560
LAB_korstoett_Q92,LAB,korstoett,Q92,7561
LAB_korstoett_Q82,LAB,korstoett,Q82,7562
LAB_korstoett_Q83,LAB,korstoett,Q83,7563
LAB_korstoett_Q87,LAB,korstoett,Q87,7564
LAB_korstoett_Q89,LAB,korstoett,Q89,7565
LAB_korstoett_Q86,LAB,korstoett,Q86,7566
LAB_korstoett_Q84,LAB,korstoett,Q84,7567
LAB_korstoett_Q85,LAB,korstoett,Q85,7568
LAB_korstoett_Q97,LAB,korstoett,Q97,7569
LAB_korstoett_Q100,LAB,korstoett,Q100,7570
LAB_korstoett_Q98,LAB,korstoett,Q98,7571
