code,prefix,database,value,token_id
LAB_ovrig_dagpenge_akas_13_Q11,LAB,ovrig,dagpenge_akas_13_Q11,6962
LAB_ovrig_dagpenge_akas_13_Q2,LAB,ovrig,dagpenge_akas_13_Q2,6963
LAB_ovrig_dagpenge_akas_13_Q9,LAB,ovrig,dagpenge_akas_13_Q9,6964
LAB_ovrig_dagpenge_akas_13_Q24,LAB,ovrig,dagpenge_akas_13_Q24,6965
LAB_ovrig_dagpenge_akas_13_Q3,LAB,ovrig,dagpenge_akas_13_Q3,6966
LAB_ovrig_dagpenge_akas_13_Q7,LAB,ovrig,dagpenge_akas_13_Q7,6967
LAB_ovrig_dagpenge_akas_13_Q19,LAB,ovrig,dagpenge_akas_13_Q19,6968
LAB_ovrig_dagpenge_akas_13_Q54,LAB,ovrig,dagpenge_akas_13_Q54,6969
LAB_ovrig_dagpenge_akas_13_Q51,LAB,ovrig,dagpenge_akas_13_Q51,6970
LAB_ovrig_dagpenge_akas_13_Q27,LAB,ovrig,dagpenge_akas_13_Q27,6971
LAB_ovrig_dagpenge_akas_13_Q61,LAB,ovrig,dagpenge_akas_13_Q61,6972
LAB_ovrig_dagpenge_akas_13_Q4,LAB,ovrig,dagpenge_akas_13_Q4,6973
LAB_ovrig_dagpenge_akas_13_Q1,LAB,ovrig,dagpenge_akas_13_Q1,6974
LAB_ovrig_dagpenge_akas_13_Q32,LAB,ovrig,dagpenge_akas_13_Q32,6975
LAB_ovrig_dagpenge_akas_13_Q18,LAB,ovrig,dagpenge_akas_13_Q18,6976
LAB_ovrig_dagpenge_akas_13_Q48,LAB,ovrig,dagpenge_akas_13_Q48,6977
LAB_ovrig_dagpenge_akas_13_Q49,LAB,ovrig,dagpenge_akas_13_Q49,6978
LAB_ovrig_dagpenge_akas_13_Q5,LAB,ovrig,dagpenge_akas_13_Q5,6979
LAB_ovrig_dagpenge_akas_13_Q16,LAB,ovrig,dagpenge_akas_13_Q16,6980
LAB_ovrig_dagpenge_akas_13_Q36,LAB,ovrig,dagpenge_akas_13_Q36,6981
LAB_ovrig_dagpenge_akas_13_Q21,LAB,ovrig,dagpenge_akas_13_Q21,6982
LAB_ovrig_dagpenge_akas_13_Q6,LAB,ovrig,dagpenge_akas_13_Q6,6983
LAB_ovrig_dagpenge_akas_13_Q23,LAB,ovrig,dagpenge_akas_13_Q23,6984
LAB_ovrig_dagpenge_akas_13_Q15,LAB,ovrig,dagpenge_akas_13_Q15,6985
LAB_ovrig_dagpenge_akas_13_Q91,LAB,ovrig,dagpenge_akas_13_Q91,6986
LAB_ovrig_dagpenge_akas_13_Q89,LAB,ovrig,dagpenge_akas_13_Q89,6987
LAB_ovrig_dagpenge_akas_13_Q69,LAB,ovrig,dagpenge_akas_13_Q69,6988
LAB_ovrig_dagpenge_akas_13_Q58,LAB,ovrig,dagpenge_akas_13_Q58,6989
LAB_ovrig_dagpenge_akas_13_Q13,LAB,ovrig,dagpenge_akas_13_Q13,6990
LAB_ovrig_dagpenge_akas_13_Q85,LAB,ovrig,dagpenge_akas_13_Q85,6991
LAB_ovrig_dagpenge_akas_13_Q73,LAB,ovrig,dagpenge_akas_13_Q73,6992
LAB_ovrig_dagpenge_akas_13_Q35,LAB,ovrig,dagpenge_akas_13_Q35,6993
LAB_ovrig_dagpenge_akas_13_Q83,LAB,ovrig,dagpenge_akas_13_Q83,6994
LAB_ovrig_dagpenge_akas_13_Q45,LAB,ovrig,dagpenge_akas_13_Q45,6995
LAB_ovrig_dagpenge_akas_13_Q30,LAB,ovrig,dagpenge_akas_13_Q30,6996
LAB_ovrig_dagpenge_akas_13_Q62,LAB,ovrig,dagpenge_akas_13_Q62,6997
LAB_ovrig_dagpenge_akas_13_Q29,LAB,ovrig,dagpenge_akas_13_Q29,6998
LAB_ovrig_dagpenge_akas_13_Q14,LAB,ovrig,dagpenge_akas_13_Q14,6999
LAB_ovrig_dagpenge_akas_13_Q67,LAB,ovrig,dagpenge_akas_13_Q67,7000
LAB_ovrig_dagpenge_akas_13_Q99,LAB,ovrig,dagpenge_akas_13_Q99,7001
LAB_ovrig_dagpenge_akas_13_Q12,LAB,ovrig,dagpenge_akas_13_Q12,7002
LAB_ovrig_dagpenge_akas_13_Q56,LAB,ovrig,dagpenge_akas_13_Q56,7003
LAB_ovrig_dagpenge_akas_13_Q33,LAB,ovrig,dagpenge_akas_13_Q33,7004
