code,prefix,database,value,token_id
LAB_rentudgpr_Q16,LAB,rentudgpr,Q16,8202
LAB_rentudgpr_Q6,LAB,rentudgpr,Q6,8203
LAB_rentudgpr_Q9,LAB,rentudgpr,Q9,8204
LAB_rentudgpr_Q18,LAB,rentudgpr,Q18,8205
LAB_rentudgpr_Q4,LAB,rentudgpr,Q4,8206
LAB_rentudgpr_Q15,LAB,rentudgpr,Q15,8207
LAB_rentudgpr_Q8,LAB,rentudgpr,Q8,8208
LAB_rentudgpr_Q10,LAB,rentudgpr,Q10,8209
LAB_rentudgpr_Q5,LAB,rentudgpr,Q5,8210
LAB_rentudgpr_Q3,LAB,rentudgpr,Q3,8211
LAB_rentudgpr_Q13,LAB,rentudgpr,Q13,8212
LAB_rentudgpr_Q19,LAB,rentudgpr,Q19,8213
LAB_rentudgpr_Q24,LAB,rentudgpr,Q24,8214
LAB_rentudgpr_Q1,LAB,rentudgpr,Q1,8215
LAB_rentudgpr_Q2,LAB,rentudgpr,Q2,8216
LAB_rentudgpr_Q14,LAB,rentudgpr,Q14,8217
LAB_rentudgpr_Q59,LAB,rentudgpr,Q59,8218
LAB_rentudgpr_Q48,LAB,rentudgpr,Q48,8219
LAB_rentudgpr_Q33,LAB,rentudgpr,Q33,8220
LAB_rentudgpr_Q27,LAB,rentudgpr,Q27,8221
LAB_rentudgpr_Q53,LAB,rentudgpr,Q53,8222
LAB_rentudgpr_Q46,LAB,rentudgpr,Q46,8223
LAB_rentudgpr_Q25,LAB,rentudgpr,Q25,8224
LAB_rentudgpr_Q28,LAB,rentudgpr,Q28,8225
LAB_rentudgpr_Q23,LAB,rentudgpr,Q23,8226
LAB_rentudgpr_Q26,LAB,rentudgpr,Q26,8227
LAB_rentudgpr_Q12,LAB,rentudgpr,Q12,8228
LAB_rentudgpr_Q11,LAB,rentudgpr,Q11,8229
LAB_rentudgpr_Q31,LAB,rentudgpr,Q31,8230
LAB_rentudgpr_Q21,LAB,rentudgpr,Q21,8231
LAB_rentudgpr_Q39,LAB,rentudgpr,Q39,8232
LAB_rentudgpr_Q42,LAB,rentudgpr,Q42,8233
LAB_rentudgpr_Q17,LAB,rentudgpr,Q17,8234
LAB_rentudgpr_Q58,LAB,rentudgpr,Q58,8235
LAB_rentudgpr_Q29,LAB,rentudgpr,Q29,8236
LAB_rentudgpr_Q35,LAB,rentudgpr,Q35,8237
LAB_rentudgpr_Q36,LAB,rentudgpr,Q36,8238
LAB_rentudgpr_Q7,LAB,rentudgpr,Q7,8239
LAB_rentudgpr_Q20,LAB,rentudgpr,Q20,8240
LAB_rentudgpr_Q37,LAB,rentudgpr,Q37,8241
LAB_rentudgpr_Q30,LAB,rentudgpr,Q30,8242
LAB_rentudgpr_Q34,LAB,rentudgpr,Q34,8243
LAB_rentudgpr_Q68,LAB,rentudgpr,Q68,8244
LAB_rentudgpr_Q54,LAB,rentudgpr,Q54,8245
LAB_rentudgpr_Q22,LAB,rentudgpr,Q22,8246
LAB_rentudgpr_Q45,LAB,rentudgpr,Q45,8247
LAB_rentudgpr_Q81,LAB,rentudgpr,Q81,8248
LAB_rentudgpr_Q62,LAB,rentudgpr,Q62,8249
LAB_rentudgpr_Q38,LAB,rentudgpr,Q38,8250
LAB_rentudgpr_Q43,LAB,rentudgpr,Q43,8251
LAB_rentudgpr_Q32,LAB,rentudgpr,Q32,8252
LAB_rentudgpr_Q75,LAB,rentudgpr,Q75,8253
LAB_rentudgpr_Q74,LAB,rentudgpr,Q74,8254
LAB_rentudgpr_Q52,LAB,rentudgpr,Q52,8255
LAB_rentudgpr_Q70,LAB,rentudgpr,Q70,8256
LAB_rentudgpr_Q50,LAB,rentudgpr,Q50,8257
LAB_rentudgpr_Q56,LAB,rentudgpr,Q56,8258
LAB_rentudgpr_Q61,LAB,rentudgpr,Q61,8259
LAB_rentudgpr_Q40,LAB,rentudgpr,Q40,8260
LAB_rentudgpr_Q55,LAB,rentudgpr,Q55,8261
LAB_rentudgpr_Q51,LAB,rentudgpr,Q51,8262
LAB_rentudgpr_Q67,LAB,rentudgpr,Q67,8263
LAB_rentudgpr_Q44,LAB,rentudgpr,Q44,8264
LAB_rentudgpr_Q49,LAB,rentudgpr,Q49,8265
LAB_rentudgpr_Q41,LAB,rentudgpr,Q41,8266
LAB_rentudgpr_Q82,LAB,rentudgpr,Q82,8267
LAB_rentudgpr_Q57,LAB,rentudgpr,Q57,8268
