code,prefix,database,value,token_id
LAB_resuink_13_Q33,LAB,resuink,13_Q33,8002
LAB_resuink_13_Q37,LAB,resuink,13_Q37,8003
LAB_resuink_13_Q13,LAB,resuink,13_Q13,8004
LAB_resuink_13_Q27,LAB,resuink,13_Q27,8005
LAB_resuink_13_Q6,LAB,resuink,13_Q6,8006
LAB_resuink_13_Q7,LAB,resuink,13_Q7,8007
LAB_resuink_13_Q18,LAB,resuink,13_Q18,8008
LAB_resuink_13_Q3,LAB,resuink,13_Q3,8009
LAB_resuink_13_Q4,LAB,resuink,13_Q4,8010
LAB_resuink_13_Q8,LAB,resuink,13_Q8,8011
LAB_resuink_13_Q10,LAB,resuink,13_Q10,8012
LAB_resuink_13_Q9,LAB,resuink,13_Q9,8013
LAB_resuink_13_Q2,LAB,resuink,13_Q2,8014
LAB_resuink_13_Q32,LAB,resuink,13_Q32,8015
LAB_resuink_13_Q43,LAB,resuink,13_Q43,8016
LAB_resuink_13_Q38,LAB,resuink,13_Q38,8017
LAB_resuink_13_Q5,LAB,resuink,13_Q5,8018
LAB_resuink_13_Q19,LAB,resuink,13_Q19,8019
LAB_resuink_13_Q42,LAB,resuink,13_Q42,8020
LAB_resuink_13_Q41,LAB,resuink,13_Q41,8021
LAB_resuink_13_Q31,LAB,resuink,13_Q31,8022
LAB_resuink_13_Q26,LAB,resuink,13_Q26,8023
LAB_resuink_13_Q79,LAB,resuink,13_Q79,8024
LAB_resuink_13_Q98,LAB,resuink,13_Q98,8025
LAB_resuink_13_Q80,LAB,resuink,13_Q80,8026
LAB_resuink_13_Q92,LAB,resuink,13_Q92,8027
LAB_resuink_13_Q58,LAB,resuink,13_Q58,8028
LAB_resuink_13_Q63,LAB,resuink,13_Q63,8029
LAB_resuink_13_Q16,LAB,resuink,13_Q16,8030
LAB_resuink_13_Q47,LAB,resuink,13_Q47,8031
LAB_resuink_13_Q46,LAB,resuink,13_Q46,8032
LAB_resuink_13_Q22,LAB,resuink,13_Q22,8033
LAB_resuink_13_Q25,LAB,resuink,13_Q25,8034
LAB_resuink_13_Q1,LAB,resuink,13_Q1,8035
LAB_resuink_13_Q24,LAB,resuink,13_Q24,8036
LAB_resuink_13_Q12,LAB,resuink,13_Q12,8037
LAB_resuink_13_Q11,LAB,resuink,13_Q11,8038
LAB_resuink_13_Q39,LAB,resuink,13_Q39,8039
LAB_resuink_13_Q28,LAB,resuink,13_Q28,8040
LAB_resuink_13_Q30,LAB,resuink,13_Q30,8041
LAB_resuink_13_Q36,LAB,resuink,13_Q36,8042
LAB_resuink_13_Q29,LAB,resuink,13_Q29,8043
LAB_resuink_13_Q34,LAB,resuink,13_Q34,8044
LAB_resuink_13_Q67,LAB,resuink,13_Q67,8045
LAB_resuink_13_Q44,LAB,resuink,13_Q44,8046
LAB_resuink_13_Q54,LAB,resuink,13_Q54,8047
LAB_resuink_13_Q17,LAB,resuink,13_Q17,8048
LAB_resuink_13_Q35,LAB,resuink,13_Q35,8049
LAB_resuink_13_Q40,LAB,resuink,13_Q40,8050
LAB_resuink_13_Q59,LAB,resuink,13_Q59,8051
LAB_resuink_13_Q65,LAB,resuink,13_Q65,8052
LAB_resuink_13_Q77,LAB,resuink,13_Q77,8053
LAB_resuink_13_Q14,LAB,resuink,13_Q14,8054
LAB_resuink_13_Q56,LAB,resuink,13_Q56,8055
LAB_resuink_13_Q73,LAB,resuink,13_Q73,8056
LAB_resuink_13_Q23,LAB,resuink,13_Q23,8057
LAB_resuink_13_Q48,LAB,resuink,13_Q48,8058
LAB_resuink_13_Q85,LAB,resuink,13_Q85,8059
LAB_resuink_13_Q21,LAB,resuink,13_Q21,8060
LAB_resuink_13_Q52,LAB,resuink,13_Q52,8061
LAB_resuink_13_Q20,LAB,resuink,13_Q20,8062
LAB_resuink_13_Q64,LAB,resuink,13_Q64,8063
LAB_resuink_13_Q49,LAB,resuink,13_Q49,8064
LAB_resuink_13_Q57,LAB,resuink,13_Q57,8065
LAB_resuink_13_Q94,LAB,resuink,13_Q94,8066
LAB_resuink_13_Q76,LAB,resuink,13_Q76,8067
