code,prefix,database,value,token_id
LAB_skatmvialt_13_Q38,LAB,skatmvialt,13_Q38,8302
LAB_skatmvialt_13_Q18,LAB,skatmvialt,13_Q18,8303
LAB_skatmvialt_13_Q5,LAB,skatmvialt,13_Q5,8304
LAB_skatmvialt_13_Q14,LAB,skatmvialt,13_Q14,8305
LAB_skatmvialt_13_Q26,LAB,skatmvialt,13_Q26,8306
LAB_skatmvialt_13_Q22,LAB,skatmvialt,13_Q22,8307
LAB_skatmvialt_13_Q25,LAB,skatmvialt,13_Q25,8308
LAB_skatmvialt_13_Q12,LAB,skatmvialt,13_Q12,8309
LAB_skatmvialt_13_Q20,LAB,skatmvialt,13_Q20,8310
LAB_skatmvialt_13_Q39,LAB,skatmvialt,13_Q39,8311
LAB_skatmvialt_13_Q35,LAB,skatmvialt,13_Q35,8312
LAB_skatmvialt_13_Q28,LAB,skatmvialt,13_Q28,8313
LAB_skatmvialt_13_Q30,LAB,skatmvialt,13_Q30,8314
LAB_skatmvialt_13_Q27,LAB,skatmvialt,13_Q27,8315
LAB_skatmvialt_13_Q31,LAB,skatmvialt,13_Q31,8316
LAB_skatmvialt_13_Q7,LAB,skatmvialt,13_Q7,8317
LAB_skatmvialt_13_Q13,LAB,skatmvialt,13_Q13,8318
LAB_skatmvialt_13_Q15,LAB,skatmvialt,13_Q15,8319
LAB_skatmvialt_13_Q8,LAB,skatmvialt,13_Q8,8320
LAB_skatmvialt_13_Q21,LAB,skatmvialt,13_Q21,8321
LAB_skatmvialt_13_Q17,LAB,skatmvialt,13_Q17,8322
LAB_skatmvialt_13_Q11,LAB,skatmvialt,13_Q11,8323
LAB_skatmvialt_13_Q10,LAB,skatmvialt,13_Q10,8324
LAB_skatmvialt_13_Q9,LAB,skatmvialt,13_Q9,8325
LAB_skatmvialt_13_Q16,LAB,skatmvialt,13_Q16,8326
LAB_skatmvialt_13_Q23,LAB,skatmvialt,13_Q23,8327
LAB_skatmvialt_13_Q1,LAB,skatmvialt,13_Q1,8328
LAB_skatmvialt_13_Q19,LAB,skatmvialt,13_Q19,8329
LAB_skatmvialt_13_Q24,LAB,skatmvialt,13_Q24,8330
LAB_skatmvialt_13_Q29,LAB,skatmvialt,13_Q29,8331
LAB_skatmvialt_13_Q33,LAB,skatmvialt,13_Q33,8332
LAB_skatmvialt_13_Q34,LAB,skatmvialt,13_Q34,8333
LAB_skatmvialt_13_Q2,LAB,skatmvialt,13_Q2,8334
LAB_skatmvialt_13_Q3,LAB,skatmvialt,13_Q3,8335
LAB_skatmvialt_13_Q4,LAB,skatmvialt,13_Q4,8336
LAB_skatmvialt_13_Q6,LAB,skatmvialt,13_Q6,8337
LAB_skatmvialt_13_Q60,LAB,skatmvialt,13_Q60,8338
LAB_skatmvialt_13_Q49,LAB,skatmvialt,13_Q49,8339
LAB_skatmvialt_13_Q32,LAB,skatmvialt,13_Q32,8340
LAB_skatmvialt_13_Q66,LAB,skatmvialt,13_Q66,8341
LAB_skatmvialt_13_Q43,LAB,skatmvialt,13_Q43,8342
LAB_skatmvialt_13_Q42,LAB,skatmvialt,13_Q42,8343
LAB_skatmvialt_13_Q36,LAB,skatmvialt,13_Q36,8344
LAB_skatmvialt_13_Q70,LAB,skatmvialt,13_Q70,8345
LAB_skatmvialt_13_Q41,LAB,skatmvialt,13_Q41,8346
LAB_skatmvialt_13_Q76,LAB,skatmvialt,13_Q76,8347
LAB_skatmvialt_13_Q65,LAB,skatmvialt,13_Q65,8348
LAB_skatmvialt_13_Q50,LAB,skatmvialt,13_Q50,8349
LAB_skatmvialt_13_Q69,LAB,skatmvialt,13_Q69,8350
LAB_skatmvialt_13_Q52,LAB,skatmvialt,13_Q52,8351
LAB_skatmvialt_13_Q73,LAB,skatmvialt,13_Q73,8352
LAB_skatmvialt_13_Q67,LAB,skatmvialt,13_Q67,8353
LAB_skatmvialt_13_Q83,LAB,skatmvialt,13_Q83,8354
LAB_skatmvialt_13_Q61,LAB,skatmvialt,13_Q61,8355
LAB_skatmvialt_13_Q62,LAB,skatmvialt,13_Q62,8356
LAB_skatmvialt_13_Q74,LAB,skatmvialt,13_Q74,8357
LAB_skatmvialt_13_Q59,LAB,skatmvialt,13_Q59,8358
LAB_skatmvialt_13_Q46,LAB,skatmvialt,13_Q46,8359
LAB_skatmvialt_13_Q40,LAB,skatmvialt,13_Q40,8360
LAB_skatmvialt_13_Q44,LAB,skatmvialt,13_Q44,8361
LAB_skatmvialt_13_Q48,LAB,skatmvialt,13_Q48,8362
LAB_skatmvialt_13_Q56,LAB,skatmvialt,13_Q56,8363
LAB_skatmvialt_13_Q99,LAB,skatmvialt,13_Q99,8364
LAB_skatmvialt_13_Q77,LAB,skatmvialt,13_Q77,8365
LAB_skatmvialt_13_Q45,LAB,skatmvialt,13_Q45,8366
LAB_skatmvialt_13_Q71,LAB,skatmvialt,13_Q71,8367
LAB_skatmvialt_13_Q37,LAB,skatmvialt,13_Q37,8368
