code,prefix,database,value,token_id
LAB_soc_status_kode_300,LAB,soc,status_kode_300,5095
LAB_soc_status_kode_611,LAB,soc,status_kode_611,5096
LAB_soc_status_kode_200,LAB,soc,status_kode_200,5097
LAB_soc_status_kode_612,LAB,soc,status_kode_612,5098
LAB_soc_status_kode_120,LAB,soc,status_kode_120,5099
LAB_soc_status_kode_135,LAB,soc,status_kode_135,5100
LAB_soc_status_kode_132,LAB,soc,status_kode_132,5101
LAB_soc_status_kode_134,LAB,soc,status_kode_134,5102
LAB_soc_status_kode_110,LAB,soc,status_kode_110,5103
LAB_soc_status_kode_133,LAB,soc,status_kode_133,5104
LAB_soc_status_kode_136,LAB,soc,status_kode_136,5105
LAB_soc_status_kode_131,LAB,soc,status_kode_131,5106
LAB_soc_status_kode_511,LAB,soc,status_kode_511,5107
LAB_soc_status_kode_414,LAB,soc,status_kode_414,5108
LAB_soc_status_kode_415,LAB,soc,status_kode_415,5109
LAB_soc_status_kode_316,LAB,soc,status_kode_316,5110
LAB_soc_status_kode_317,LAB,soc,status_kode_317,5111
LAB_soc_status_kode_411,LAB,soc,status_kode_411,5112
LAB_soc_status_kode_412,LAB,soc,status_kode_412,5113
LAB_soc_status_kode_517,LAB,soc,status_kode_517,5114
LAB_soc_status_kode_322,LAB,soc,status_kode_322,5115
LAB_soc_status_kode_313,LAB,soc,status_kode_313,5116
LAB_soc_status_kode_361,LAB,soc,status_kode_361,5117
LAB_soc_status_kode_321,LAB,soc,status_kode_321,5118
LAB_soc_status_kode_314,LAB,soc,status_kode_314,5119
LAB_soc_status_kode_318,LAB,soc,status_kode_318,5120
LAB_soc_status_kode_319,LAB,soc,status_kode_319,5121
LAB_soc_status_kode_416,LAB,soc,status_kode_416,5122
LAB_soc_status_kode_311,LAB,soc,status_kode_311,5123
LAB_soc_status_kode_413,LAB,soc,status_kode_413,5124
LAB_soc_status_kode_513,LAB,soc,status_kode_513,5125
LAB_soc_status_kode_417,LAB,soc,status_kode_417,5126
LAB_soc_status_kode_514,LAB,soc,status_kode_514,5127
LAB_soc_status_kode_516,LAB,soc,status_kode_516,5128
LAB_soc_status_kode_320,LAB,soc,status_kode_320,5129
LAB_soc_status_kode_312,LAB,soc,status_kode_312,5130
LAB_soc_status_kode_512,LAB,soc,status_kode_512,5131
LAB_soc_status_kode_351,LAB,soc,status_kode_351,5132
LAB_soc_status_kode_515,LAB,soc,status_kode_515,5133
LAB_soc_status_kode_315,LAB,soc,status_kode_315,5134
