code,prefix,database,value,token_id
LAB_socio13_134,LAB,socio13,134,1247
LAB_socio13_323,LAB,socio13,323,1248
LAB_socio13_322,LAB,socio13,322,1249
LAB_socio13_139,LAB,socio13,139,1250
LAB_socio13_321,LAB,socio13,321,1251
LAB_socio13_410,LAB,socio13,410,1252
LAB_socio13_330,LAB,socio13,330,1253
LAB_socio13_220,LAB,socio13,220,1254
LAB_socio13_135,LAB,socio13,135,1255
LAB_socio13_132,LAB,socio13,132,1256
LAB_socio13_114,LAB,socio13,114,1257
LAB_socio13_210,LAB,socio13,210,1258
LAB_socio13_113,LAB,socio13,113,1259
LAB_socio13_131,LAB,socio13,131,1260
LAB_socio13_110,LAB,socio13,110,1261
LAB_socio13_133,LAB,socio13,133,1262
LAB_socio13_310,LAB,socio13,310,1263
LAB_socio13_112,LAB,socio13,112,1264
LAB_socio13_111,LAB,socio13,111,1265
LAB_socio13_120,LAB,socio13,120,1266
LAB_socio13_420,LAB,socio13,420,1267
