code,prefix,database,value,token_id
LAB_syg_barsel_13_Q4,LAB,syg,barsel_13_Q4,7262
LAB_syg_barsel_13_Q22,LAB,syg,barsel_13_Q22,7263
LAB_syg_barsel_13_Q48,LAB,syg,barsel_13_Q48,7264
LAB_syg_barsel_13_Q64,LAB,syg,barsel_13_Q64,7265
LAB_syg_barsel_13_Q75,LAB,syg,barsel_13_Q75,7266
LAB_syg_barsel_13_Q9,LAB,syg,barsel_13_Q9,7267
LAB_syg_barsel_13_Q10,LAB,syg,barsel_13_Q10,7268
LAB_syg_barsel_13_Q61,LAB,syg,barsel_13_Q61,7269
LAB_syg_barsel_13_Q77,LAB,syg,barsel_13_Q77,7270
LAB_syg_barsel_13_Q24,LAB,syg,barsel_13_Q24,7271
LAB_syg_barsel_13_Q12,LAB,syg,barsel_13_Q12,7272
LAB_syg_barsel_13_Q16,LAB,syg,barsel_13_Q16,7273
LAB_syg_barsel_13_Q5,LAB,syg,barsel_13_Q5,7274
LAB_syg_barsel_13_Q18,LAB,syg,barsel_13_Q18,7275
LAB_syg_barsel_13_Q47,LAB,syg,barsel_13_Q47,7276
LAB_syg_barsel_13_Q13,LAB,syg,barsel_13_Q13,7277
LAB_syg_barsel_13_Q2,LAB,syg,barsel_13_Q2,7278
LAB_syg_barsel_13_Q26,LAB,syg,barsel_13_Q26,7279
LAB_syg_barsel_13_Q28,LAB,syg,barsel_13_Q28,7280
LAB_syg_barsel_13_Q11,LAB,syg,barsel_13_Q11,7281
LAB_syg_barsel_13_Q20,LAB,syg,barsel_13_Q20,7282
LAB_syg_barsel_13_Q100,LAB,syg,barsel_13_Q100,7283
LAB_syg_barsel_13_Q41,LAB,syg,barsel_13_Q41,7284
LAB_syg_barsel_13_Q3,LAB,syg,barsel_13_Q3,7285
LAB_syg_barsel_13_Q7,LAB,syg,barsel_13_Q7,7286
LAB_syg_barsel_13_Q6,LAB,syg,barsel_13_Q6,7287
LAB_syg_barsel_13_Q34,LAB,syg,barsel_13_Q34,7288
LAB_syg_barsel_13_Q85,LAB,syg,barsel_13_Q85,7289
LAB_syg_barsel_13_Q32,LAB,syg,barsel_13_Q32,7290
LAB_syg_barsel_13_Q80,LAB,syg,barsel_13_Q80,7291
LAB_syg_barsel_13_Q67,LAB,syg,barsel_13_Q67,7292
LAB_syg_barsel_13_Q89,LAB,syg,barsel_13_Q89,7293
LAB_syg_barsel_13_Q55,LAB,syg,barsel_13_Q55,7294
LAB_syg_barsel_13_Q96,LAB,syg,barsel_13_Q96,7295
LAB_syg_barsel_13_Q40,LAB,syg,barsel_13_Q40,7296
LAB_syg_barsel_13_Q83,LAB,syg,barsel_13_Q83,7297
LAB_syg_barsel_13_Q82,LAB,syg,barsel_13_Q82,7298
LAB_syg_barsel_13_Q81,LAB,syg,barsel_13_Q81,7299
LAB_syg_barsel_13_Q71,LAB,syg,barsel_13_Q71,7300
LAB_syg_barsel_13_Q57,LAB,syg,barsel_13_Q57,7301
LAB_syg_barsel_13_Q37,LAB,syg,barsel_13_Q37,7302
LAB_syg_barsel_13_Q27,LAB,syg,barsel_13_Q27,7303
LAB_syg_barsel_13_Q79,LAB,syg,barsel_13_Q79,7304
LAB_syg_barsel_13_Q33,LAB,syg,barsel_13_Q33,7305
LAB_syg_barsel_13_Q92,LAB,syg,barsel_13_Q92,7306
LAB_syg_barsel_13_Q15,LAB,syg,barsel_13_Q15,7307
LAB_syg_barsel_13_Q14,LAB,syg,barsel_13_Q14,7308
LAB_syg_barsel_13_Q88,LAB,syg,barsel_13_Q88,7309
LAB_syg_barsel_13_Q23,LAB,syg,barsel_13_Q23,7310
LAB_syg_barsel_13_Q29,LAB,syg,barsel_13_Q29,7311
LAB_syg_barsel_13_Q87,LAB,syg,barsel_13_Q87,7312
LAB_syg_barsel_13_Q1,LAB,syg,barsel_13_Q1,7313
LAB_syg_barsel_13_Q25,LAB,syg,barsel_13_Q25,7314
LAB_syg_barsel_13_Q8,LAB,syg,barsel_13_Q8,7315
LAB_syg_barsel_13_Q44,LAB,syg,barsel_13_Q44,7316
LAB_syg_barsel_13_Q74,LAB,syg,barsel_13_Q74,7317
