code,prefix,database,value,token_id
LAB_tilstand_kode_50000,LAB,tilstand,kode_50000,5893
LAB_tilstand_kode_70000,LAB,tilstand,kode_70000,5894
LAB_tilstand_kode_51000,LAB,tilstand,kode_51000,5895
LAB_tilstand_kode_90001,LAB,tilstand,kode_90001,5896
LAB_tilstand_kode_90003,LAB,tilstand,kode_90003,5897
LAB_tilstand_kode_11591,LAB,tilstand,kode_11591,5898
LAB_tilstand_kode_15110,LAB,tilstand,kode_15110,5899
LAB_tilstand_kode_11594,LAB,tilstand,kode_11594,5900
LAB_tilstand_kode_17100,LAB,tilstand,kode_17100,5901
LAB_tilstand_kode_11040,LAB,tilstand,kode_11040,5902
LAB_tilstand_kode_11050,LAB,tilstand,kode_11050,5903
LAB_tilstand_kode_17050,LAB,tilstand,kode_17050,5904
LAB_tilstand_kode_15025,LAB,tilstand,kode_15025,5905
LAB_tilstand_kode_16010,LAB,tilstand,kode_16010,5906
LAB_tilstand_kode_15800,LAB,tilstand,kode_15800,5907
LAB_tilstand_kode_7036,LAB,tilstand,kode_7036,5908
LAB_tilstand_kode_15100,LAB,tilstand,kode_15100,5909
LAB_tilstand_kode_17025,LAB,tilstand,kode_17025,5910
LAB_tilstand_kode_11120,LAB,tilstand,kode_11120,5911
LAB_tilstand_kode_15080,LAB,tilstand,kode_15080,5912
LAB_tilstand_kode_90002,LAB,tilstand,kode_90002,5913
LAB_tilstand_kode_17026,LAB,tilstand,kode_17026,5914
LAB_tilstand_kode_17024,LAB,tilstand,kode_17024,5915
LAB_tilstand_kode_99999,LAB,tilstand,kode_99999,5916
LAB_tilstand_kode_17011,LAB,tilstand,kode_17011,5917
LAB_tilstand_kode_7046,LAB,tilstand,kode_7046,5918
LAB_tilstand_kode_11070,LAB,tilstand,kode_11070,5919
LAB_tilstand_kode_17005,LAB,tilstand,kode_17005,5920
LAB_tilstand_kode_17090,LAB,tilstand,kode_17090,5921
LAB_tilstand_kode_16030,LAB,tilstand,kode_16030,5922
LAB_tilstand_kode_11030,LAB,tilstand,kode_11030,5923
LAB_tilstand_kode_11800,LAB,tilstand,kode_11800,5924
LAB_tilstand_kode_11049,LAB,tilstand,kode_11049,5925
LAB_tilstand_kode_14010,LAB,tilstand,kode_14010,5926
LAB_tilstand_kode_15070,LAB,tilstand,kode_15070,5927
LAB_tilstand_kode_11060,LAB,tilstand,kode_11060,5928
LAB_tilstand_kode_11039,LAB,tilstand,kode_11039,5929
LAB_tilstand_kode_15120,LAB,tilstand,kode_15120,5930
LAB_tilstand_kode_7037,LAB,tilstand,kode_7037,5931
LAB_tilstand_kode_7045,LAB,tilstand,kode_7045,5932
LAB_tilstand_kode_19998,LAB,tilstand,kode_19998,5933
LAB_tilstand_kode_14014,LAB,tilstand,kode_14014,5934
LAB_tilstand_kode_15020,LAB,tilstand,kode_15020,5935
LAB_tilstand_kode_15030,LAB,tilstand,kode_15030,5936
LAB_tilstand_kode_15035,LAB,tilstand,kode_15035,5937
LAB_tilstand_kode_14012,LAB,tilstand,kode_14012,5938
LAB_tilstand_kode_7047,LAB,tilstand,kode_7047,5939
LAB_tilstand_kode_15140,LAB,tilstand,kode_15140,5940
LAB_tilstand_kode_15130,LAB,tilstand,kode_15130,5941
LAB_tilstand_kode_11593,LAB,tilstand,kode_11593,5942
LAB_tilstand_kode_11592,LAB,tilstand,kode_11592,5943
LAB_tilstand_kode_11550,LAB,tilstand,kode_11550,5944
LAB_tilstand_kode_11900,LAB,tilstand,kode_11900,5945
LAB_tilstand_kode_11520,LAB,tilstand,kode_11520,5946
LAB_tilstand_kode_11530,LAB,tilstand,kode_11530,5947
LAB_tilstand_kode_12520,LAB,tilstand,kode_12520,5948
LAB_tilstand_kode_11570,LAB,tilstand,kode_11570,5949
LAB_tilstand_kode_11010,LAB,tilstand,kode_11010,5950
LAB_tilstand_kode_11080,LAB,tilstand,kode_11080,5951
LAB_tilstand_grad_amr_Q8,LAB,tilstand,grad_amr_Q8,5952
LAB_tilstand_grad_amr_Q3,LAB,tilstand,grad_amr_Q3,5953
LAB_tilstand_grad_amr_Q7,LAB,tilstand,grad_amr_Q7,5954
LAB_tilstand_grad_amr_Q5,LAB,tilstand,grad_amr_Q5,5955
LAB_tilstand_grad_amr_Q1,LAB,tilstand,grad_amr_Q1,5956
LAB_tilstand_grad_amr_Q4,LAB,tilstand,grad_amr_Q4,5957
LAB_tilstand_grad_amr_Q6,LAB,tilstand,grad_amr_Q6,5958
LAB_tilstand_grad_amr_Q2,LAB,tilstand,grad_amr_Q2,5959
LAB_tilstand_grad_amr_Q9,LAB,tilstand,grad_amr_Q9,5960
LAB_tilstand_grad_amr_Q10,LAB,tilstand,grad_amr_Q10,5961
