code,prefix,database,value,description,source,confidence,language
DEM_far_foed_adop_0,DEM,far,foed_adop_0,Father's country of birth/adoption: foed_adop_0,enhanced_english,medium,english
DEM_far_foed_adop_1,DEM,far,foed_adop_1,Father's country of birth/adoption: foed_adop_1,enhanced_english,medium,english
DEM_far_foed_adop_11,DEM,far,foed_adop_11,Father's country of birth/adoption: foed_adop_11,enhanced_english,medium,english
DEM_far_foed_adop_12,DEM,far,foed_adop_12,Father's country of birth/adoption: foed_adop_12,enhanced_english,medium,english
DEM_far_foed_adop_14,DEM,far,foed_adop_14,Father's country of birth/adoption: foed_adop_14,enhanced_english,medium,english
DEM_far_foed_adop_15,DEM,far,foed_adop_15,Father's country of birth/adoption: foed_adop_15,enhanced_english,medium,english
DEM_far_foed_adop_2,DEM,far,foed_adop_2,Father's country of birth/adoption: foed_adop_2,enhanced_english,medium,english
DEM_far_foed_adop_21,DEM,far,foed_adop_21,Father's country of birth/adoption: foed_adop_21,enhanced_english,medium,english
DEM_far_foed_adop_31,DEM,far,foed_adop_31,Father's country of birth/adoption: foed_adop_31,enhanced_english,medium,english
DEM_far_foed_adop_32,DEM,far,foed_adop_32,Father's country of birth/adoption: foed_adop_32,enhanced_english,medium,english
DEM_far_foed_adop_33,DEM,far,foed_adop_33,Father's country of birth/adoption: foed_adop_33,enhanced_english,medium,english
DEM_far_foed_adop_35,DEM,far,foed_adop_35,Father's country of birth/adoption: foed_adop_35,enhanced_english,medium,english
DEM_far_foed_adop_39,DEM,far,foed_adop_39,Father's country of birth/adoption: foed_adop_39,enhanced_english,medium,english
DEM_far_foed_adop_99,DEM,far,foed_adop_99,Father's country of birth/adoption: foed_adop_99,enhanced_english,medium,english
DEM_far_foed_adop_unknown,DEM,far,foed_adop_unknown,Father's country of birth/adoption: foed_adop_unknown,enhanced_english,medium,english
