code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
DEM_manual_bin_antefam_manual_bin_2,DEM,manual_bin_antefam,bin_antefam_manual_bin_2,Manual bin: 2 families in the household,,Manual bin: 2 families in the household,generated_pattern,medium,english,,
DEM_manual_bin_antefam_manual_bin_1,DEM,manual_bin_antefam,bin_antefam_manual_bin_1,Manual bin: 1 families in the household,,Manual bin: 1 families in the household,generated_pattern,medium,english,,
DEM_manual_bin_antefam_manual_bin_3,DEM,manual_bin_antefam,bin_antefam_manual_bin_3,Manual bin: 3 families in the household,,Manual bin: 3 families in the household,generated_pattern,medium,english,,
DEM_manual_bin_antefam_manual_bin_100_500,DEM,manual_bin_antefam,bin_antefam_manual_bin_100_500,Manual bin: 100-500 families in the household,,Manual bin: 100-500 families in the household,generated_pattern,medium,english,,
DEM_manual_bin_antefam_manual_bin_4,DEM,manual_bin_antefam,bin_antefam_manual_bin_4,Manual bin: 4 families in the household,,Manual bin: 4 families in the household,generated_pattern,medium,english,,
DEM_manual_bin_antefam_manual_bin_5,DEM,manual_bin_antefam,bin_antefam_manual_bin_5,Manual bin: 5 families in the household,,Manual bin: 5 families in the household,generated_pattern,medium,english,,
DEM_manual_bin_antefam_manual_bin_7,DEM,manual_bin_antefam,bin_antefam_manual_bin_7,Manual bin: 7 families in the household,,Manual bin: 7 families in the household,generated_pattern,medium,english,,
DEM_manual_bin_antefam_manual_bin_6,DEM,manual_bin_antefam,bin_antefam_manual_bin_6,Manual bin: 6 families in the household,,Manual bin: 6 families in the household,generated_pattern,medium,english,,
DEM_manual_bin_antefam_manual_bin_8,DEM,manual_bin_antefam,bin_antefam_manual_bin_8,Manual bin: 8 families in the household,,Manual bin: 8 families in the household,generated_pattern,medium,english,,
DEM_manual_bin_antefam_manual_bin_10_15,DEM,manual_bin_antefam,bin_antefam_manual_bin_10_15,Manual bin: 10-15 families in the household,,Manual bin: 10-15 families in the household,generated_pattern,medium,english,,
DEM_manual_bin_antefam_manual_bin_10,DEM,manual_bin_antefam,bin_antefam_manual_bin_10,Manual bin: 10 families in the household,,Manual bin: 10 families in the household,generated_pattern,medium,english,,
DEM_manual_bin_antefam_manual_bin_500_1000,DEM,manual_bin_antefam,bin_antefam_manual_bin_500_1000,Manual bin: 500-1000 families in the household,,Manual bin: 500-1000 families in the household,generated_pattern,medium,english,,
DEM_manual_bin_antefam_manual_bin_20_30,DEM,manual_bin_antefam,bin_antefam_manual_bin_20_30,Manual bin: 20-30 families in the household,,Manual bin: 20-30 families in the household,generated_pattern,medium,english,,
DEM_manual_bin_antefam_manual_bin_9,DEM,manual_bin_antefam,bin_antefam_manual_bin_9,Manual bin: 9 families in the household,,Manual bin: 9 families in the household,generated_pattern,medium,english,,
DEM_manual_bin_antefam_manual_bin_30_40,DEM,manual_bin_antefam,bin_antefam_manual_bin_30_40,Manual bin: 30-40 families in the household,,Manual bin: 30-40 families in the household,generated_pattern,medium,english,,
DEM_manual_bin_antefam_manual_bin_50_100,DEM,manual_bin_antefam,bin_antefam_manual_bin_50_100,Manual bin: 50-100 families in the household,,Manual bin: 50-100 families in the household,generated_pattern,medium,english,,
DEM_manual_bin_antefam_manual_bin_40_50,DEM,manual_bin_antefam,bin_antefam_manual_bin_40_50,Manual bin: 40-50 families in the household,,Manual bin: 40-50 families in the household,generated_pattern,medium,english,,
DEM_manual_bin_antefam_manual_bin_15_20,DEM,manual_bin_antefam,bin_antefam_manual_bin_15_20,Manual bin: 15-20 families in the household,,Manual bin: 15-20 families in the household,generated_pattern,medium,english,,
