code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people
DEM_manual_bin_antpersf_manual_bin_1,DEM,manual_bin_antpersf,bin_antpersf_manual_bin_1,Manual bin: 1 persons in the family,Manuelt interval: 1 personer i familien,,,Manual bin: 1 persons in the family,,,translated,generated_pattern,medium,english,,,9077527,5773714,0.639486
DEM_manual_bin_antpersf_manual_bin_2,DEM,manual_bin_antpersf,bin_antpersf_manual_bin_2,Manual bin: 2 persons in the family,Manuelt interval: 2 personer i familien,,,Manual bin: 2 persons in the family,,,translated,generated_pattern,medium,english,,,10549515,6046009,0.669645
DEM_manual_bin_antpersf_manual_bin_3,DEM,manual_bin_antpersf,bin_antpersf_manual_bin_3,Manual bin: 3 persons in the family,Manuelt interval: 3 personer i familien,,,Manual bin: 3 persons in the family,,,translated,generated_pattern,medium,english,,,9763719,5356781,0.593307
DEM_manual_bin_antpersf_manual_bin_4,DEM,manual_bin_antpersf,bin_antpersf_manual_bin_4,Manual bin: 4 persons in the family,Manuelt interval: 4 personer i familien,,,Manual bin: 4 persons in the family,,,translated,generated_pattern,medium,english,,,8187337,4959084,0.549259
DEM_manual_bin_antpersf_manual_bin_6,DEM,manual_bin_antpersf,bin_antpersf_manual_bin_6,Manual bin: 6 persons in the family,Manuelt interval: 6 personer i familien,,,Manual bin: 6 persons in the family,,,translated,generated_pattern,medium,english,,,860323,623780,0.069089
DEM_manual_bin_antpersf_manual_bin_5,DEM,manual_bin_antpersf,bin_antpersf_manual_bin_5,Manual bin: 5 persons in the family,Manuelt interval: 5 personer i familien,,,Manual bin: 5 persons in the family,,,translated,generated_pattern,medium,english,,,3231795,2243812,0.24852
DEM_manual_bin_antpersf_manual_bin_7,DEM,manual_bin_antpersf,bin_antpersf_manual_bin_7,Manual bin: 7 persons in the family,Manuelt interval: 7 personer i familien,,,Manual bin: 7 persons in the family,,,translated,generated_pattern,medium,english,,,237465,170993,0.018939
DEM_manual_bin_antpersf_manual_bin_8,DEM,manual_bin_antpersf,bin_antpersf_manual_bin_8,Manual bin: 8 persons in the family,Manuelt interval: 8 personer i familien,,,Manual bin: 8 persons in the family,,,translated,generated_pattern,medium,english,,,81243,58359,0.006464
DEM_manual_bin_antpersf_manual_bin_9,DEM,manual_bin_antpersf,bin_antpersf_manual_bin_9,Manual bin: 9 persons in the family,Manuelt interval: 9 personer i familien,,,Manual bin: 9 persons in the family,,,translated,generated_pattern,medium,english,,,30788,21956,0.002432
DEM_manual_bin_antpersf_manual_bin_10,DEM,manual_bin_antpersf,bin_antpersf_manual_bin_10,Manual bin: 10 persons in the family,Manuelt interval: 10 personer i familien,,,Manual bin: 10 persons in the family,,,translated,generated_pattern,medium,english,,,12544,8898,0.000986
