code,prefix,database,value,description,source,confidence,language
DEM_manual_bin_antboernf_manual_bin_1,DEM,manual,bin_antboernf_manual_bin_1,Manual binning category: bin_antboernf_manual_bin_1,enhanced_english,medium,english
DEM_manual_bin_antboernf_manual_bin_2,DEM,manual,bin_antboernf_manual_bin_2,Manual binning category: bin_antboernf_manual_bin_2,enhanced_english,medium,english
DEM_manual_bin_antboernf_manual_bin_3,DEM,manual,bin_antboernf_manual_bin_3,Manual binning category: bin_antboernf_manual_bin_3,enhanced_english,medium,english
DEM_manual_bin_antboernf_manual_bin_4,DEM,manual,bin_antboernf_manual_bin_4,Manual binning category: bin_antboernf_manual_bin_4,enhanced_english,medium,english
DEM_manual_bin_antboernf_manual_bin_5,DEM,manual,bin_antboernf_manual_bin_5,Manual binning category: bin_antboernf_manual_bin_5,enhanced_english,medium,english
DEM_manual_bin_antboernf_manual_bin_6,DEM,manual,bin_antboernf_manual_bin_6,Manual binning category: bin_antboernf_manual_bin_6,enhanced_english,medium,english
DEM_manual_bin_antboernf_manual_bin_7,DEM,manual,bin_antboernf_manual_bin_7,Manual binning category: bin_antboernf_manual_bin_7,enhanced_english,medium,english
DEM_manual_bin_antboernf_manual_bin_8,DEM,manual,bin_antboernf_manual_bin_8,Manual binning category: bin_antboernf_manual_bin_8,enhanced_english,medium,english
DEM_manual_bin_antboernf_over_8,DEM,manual,bin_antboernf_over_8,Manual binning category: bin_antboernf_over_8,enhanced_english,medium,english
DEM_manual_bin_antefam_manual_bin_1,DEM,manual,bin_antefam_manual_bin_1,Manual binning category: bin_antefam_manual_bin_1,enhanced_english,medium,english
DEM_manual_bin_antefam_manual_bin_10,DEM,manual,bin_antefam_manual_bin_10,Manual binning category: bin_antefam_manual_bin_10,enhanced_english,medium,english
DEM_manual_bin_antefam_manual_bin_100_500,DEM,manual,bin_antefam_manual_bin_100_500,Manual binning category: bin_antefam_manual_bin_100_500,enhanced_english,medium,english
DEM_manual_bin_antefam_manual_bin_10_15,DEM,manual,bin_antefam_manual_bin_10_15,Manual binning category: bin_antefam_manual_bin_10_15,enhanced_english,medium,english
DEM_manual_bin_antefam_manual_bin_15_20,DEM,manual,bin_antefam_manual_bin_15_20,Manual binning category: bin_antefam_manual_bin_15_20,enhanced_english,medium,english
DEM_manual_bin_antefam_manual_bin_2,DEM,manual,bin_antefam_manual_bin_2,Manual binning category: bin_antefam_manual_bin_2,enhanced_english,medium,english
DEM_manual_bin_antefam_manual_bin_20_30,DEM,manual,bin_antefam_manual_bin_20_30,Manual binning category: bin_antefam_manual_bin_20_30,enhanced_english,medium,english
DEM_manual_bin_antefam_manual_bin_3,DEM,manual,bin_antefam_manual_bin_3,Manual binning category: bin_antefam_manual_bin_3,enhanced_english,medium,english
DEM_manual_bin_antefam_manual_bin_30_40,DEM,manual,bin_antefam_manual_bin_30_40,Manual binning category: bin_antefam_manual_bin_30_40,enhanced_english,medium,english
DEM_manual_bin_antefam_manual_bin_4,DEM,manual,bin_antefam_manual_bin_4,Manual binning category: bin_antefam_manual_bin_4,enhanced_english,medium,english
DEM_manual_bin_antefam_manual_bin_40_50,DEM,manual,bin_antefam_manual_bin_40_50,Manual binning category: bin_antefam_manual_bin_40_50,enhanced_english,medium,english
DEM_manual_bin_antefam_manual_bin_5,DEM,manual,bin_antefam_manual_bin_5,Manual binning category: bin_antefam_manual_bin_5,enhanced_english,medium,english
DEM_manual_bin_antefam_manual_bin_500_1000,DEM,manual,bin_antefam_manual_bin_500_1000,Manual binning category: bin_antefam_manual_bin_500_1000,enhanced_english,medium,english
DEM_manual_bin_antefam_manual_bin_50_100,DEM,manual,bin_antefam_manual_bin_50_100,Manual binning category: bin_antefam_manual_bin_50_100,enhanced_english,medium,english
DEM_manual_bin_antefam_manual_bin_6,DEM,manual,bin_antefam_manual_bin_6,Manual binning category: bin_antefam_manual_bin_6,enhanced_english,medium,english
DEM_manual_bin_antefam_manual_bin_7,DEM,manual,bin_antefam_manual_bin_7,Manual binning category: bin_antefam_manual_bin_7,enhanced_english,medium,english
DEM_manual_bin_antefam_manual_bin_8,DEM,manual,bin_antefam_manual_bin_8,Manual binning category: bin_antefam_manual_bin_8,enhanced_english,medium,english
DEM_manual_bin_antefam_manual_bin_9,DEM,manual,bin_antefam_manual_bin_9,Manual binning category: bin_antefam_manual_bin_9,enhanced_english,medium,english
DEM_manual_bin_antefam_over_1000,DEM,manual,bin_antefam_over_1000,Manual binning category: bin_antefam_over_1000,enhanced_english,medium,english
DEM_manual_bin_antpersf_manual_bin_1,DEM,manual,bin_antpersf_manual_bin_1,Manual binning category: bin_antpersf_manual_bin_1,enhanced_english,medium,english
DEM_manual_bin_antpersf_manual_bin_10,DEM,manual,bin_antpersf_manual_bin_10,Manual binning category: bin_antpersf_manual_bin_10,enhanced_english,medium,english
DEM_manual_bin_antpersf_manual_bin_2,DEM,manual,bin_antpersf_manual_bin_2,Manual binning category: bin_antpersf_manual_bin_2,enhanced_english,medium,english
DEM_manual_bin_antpersf_manual_bin_3,DEM,manual,bin_antpersf_manual_bin_3,Manual binning category: bin_antpersf_manual_bin_3,enhanced_english,medium,english
DEM_manual_bin_antpersf_manual_bin_4,DEM,manual,bin_antpersf_manual_bin_4,Manual binning category: bin_antpersf_manual_bin_4,enhanced_english,medium,english
DEM_manual_bin_antpersf_manual_bin_5,DEM,manual,bin_antpersf_manual_bin_5,Manual binning category: bin_antpersf_manual_bin_5,enhanced_english,medium,english
DEM_manual_bin_antpersf_manual_bin_6,DEM,manual,bin_antpersf_manual_bin_6,Manual binning category: bin_antpersf_manual_bin_6,enhanced_english,medium,english
DEM_manual_bin_antpersf_manual_bin_7,DEM,manual,bin_antpersf_manual_bin_7,Manual binning category: bin_antpersf_manual_bin_7,enhanced_english,medium,english
DEM_manual_bin_antpersf_manual_bin_8,DEM,manual,bin_antpersf_manual_bin_8,Manual binning category: bin_antpersf_manual_bin_8,enhanced_english,medium,english
DEM_manual_bin_antpersf_manual_bin_9,DEM,manual,bin_antpersf_manual_bin_9,Manual binning category: bin_antpersf_manual_bin_9,enhanced_english,medium,english
