code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people
DEM_n_siblings_at_birth_0,DEM,n,siblings_at_birth_0,Number of siblings at birth 0,Antal søskende ved fødsel 0,,,Number of siblings at birth 0,,,translated,manual_update,medium,english,,,6072105,6072105,0.672535
DEM_n_siblings_at_birth_4,DEM,n,siblings_at_birth_4,Number of siblings at birth 4,Antal søskende ved fødsel 4,,,Number of siblings at birth 4,,,translated,manual_update,medium,english,,,87560,87560,0.009698
DEM_n_siblings_at_birth_2,DEM,n,siblings_at_birth_2,Number of siblings at birth 2,Antal søskende ved fødsel 2,,,Number of siblings at birth 2,,,translated,manual_update,medium,english,,,766325,766325,0.084877
DEM_n_siblings_at_birth_1,DEM,n,siblings_at_birth_1,Number of siblings at birth 1,Antal søskende ved fødsel 1,,,Number of siblings at birth 1,,,translated,manual_update,medium,english,,,1791151,1791151,0.198385
DEM_n_siblings_at_birth_3,DEM,n,siblings_at_birth_3,Number of siblings at birth 3,Antal søskende ved fødsel 3,,,Number of siblings at birth 3,,,translated,manual_update,medium,english,,,254811,254811,0.028222
DEM_n_siblings_at_birth_6,DEM,n,siblings_at_birth_6,Number of siblings at birth 6,Antal søskende ved fødsel 6,,,Number of siblings at birth 6,,,translated,manual_update,medium,english,,,13119,13119,0.001453
DEM_n_siblings_at_birth_9,DEM,n,siblings_at_birth_9,Number of siblings at birth 9,Antal søskende ved fødsel 9,,,Number of siblings at birth 9,,,translated,manual_update,medium,english,,,1107,1107,0.000123
DEM_n_siblings_at_birth_5,DEM,n,siblings_at_birth_5,Number of siblings at birth 5,Antal søskende ved fødsel 5,,,Number of siblings at birth 5,,,translated,manual_update,medium,english,,,33247,33247,0.003682
DEM_n_siblings_at_birth_7,DEM,n,siblings_at_birth_7,Number of siblings at birth 7,Antal søskende ved fødsel 7,,,Number of siblings at birth 7,,,translated,manual_update,medium,english,,,5653,5653,0.000626
DEM_n_siblings_at_birth_10,DEM,n,siblings_at_birth_10,Number of siblings at birth 10,Antal søskende ved fødsel 10,,,Number of siblings at birth 10,,,translated,manual_update,medium,english,,,541,541,6e-05
DEM_n_siblings_at_birth_8,DEM,n,siblings_at_birth_8,Number of siblings at birth 8,Antal søskende ved fødsel 8,,,Number of siblings at birth 8,,,translated,manual_update,medium,english,,,2511,2511,0.000278
DEM_n_siblings_at_birth_13,DEM,n,siblings_at_birth_13,Number of siblings at birth 13,Antal søskende ved fødsel 13,,,Number of siblings at birth 13,,,translated,manual_update,medium,english,,,71,71,8e-06
DEM_n_siblings_at_birth_12,DEM,n,siblings_at_birth_12,Number of siblings at birth 12,Antal søskende ved fødsel 12,,,Number of siblings at birth 12,,,translated,manual_update,medium,english,,,135,135,1.5e-05
DEM_n_siblings_at_birth_11,DEM,n,siblings_at_birth_11,Number of siblings at birth 11,Antal søskende ved fødsel 11,,,Number of siblings at birth 11,,,translated,manual_update,medium,english,,,264,264,2.9e-05
DEM_n_siblings_at_birth_14,DEM,n,siblings_at_birth_14,Number of siblings at birth 14,Antal søskende ved fødsel 14,,,Number of siblings at birth 14,,,translated,manual_update,medium,english,,,37,37,4e-06
DEM_n_siblings_at_birth_17,DEM,n,siblings_at_birth_17,Number of siblings at birth 17,Antal søskende ved fødsel 17,,,Number of siblings at birth 17,,,translated,manual_update,medium,english,,,6,6,1e-06
DEM_n_siblings_at_birth_19,DEM,n,siblings_at_birth_19,Number of siblings at birth 19,Antal søskende ved fødsel 19,,,Number of siblings at birth 19,,,translated,manual_update,medium,english,,,3,3,0.0
DEM_n_siblings_at_birth_16,DEM,n,siblings_at_birth_16,Number of siblings at birth 16,Antal søskende ved fødsel 16,,,Number of siblings at birth 16,,,translated,manual_update,medium,english,,,13,13,1e-06
DEM_n_siblings_at_birth_15,DEM,n,siblings_at_birth_15,Number of siblings at birth 15,Antal søskende ved fødsel 15,,,Number of siblings at birth 15,,,translated,manual_update,medium,english,,,22,22,2e-06
DEM_n_siblings_at_birth_18,DEM,n,siblings_at_birth_18,Number of siblings at birth 18,Antal søskende ved fødsel 18,,,Number of siblings at birth 18,,,translated,manual_update,medium,english,,,1,1,0.0
