code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people,program_group,is_primary_code
DEM_opr_land_5100,DEM,opr,land_5100,Danmark,Danmark,,,Denmark,Denmark,iso3166,iso3166,CSV:DEM_opr_land,medium,danish,,,7253426,7253426,0.803376,,
DEM_opr_land_unknown,DEM,opr,land_unknown,Country: unknown,,,,Country: unknown,,,translated,none|generated,medium,danish,,,,,,,
DEM_opr_land_5704,DEM,opr,land_5704,Ukraine,Ukraine,,,Ukraine,Ukraine,iso3166,iso3166,CSV:DEM_opr_land,medium,danish,,,69360,69360,0.007682,,
DEM_opr_land_5486,DEM,opr,land_5486,Syrien,Syrien,,,Syria,Syria,iso3166,iso3166,CSV:DEM_opr_land,medium,danish,,,51173,51173,0.005668,,
DEM_opr_land_5456,DEM,opr,land_5456,Libanon,Libanon,,,Lebanon,Lebanon,iso3166,iso3166,CSV:DEM_opr_land,medium,danish,,,32679,32679,0.003619,,
DEM_opr_land_5390,DEM,opr,land_5390,USA,USA,,,United States,United States,iso3166,iso3166,CSV:DEM_opr_land,medium,danish,,,73930,73930,0.008188,,
DEM_opr_land_5492,DEM,opr,land_5492,Thailand,Thailand,,,Thailand,Thailand,iso3166,iso3166,CSV:DEM_opr_land,medium,danish,,,20194,20194,0.002237,,
DEM_opr_land_5170,DEM,opr,land_5170,Storbritannien,Storbritannien,,,United Kingdom,United Kingdom,iso3166,iso3166,CSV:DEM_opr_land,medium,danish,,,47366,47366,0.005246,,
DEM_opr_land_5611,DEM,opr,land_5611,Litauen,Litauen,,,Lithuania,Lithuania,iso3166,iso3166,CSV:DEM_opr_land,medium,danish,,,34784,34784,0.003853,,
DEM_opr_land_5140,DEM,opr,land_5140,Nederlandene,Nederlandene,,,Netherlands,Netherlands,iso3166,iso3166,CSV:DEM_opr_land,medium,danish,,,23010,23010,0.002549,,
DEM_opr_land_5150,DEM,opr,land_5150,Italien,Italien,,,Italy,Italy,iso3166,iso3166,CSV:DEM_opr_land,medium,danish,,,33437,33437,0.003703,,
DEM_opr_land_5474,DEM,opr,land_5474,Filippinerne,Filippinerne,,,Philippines,Philippines,iso3166,iso3166,CSV:DEM_opr_land,medium,danish,,,30813,30813,0.003413,,
DEM_opr_land_5154,DEM,opr,land_5154,Polen,Polen,,,Poland,Poland,iso3166,iso3166,CSV:DEM_opr_land,medium,danish,,,103146,103146,0.011424,,
DEM_opr_land_5158,DEM,opr,land_5158,Rumænien,Rumænien,,,Romania,Romania,iso3166,iso3166,CSV:DEM_opr_land,medium,danish,,,76136,76136,0.008433,,
DEM_opr_land_5130,DEM,opr,land_5130,Frankrig,Frankrig,,,France,France,iso3166,iso3166,CSV:DEM_opr_land,medium,danish,,,32112,32112,0.003557,,
DEM_opr_land_5432,DEM,opr,land_5432,Indien,Indien,,,India,India,iso3166,iso3166,CSV:DEM_opr_land,medium,danish,,,44525,44525,0.004932,,
DEM_opr_land_5180,DEM,opr,land_5180,Tyskland,Tyskland,,,Germany,Germany,iso3166,iso3166,CSV:DEM_opr_land,medium,danish,,,106354,106354,0.01178,,
DEM_opr_land_5120,DEM,opr,land_5120,Sverige,Sverige,,,Sweden,Sweden,iso3166,iso3166,CSV:DEM_opr_land,medium,danish,,,52058,52058,0.005766,,
DEM_opr_land_5306,DEM,opr,land_5306,Brasilien,Brasilien,,,Brazil,Brazil,iso3166,iso3166,CSV:DEM_opr_land,medium,danish,,,12852,12852,0.001423,,
DEM_opr_land_5172,DEM,opr,land_5172,Tyrkiet,Tyrkiet,,,Turkey,,,translated,CSV:DEM_opr_land,medium,danish,,,82737,82737,0.009164,,
DEM_opr_land_5706,DEM,opr,land_5706,Hviderusland,Hviderusland,,,Belarus,Belarus,iso3166,iso3166,CSV:DEM_opr_land,medium,danish,,,1760,1760,0.000195,,
DEM_opr_land_5418,DEM,opr,land_5418,Sri Lanka,Sri Lanka,,,Sri Lanka,Sri Lanka,iso3166,iso3166,CSV:DEM_opr_land,medium,danish,,,16556,16556,0.001834,,
