code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people
DEM_vaegt_barn_Q50,DEM,vaegt,barn_Q50,Birth weight - 50th percentile (newborns),Fødselsvægt – 50. percentil (nyfødte),,,Birth weight - 50th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,35462,35462,0.003928
DEM_vaegt_barn_Q67,DEM,vaegt,barn_Q67,Birth weight - 67th percentile (newborns),Fødselsvægt – 67. percentil (nyfødte),,,Birth weight - 67th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,81490,81490,0.009026
DEM_vaegt_barn_Q56,DEM,vaegt,barn_Q56,Birth weight - 56th percentile (newborns),Fødselsvægt – 56. percentil (nyfødte),,,Birth weight - 56th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,71858,71858,0.007959
DEM_vaegt_barn_Q55,DEM,vaegt,barn_Q55,Birth weight - 55th percentile (newborns),Fødselsvægt – 55. percentil (nyfødte),,,Birth weight - 55th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,52728,52728,0.00584
DEM_vaegt_barn_Q63,DEM,vaegt,barn_Q63,Birth weight - 63th percentile (newborns),Fødselsvægt – 63. percentil (nyfødte),,,Birth weight - 63th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,83792,83792,0.009281
DEM_vaegt_barn_Q51,DEM,vaegt,barn_Q51,Birth weight - 51th percentile (newborns),Fødselsvægt – 51. percentil (nyfødte),,,Birth weight - 51th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,33149,33149,0.003672
DEM_vaegt_barn_Q69,DEM,vaegt,barn_Q69,Birth weight - 69th percentile (newborns),Fødselsvægt – 69. percentil (nyfødte),,,Birth weight - 69th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,76589,76589,0.008483
DEM_vaegt_barn_Q71,DEM,vaegt,barn_Q71,Birth weight - 71th percentile (newborns),Fødselsvægt – 71. percentil (nyfødte),,,Birth weight - 71th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,71364,71364,0.007904
DEM_vaegt_barn_Q65,DEM,vaegt,barn_Q65,Birth weight - 65th percentile (newborns),Fødselsvægt – 65. percentil (nyfødte),,,Birth weight - 65th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,83278,83278,0.009224
DEM_vaegt_barn_Q61,DEM,vaegt,barn_Q61,Birth weight - 61th percentile (newborns),Fødselsvægt – 61. percentil (nyfødte),,,Birth weight - 61th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,79933,79933,0.008853
DEM_vaegt_barn_Q54,DEM,vaegt,barn_Q54,Birth weight - 54th percentile (newborns),Fødselsvægt – 54. percentil (nyfødte),,,Birth weight - 54th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,211997,211997,0.02348
DEM_vaegt_barn_Q83,DEM,vaegt,barn_Q83,Birth weight - 83th percentile (newborns),Fødselsvægt – 83. percentil (nyfødte),,,Birth weight - 83th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,17075,17075,0.001891
DEM_vaegt_barn_Q28,DEM,vaegt,barn_Q28,Birth weight - 28th percentile (newborns),Fødselsvægt – 28. percentil (nyfødte),,,Birth weight - 28th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,2299,2299,0.000255
DEM_vaegt_barn_Q62,DEM,vaegt,barn_Q62,Birth weight - 62th percentile (newborns),Fødselsvægt – 62. percentil (nyfødte),,,Birth weight - 62th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,102701,102701,0.011375
DEM_vaegt_barn_Q74,DEM,vaegt,barn_Q74,Birth weight - 74th percentile (newborns),Fødselsvægt – 74. percentil (nyfødte),,,Birth weight - 74th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,103782,103782,0.011495
DEM_vaegt_barn_Q68,DEM,vaegt,barn_Q68,Birth weight - 68th percentile (newborns),Fødselsvægt – 68. percentil (nyfødte),,,Birth weight - 68th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,97034,97034,0.010747
DEM_vaegt_barn_Q47,DEM,vaegt,barn_Q47,Birth weight - 47th percentile (newborns),Fødselsvægt – 47. percentil (nyfødte),,,Birth weight - 47th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,19792,19792,0.002192
DEM_vaegt_barn_Q86,DEM,vaegt,barn_Q86,Birth weight - 86th percentile (newborns),Fødselsvægt – 86. percentil (nyfødte),,,Birth weight - 86th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,11056,11056,0.001225
DEM_vaegt_barn_Q70,DEM,vaegt,barn_Q70,Birth weight - 70th percentile (newborns),Fødselsvægt – 70. percentil (nyfødte),,,Birth weight - 70th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,84987,84987,0.009413
DEM_vaegt_barn_Q78,DEM,vaegt,barn_Q78,Birth weight - 78th percentile (newborns),Fødselsvægt – 78. percentil (nyfødte),,,Birth weight - 78th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,39080,39080,0.004328
DEM_vaegt_barn_Q81,DEM,vaegt,barn_Q81,Birth weight - 81th percentile (newborns),Fødselsvægt – 81. percentil (nyfødte),,,Birth weight - 81th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,21363,21363,0.002366
DEM_vaegt_barn_Q64,DEM,vaegt,barn_Q64,Birth weight - 64th percentile (newborns),Fødselsvægt – 64. percentil (nyfødte),,,Birth weight - 64th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,222866,222866,0.024684
DEM_vaegt_barn_Q52,DEM,vaegt,barn_Q52,Birth weight - 52th percentile (newborns),Fødselsvægt – 52. percentil (nyfødte),,,Birth weight - 52th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,46550,46550,0.005156
DEM_vaegt_barn_Q57,DEM,vaegt,barn_Q57,Birth weight - 57th percentile (newborns),Fødselsvægt – 57. percentil (nyfødte),,,Birth weight - 57th percentile (newborns),,,translated,generated:quantile_percentile,medium,english,,,63088,63088,0.006988
