code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people,program_group,is_primary_code
EDU_afg_art_11,EDU,afg,art_11,Uddannelse og klassetrin afgang,Uddannelse og klassetrin afgang,,,Education and grade-level exit,,,dst_times_afg_art,none|dict_fill,high,danish,,,9515940,4061085,0.449798,,
EDU_afg_art_1 ,EDU,afg,art_1 ,Uddannelse afgang,Uddannelse afgang,,,Education exit,,,translated,CSV:EDU_afg_art,high,danish,,,7280809,3643692,0.403569,,
EDU_afg_art_2 ,EDU,afg,art_2 ,"Uddannelsespause, fortsætter på samme institution","Uddannelsespause, fortsætter på samme institution",,,"Education pause, continues at the same institution",,,translated,CSV:EDU_afg_art,high,danish,,,391927,361258,0.040012,,
EDU_afg_art_31,EDU,afg,art_31,"Klassetrin afgang, fortsætter på anden institution","Klassetrin afgang, fortsætter på anden institution",,,"Grade-level exit, continues at different institution",,,dst_times_afg_art,none|dict_fill,high,danish,,,590153,517237,0.057288,,
EDU_afg_art_30,EDU,afg,art_30,"Uddannelse/klassetrin pause, fortsætter på anden institution","Uddannelse/klassetrin pause, fortsætter på anden institution",,,"Education/grade-level pause, continues at different institution",,,dst_times_afg_art,none|dict_fill,high,danish,,,539374,439243,0.04865,,
EDU_afg_art_21,EDU,afg,art_21,"Klassetrin afgang, fortsætter på samme institution","Klassetrin afgang, fortsætter på samme institution",,,"Grade-level exit, continues at same institution",,,dst_times_afg_art,none|dict_fill,high,danish,,,13675164,3885851,0.43039,,
EDU_afg_art_4 ,EDU,afg,art_4 ,I gang,I gang,,,In progress,,,translated,CSV:EDU_afg_art,high,danish,,,369436,369431,0.040917,,
EDU_afg_art_3 ,EDU,afg,art_3 ,"Uddannelsespause, fortsætter på anden institution","Uddannelsespause, fortsætter på anden institution",,,"Education pause, continues at a different institution",,,translated,CSV:EDU_afg_art,high,danish,,,258624,239329,0.026508,,
EDU_afg_art_20,EDU,afg,art_20,"Uddannelse/klassetrin pause, fortsætter på samme institution","Uddannelse/klassetrin pause, fortsætter på samme institution",,,"Education/grade-level pause, continues at same institution",,,dst_times_afg_art,none|dict_fill,high,danish,,,177117,161154,0.017849,,
EDU_afg_art_44,EDU,afg,art_44,"I gang, almene uddannelser","I gang, almene uddannelser",,,"In progress, general education",,,dst_times_afg_art,none|dict_fill,high,danish,,,804260,804259,0.089078,,
