code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
EDU_audd_2509,EDU,audd,2509,"9. klasse, efterskole","9. klasse, efterskole",,CSV:EDU_audd,medium,danish,,
EDU_audd_1110,EDU,audd,1110,10. klasse,10. klasse,,CSV:EDU_audd,medium,danish,,
EDU_audd_0,EDU,audd,0,Afbrudt,Afbrudt,,CSV:EDU_audd,medium,danish,,
EDU_audd_4735,EDU,audd,4735,Mad til mennesker,Mad til mennesker,,CSV:EDU_audd,medium,danish,,
EDU_audd_4425,EDU,audd,4425,"Gourmetslagter, butik","Gourmetslagter, butik",,CSV:EDU_audd,medium,danish,,
EDU_audd_3598,EDU,audd,3598,Afsluttet grundforløb,Afsluttet grundforløb,,CSV:EDU_audd,medium,danish,,
EDU_audd_2005,EDU,audd,2005,"Skibsassistent, grundkursus modul 1+2","Skibsassistent, grundkursus modul 1+2",,CSV:EDU_audd,medium,danish,,
EDU_audd_2008,EDU,audd,2008,"Befaren skibsassistent, modul 3","Befaren skibsassistent, modul 3",,CSV:EDU_audd,medium,danish,,
EDU_audd_1209,EDU,audd,1209,9. klasse,9. klasse,,CSV:EDU_audd,medium,danish,,
EDU_audd_4713,EDU,audd,4713,Bygge og anlæg,Bygge og anlæg,,CSV:EDU_audd,medium,danish,,
EDU_audd_4283,EDU,audd,4283,Tømrer,Tømrer,,CSV:EDU_audd,medium,danish,,
EDU_audd_1108,EDU,audd,1108,8. klasse,8. klasse,,CSV:EDU_audd,medium,danish,,
EDU_audd_2510,EDU,audd,2510,"10. klasse, efterskole","10. klasse, efterskole",,CSV:EDU_audd,medium,danish,,
EDU_audd_4712,EDU,audd,4712,Teknologi og kommunikation,Teknologi og kommunikation,,CSV:EDU_audd,medium,danish,,
EDU_audd_1531,EDU,audd,1531,1. hf,1. hf,,CSV:EDU_audd,medium,danish,,
EDU_audd_1109,EDU,audd,1109,9. klasse,9. klasse,,CSV:EDU_audd,medium,danish,,
EDU_audd_5028,EDU,audd,5028,"1. år, hhx","1. år, hhx",,CSV:EDU_audd,medium,danish,,
EDU_audd_5029,EDU,audd,5029,"2. år, hhx","2. år, hhx",,CSV:EDU_audd,medium,danish,,
EDU_audd_5098,EDU,audd,5098,"3. år, hhx","3. år, hhx",,CSV:EDU_audd,medium,danish,,
EDU_audd_5700,EDU,audd,5700,"HA almen erhvervsøkonomi, bach.","HA almen erhvervsøkonomi, bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_4610,EDU,audd,4610,"Lufthavnsuddannelse, airport service","Lufthavnsuddannelse, airport service",,CSV:EDU_audd,medium,danish,,
EDU_audd_1196,EDU,audd,1196,1.g,1.g,,CSV:EDU_audd,medium,danish,,
EDU_audd_1197,EDU,audd,1197,2.g,2.g,,CSV:EDU_audd,medium,danish,,
EDU_audd_1198,EDU,audd,1198,3.g,3.g,,CSV:EDU_audd,medium,danish,,
EDU_audd_5127,EDU,audd,5127,"Socialrådgiver, prof.bach.","Socialrådgiver, prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_2508,EDU,audd,2508,"8. klasse, efterskole","8. klasse, efterskole",,CSV:EDU_audd,medium,danish,,
EDU_audd_5456,EDU,audd,5456,"Katastrofe- og risikomanager, prof.bach.","Katastrofe- og risikomanager, prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_5151,EDU,audd,5151,"Fysioterapi, prof.bach.","Fysioterapi, prof.bach.",,CSV:EDU_audd,medium,danish,,
EDU_audd_1141,EDU,audd,1141,"1.g, matematisk linie","1.g, matematisk linie",,CSV:EDU_audd,medium,danish,,
