code,prefix,database,value,description,source,confidence,language
EDU_course_Afsætning,EDU,course,Afsætning,Course name: Afsætning,enhanced_english,medium,english
EDU_course_Almen sprogforståelse,EDU,course,Almen sprogforståelse,Course name: Almen sprogforståelse,enhanced_english,medium,english
EDU_course_Almen studieforberedelse,EDU,course,Almen studieforberedelse,Course name: Almen studieforberedelse,enhanced_english,medium,english
EDU_course_Andet,EDU,course,Andet,Course name: Andet,enhanced_english,medium,english
EDU_course_Arabisk begyndersprog,EDU,course,Arabisk begyndersprog,Course name: Arabisk begyndersprog,enhanced_english,medium,english
EDU_course_Arktisk teknologi,EDU,course,Arktisk teknologi,Course name: Arktisk teknologi,enhanced_english,medium,english
EDU_course_Astrofysik,EDU,course,Astrofysik,Course name: Astrofysik,enhanced_english,medium,english
EDU_course_Astronomi,EDU,course,Astronomi,Course name: Astronomi,enhanced_english,medium,english
EDU_course_Billedkunst,EDU,course,Billedkunst,Course name: Billedkunst,enhanced_english,medium,english
EDU_course_Biologi,EDU,course,Biologi,Course name: Biologi,enhanced_english,medium,english
EDU_course_Biologi/fysik/kemi,EDU,course,Biologi/fysik/kemi,Course name: Biologi/fysik/kemi,enhanced_english,medium,english
EDU_course_Bioteknologi,EDU,course,Bioteknologi,Course name: Bioteknologi,enhanced_english,medium,english
EDU_course_Byggeteknologi,EDU,course,Byggeteknologi,Course name: Byggeteknologi,enhanced_english,medium,english
EDU_course_Dans,EDU,course,Dans,Course name: Dans,enhanced_english,medium,english
EDU_course_Dansk,EDU,course,Dansk,Course name: Dansk,enhanced_english,medium,english
EDU_course_Dansk IT,EDU,course,Dansk IT,Course name: Dansk IT,enhanced_english,medium,english
EDU_course_Dansk som andetsprog,EDU,course,Dansk som andetsprog,Course name: Dansk som andetsprog,enhanced_english,medium,english
EDU_course_Datalogi,EDU,course,Datalogi,Course name: Datalogi,enhanced_english,medium,english
EDU_course_Design,EDU,course,Design,Course name: Design,enhanced_english,medium,english
EDU_course_Design og arkitektur,EDU,course,Design og arkitektur,Course name: Design og arkitektur,enhanced_english,medium,english
EDU_course_Dramatik,EDU,course,Dramatik,Course name: Dramatik,enhanced_english,medium,english
EDU_course_EU og internationalt økonomisk samarbejde,EDU,course,EU og internationalt økonomisk samarbejde,Course name: EU og internationalt økonomisk samarbejde,enhanced_english,medium,english
EDU_course_Eksamensprojekt,EDU,course,Eksamensprojekt,Course name: Eksamensprojekt,enhanced_english,medium,english
EDU_course_Engelsk,EDU,course,Engelsk,Course name: Engelsk,enhanced_english,medium,english
EDU_course_Engelsk IT,EDU,course,Engelsk IT,Course name: Engelsk IT,enhanced_english,medium,english
EDU_course_Erhvervscase,EDU,course,Erhvervscase,Course name: Erhvervscase,enhanced_english,medium,english
