code,prefix,database,value,description,source,confidence,language
EDU_dageaktiv_1,EDU,dageaktiv,1,Days active in education: 1,enhanced_english,medium,english
EDU_dageaktiv_10,EDU,dageaktiv,10,Days active in education: 10,enhanced_english,medium,english
EDU_dageaktiv_11,EDU,dageaktiv,11,Days active in education: 11,enhanced_english,medium,english
EDU_dageaktiv_12,EDU,dageaktiv,12,Days active in education: 12,enhanced_english,medium,english
EDU_dageaktiv_13,EDU,dageaktiv,13,Days active in education: 13,enhanced_english,medium,english
EDU_dageaktiv_14,EDU,dageaktiv,14,Days active in education: 14,enhanced_english,medium,english
EDU_dageaktiv_15,EDU,dageaktiv,15,Days active in education: 15,enhanced_english,medium,english
EDU_dageaktiv_16,EDU,dageaktiv,16,Days active in education: 16,enhanced_english,medium,english
EDU_dageaktiv_17,EDU,dageaktiv,17,Days active in education: 17,enhanced_english,medium,english
EDU_dageaktiv_18,EDU,dageaktiv,18,Days active in education: 18,enhanced_english,medium,english
EDU_dageaktiv_19,EDU,dageaktiv,19,Days active in education: 19,enhanced_english,medium,english
EDU_dageaktiv_2,EDU,dageaktiv,2,Days active in education: 2,enhanced_english,medium,english
EDU_dageaktiv_20,EDU,dageaktiv,20,Days active in education: 20,enhanced_english,medium,english
EDU_dageaktiv_21,EDU,dageaktiv,21,Days active in education: 21,enhanced_english,medium,english
EDU_dageaktiv_22,EDU,dageaktiv,22,Days active in education: 22,enhanced_english,medium,english
EDU_dageaktiv_23,EDU,dageaktiv,23,Days active in education: 23,enhanced_english,medium,english
EDU_dageaktiv_3,EDU,dageaktiv,3,Days active in education: 3,enhanced_english,medium,english
EDU_dageaktiv_4,EDU,dageaktiv,4,Days active in education: 4,enhanced_english,medium,english
EDU_dageaktiv_5,EDU,dageaktiv,5,Days active in education: 5,enhanced_english,medium,english
EDU_dageaktiv_6,EDU,dageaktiv,6,Days active in education: 6,enhanced_english,medium,english
EDU_dageaktiv_7,EDU,dageaktiv,7,Days active in education: 7,enhanced_english,medium,english
EDU_dageaktiv_8,EDU,dageaktiv,8,Days active in education: 8,enhanced_english,medium,english
EDU_dageaktiv_9,EDU,dageaktiv,9,Days active in education: 9,enhanced_english,medium,english
