code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people,program_group,is_primary_code
EDU_dageialtfra_2,EDU,dageialtfra,2,total absence days: 2 (bin),samlede fraværsdage: 2 (interval),,,total absence days: 2 (bin),,,translated,none|generated,medium,danish,,,7828635,1238634,0.137189,,
EDU_dageialtfra_5,EDU,dageialtfra,5,total absence days: 5 (bin),samlede fraværsdage: 5 (interval),,,total absence days: 5 (bin),,,translated,none|generated,medium,danish,,,1938298,832534,0.09221,,
EDU_dageialtfra_3,EDU,dageialtfra,3,total absence days: 3 (bin),samlede fraværsdage: 3 (interval),,,total absence days: 3 (bin),,,translated,none|generated,medium,danish,,,4300567,1089743,0.120698,,
EDU_dageialtfra_1,EDU,dageialtfra,1,total absence days: 1 (bin),samlede fraværsdage: 1 (interval),,,total absence days: 1 (bin),,,translated,none|generated,medium,danish,,,15256077,1316315,0.145793,,
EDU_dageialtfra_4,EDU,dageialtfra,4,total absence days: 4 (bin),samlede fraværsdage: 4 (interval),,,total absence days: 4 (bin),,,translated,none|generated,medium,danish,,,2510894,903713,0.100094,,
EDU_dageialtfra_7,EDU,dageialtfra,7,total absence days: 7 (bin),samlede fraværsdage: 7 (interval),,,total absence days: 7 (bin),,,translated,none|generated,medium,danish,,,582713,373259,0.041341,,
EDU_dageialtfra_6,EDU,dageialtfra,6,total absence days: 6 (bin),samlede fraværsdage: 6 (interval),,,total absence days: 6 (bin),,,translated,none|generated,medium,danish,,,1020941,563902,0.062457,,
EDU_dageialtfra_8,EDU,dageialtfra,8,total absence days: 8 (bin),samlede fraværsdage: 8 (interval),,,total absence days: 8 (bin),,,translated,none|generated,medium,danish,,,354613,248270,0.027498,,
EDU_dageialtfra_10,EDU,dageialtfra,10,total absence days: 10 (bin),samlede fraværsdage: 10 (interval),,,total absence days: 10 (bin),,,translated,none|generated,medium,danish,,,180665,140016,0.015508,,
EDU_dageialtfra_9,EDU,dageialtfra,9,total absence days: 9 (bin),samlede fraværsdage: 9 (interval),,,total absence days: 9 (bin),,,translated,none|generated,medium,danish,,,230019,170820,0.01892,,
EDU_dageialtfra_12,EDU,dageialtfra,12,total absence days: 12 (bin),samlede fraværsdage: 12 (interval),,,total absence days: 12 (bin),,,translated,none|generated,medium,danish,,,81933,65914,0.007301,,
EDU_dageialtfra_13,EDU,dageialtfra,13,total absence days: 13 (bin),samlede fraværsdage: 13 (interval),,,total absence days: 13 (bin),,,translated,none|generated,medium,danish,,,61879,50062,0.005545,,
EDU_dageialtfra_23,EDU,dageialtfra,23,total absence days: 23 (bin),samlede fraværsdage: 23 (interval),,,total absence days: 23 (bin),,,translated,none|generated,medium,danish,,,3522,3374,0.000374,,
EDU_dageialtfra_14,EDU,dageialtfra,14,total absence days: 14 (bin),samlede fraværsdage: 14 (interval),,,total absence days: 14 (bin),,,translated,none|generated,medium,danish,,,55842,44418,0.00492,,
EDU_dageialtfra_16,EDU,dageialtfra,16,total absence days: 16 (bin),samlede fraværsdage: 16 (interval),,,total absence days: 16 (bin),,,translated,none|generated,medium,danish,,,39146,30548,0.003383,,
EDU_dageialtfra_11,EDU,dageialtfra,11,total absence days: 11 (bin),samlede fraværsdage: 11 (interval),,,total absence days: 11 (bin),,,translated,none|generated,medium,danish,,,111895,88709,0.009825,,
EDU_dageialtfra_18,EDU,dageialtfra,18,total absence days: 18 (bin),samlede fraværsdage: 18 (interval),,,total absence days: 18 (bin),,,translated,none|generated,medium,danish,,,25361,20574,0.002279,,
EDU_dageialtfra_15,EDU,dageialtfra,15,total absence days: 15 (bin),samlede fraværsdage: 15 (interval),,,total absence days: 15 (bin),,,translated,none|generated,medium,danish,,,61351,46094,0.005105,,
EDU_dageialtfra_20,EDU,dageialtfra,20,total absence days: 20 (bin),samlede fraværsdage: 20 (interval),,,total absence days: 20 (bin),,,translated,none|generated,medium,danish,,,23964,19026,0.002107,,
EDU_dageialtfra_22,EDU,dageialtfra,22,total absence days: 22 (bin),samlede fraværsdage: 22 (interval),,,total absence days: 22 (bin),,,translated,none|generated,medium,danish,,,14799,11990,0.001328,,
EDU_dageialtfra_19,EDU,dageialtfra,19,total absence days: 19 (bin),samlede fraværsdage: 19 (interval),,,total absence days: 19 (bin),,,translated,none|generated,medium,danish,,,21292,17599,0.001949,,
EDU_dageialtfra_17,EDU,dageialtfra,17,total absence days: 17 (bin),samlede fraværsdage: 17 (interval),,,total absence days: 17 (bin),,,translated,none|generated,medium,danish,,,26788,22033,0.00244,,
EDU_dageialtfra_21,EDU,dageialtfra,21,total absence days: 21 (bin),samlede fraværsdage: 21 (interval),,,total absence days: 21 (bin),,,translated,none|generated,medium,danish,,,17185,13889,0.001538,,
