code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
EDU_dageulovfra_1,EDU,dageulovfra,1,unauthorized absence days: 1 (bin),,unauthorized absence days: 1 (bin),none|generated,medium,danish,,
EDU_dageulovfra_4,EDU,dageulovfra,4,unauthorized absence days: 4 (bin),,unauthorized absence days: 4 (bin),none|generated,medium,danish,,
EDU_dageulovfra_2,EDU,dageulovfra,2,unauthorized absence days: 2 (bin),,unauthorized absence days: 2 (bin),none|generated,medium,danish,,
EDU_dageulovfra_7,EDU,dageulovfra,7,unauthorized absence days: 7 (bin),,unauthorized absence days: 7 (bin),none|generated,medium,danish,,
EDU_dageulovfra_3,EDU,dageulovfra,3,unauthorized absence days: 3 (bin),,unauthorized absence days: 3 (bin),none|generated,medium,danish,,
EDU_dageulovfra_6,EDU,dageulovfra,6,unauthorized absence days: 6 (bin),,unauthorized absence days: 6 (bin),none|generated,medium,danish,,
EDU_dageulovfra_8,EDU,dageulovfra,8,unauthorized absence days: 8 (bin),,unauthorized absence days: 8 (bin),none|generated,medium,danish,,
EDU_dageulovfra_5,EDU,dageulovfra,5,unauthorized absence days: 5 (bin),,unauthorized absence days: 5 (bin),none|generated,medium,danish,,
EDU_dageulovfra_9,EDU,dageulovfra,9,unauthorized absence days: 9 (bin),,unauthorized absence days: 9 (bin),none|generated,medium,danish,,
EDU_dageulovfra_12,EDU,dageulovfra,12,unauthorized absence days: 12 (bin),,unauthorized absence days: 12 (bin),none|generated,medium,danish,,
EDU_dageulovfra_10,EDU,dageulovfra,10,unauthorized absence days: 10 (bin),,unauthorized absence days: 10 (bin),none|generated,medium,danish,,
EDU_dageulovfra_11,EDU,dageulovfra,11,unauthorized absence days: 11 (bin),,unauthorized absence days: 11 (bin),none|generated,medium,danish,,
EDU_dageulovfra_13,EDU,dageulovfra,13,unauthorized absence days: 13 (bin),,unauthorized absence days: 13 (bin),none|generated,medium,danish,,
EDU_dageulovfra_17,EDU,dageulovfra,17,unauthorized absence days: 17 (bin),,unauthorized absence days: 17 (bin),none|generated,medium,danish,,
EDU_dageulovfra_21,EDU,dageulovfra,21,unauthorized absence days: 21 (bin),,unauthorized absence days: 21 (bin),none|generated,medium,danish,,
EDU_dageulovfra_14,EDU,dageulovfra,14,unauthorized absence days: 14 (bin),,unauthorized absence days: 14 (bin),none|generated,medium,danish,,
EDU_dageulovfra_22,EDU,dageulovfra,22,unauthorized absence days: 22 (bin),,unauthorized absence days: 22 (bin),none|generated,medium,danish,,
EDU_dageulovfra_15,EDU,dageulovfra,15,unauthorized absence days: 15 (bin),,unauthorized absence days: 15 (bin),none|generated,medium,danish,,
EDU_dageulovfra_16,EDU,dageulovfra,16,unauthorized absence days: 16 (bin),,unauthorized absence days: 16 (bin),none|generated,medium,danish,,
EDU_dageulovfra_20,EDU,dageulovfra,20,unauthorized absence days: 20 (bin),,unauthorized absence days: 20 (bin),none|generated,medium,danish,,
EDU_dageulovfra_18,EDU,dageulovfra,18,unauthorized absence days: 18 (bin),,unauthorized absence days: 18 (bin),none|generated,medium,danish,,
EDU_dageulovfra_19,EDU,dageulovfra,19,unauthorized absence days: 19 (bin),,unauthorized absence days: 19 (bin),none|generated,medium,danish,,
EDU_dageulovfra_23,EDU,dageulovfra,23,unauthorized absence days: 23 (bin),,unauthorized absence days: 23 (bin),none|generated,medium,danish,,
