code,prefix,database,value,description,source,confidence,language
EDU_fag_Biologi 8. klasse,EDU,fag,Biologi 8. klasse,Subject/course: Biologi 8. klasse,enhanced_english,medium,english
"EDU_fag_Dansk, læsning 2. klasse",EDU,fag,"Dansk, læsning 2. klasse","Subject/course: Dansk, læsning 2. klasse",enhanced_english,medium,english
"EDU_fag_Dansk, læsning 4. klasse",EDU,fag,"Dansk, læsning 4. klasse","Subject/course: Dansk, læsning 4. klasse",enhanced_english,medium,english
"EDU_fag_Dansk, læsning 6. klasse",EDU,fag,"Dansk, læsning 6. klasse","Subject/course: Dansk, læsning 6. klasse",enhanced_english,medium,english
"EDU_fag_Dansk, læsning 8. klasse",EDU,fag,"Dansk, læsning 8. klasse","Subject/course: Dansk, læsning 8. klasse",enhanced_english,medium,english
EDU_fag_Dansk/læsning 2. klasse,EDU,fag,Dansk/læsning 2. klasse,Subject/course: Dansk/læsning 2. klasse,enhanced_english,medium,english
EDU_fag_Dansk/læsning 4. klasse,EDU,fag,Dansk/læsning 4. klasse,Subject/course: Dansk/læsning 4. klasse,enhanced_english,medium,english
EDU_fag_Dansk/læsning 6. klasse,EDU,fag,Dansk/læsning 6. klasse,Subject/course: Dansk/læsning 6. klasse,enhanced_english,medium,english
EDU_fag_Dansk/læsning 8. klasse,EDU,fag,Dansk/læsning 8. klasse,Subject/course: Dansk/læsning 8. klasse,enhanced_english,medium,english
EDU_fag_Engelsk 4. klasse,EDU,fag,Engelsk 4. klasse,Subject/course: Engelsk 4. klasse,enhanced_english,medium,english
EDU_fag_Engelsk 7. klasse,EDU,fag,Engelsk 7. klasse,Subject/course: Engelsk 7. klasse,enhanced_english,medium,english
EDU_fag_Fysik/kemi 8. klasse,EDU,fag,Fysik/kemi 8. klasse,Subject/course: Fysik/kemi 8. klasse,enhanced_english,medium,english
EDU_fag_Geografi 8. klasse,EDU,fag,Geografi 8. klasse,Subject/course: Geografi 8. klasse,enhanced_english,medium,english
EDU_fag_Matematik 3. klasse,EDU,fag,Matematik 3. klasse,Subject/course: Matematik 3. klasse,enhanced_english,medium,english
EDU_fag_Matematik 6. klasse,EDU,fag,Matematik 6. klasse,Subject/course: Matematik 6. klasse,enhanced_english,medium,english
EDU_fag_Matematik 8. klasse,EDU,fag,Matematik 8. klasse,Subject/course: Matematik 8. klasse,enhanced_english,medium,english
