code,prefix,database,value,description,source,confidence,language
EDU_udd_0,EDU,udd,0,Afbrudt,pt_dictionaries,highest,danish
EDU_udd_1,EDU,udd,1,Ingen uddannelse ivu,pt_dictionaries,highest,danish
EDU_udd_1006,EDU,udd,1006,6. klasse,pt_dictionaries,highest,danish
EDU_udd_1007,EDU,udd,1007,7. klasse,pt_dictionaries,highest,danish
EDU_udd_1008,EDU,udd,1008,8. klasse,pt_dictionaries,highest,danish
EDU_udd_1009,EDU,udd,1009,9. klasse,pt_dictionaries,highest,danish
EDU_udd_1010,EDU,udd,1010,10. klasse,pt_dictionaries,highest,danish
EDU_udd_1011,EDU,udd,1011,11. klasse,pt_dictionaries,highest,danish
EDU_udd_1021,EDU,udd,1021,1. real,pt_dictionaries,highest,danish
EDU_udd_1022,EDU,udd,1022,2. real,pt_dictionaries,highest,danish
EDU_udd_1023,EDU,udd,1023,3. real,pt_dictionaries,highest,danish
EDU_udd_1031,EDU,udd,1031,1. hf,pt_dictionaries,highest,danish
EDU_udd_1032,EDU,udd,1032,2. hf,pt_dictionaries,highest,danish
EDU_udd_1040,EDU,udd,1040,"1.g, matematisk-sproglig fælleslinie",pt_dictionaries,highest,danish
EDU_udd_1041,EDU,udd,1041,"1.g, matematisk linie",pt_dictionaries,highest,danish
EDU_udd_1042,EDU,udd,1042,"1.g, sproglig linie",pt_dictionaries,highest,danish
EDU_udd_1049,EDU,udd,1049,"2.g, matematisk-sproglig fælleslinie",pt_dictionaries,highest,danish
EDU_udd_1051,EDU,udd,1051,"2.g, matematisk-fysisk linie",pt_dictionaries,highest,danish
EDU_udd_1052,EDU,udd,1052,"2.g, matematisk-naturfaglig linie",pt_dictionaries,highest,danish
EDU_udd_1061,EDU,udd,1061,"2.g, nysproglig linie",pt_dictionaries,highest,danish
EDU_udd_1062,EDU,udd,1062,"2.g, klassisksproglig linie",pt_dictionaries,highest,danish
EDU_udd_1064,EDU,udd,1064,"2.g, musiksproglig linie",pt_dictionaries,highest,danish
EDU_udd_1069,EDU,udd,1069,"3.g, matematisk-sproglig fælleslinie",pt_dictionaries,highest,danish
EDU_udd_1070,EDU,udd,1070,"3.g, matematisk linie una",pt_dictionaries,highest,danish
EDU_udd_1071,EDU,udd,1071,"3.g, matematisk-fysisk linie",pt_dictionaries,highest,danish
EDU_udd_1072,EDU,udd,1072,"3.g, matematisk-naturfaglig linie",pt_dictionaries,highest,danish
EDU_udd_1073,EDU,udd,1073,"3.g, matematisk-samfundsfaglig linie",pt_dictionaries,highest,danish
EDU_udd_1080,EDU,udd,1080,"3.g, sproglig linie una",pt_dictionaries,highest,danish
EDU_udd_1081,EDU,udd,1081,"3.g, nysproglig linie",pt_dictionaries,highest,danish
EDU_udd_1082,EDU,udd,1082,"3.g, klassisksproglig linie",pt_dictionaries,highest,danish
EDU_udd_1083,EDU,udd,1083,"3.g, musiksproglig linie",pt_dictionaries,highest,danish
EDU_udd_1084,EDU,udd,1084,"3.g, musiksproglig linie",pt_dictionaries,highest,danish
EDU_udd_1090,EDU,udd,1090,Uoplyst (kendt i elevregistret),pt_dictionaries,highest,danish
EDU_udd_1095,EDU,udd,1095,Uoplyst (indvandrernes uddannelse),pt_dictionaries,highest,danish
EDU_udd_1097,EDU,udd,1097,Anden dansk studentereksamen,pt_dictionaries,highest,danish
EDU_udd_1098,EDU,udd,1098,Udenlandsk studentereksamen,pt_dictionaries,highest,danish
EDU_udd_1099,EDU,udd,1099,Uoplyst (ukendt i elevregistret),pt_dictionaries,highest,danish
EDU_udd_1100,EDU,udd,1100,Børnehaveklasse,pt_dictionaries,highest,danish
EDU_udd_1101,EDU,udd,1101,1. klasse,pt_dictionaries,highest,danish
EDU_udd_1102,EDU,udd,1102,2. klasse,pt_dictionaries,highest,danish
EDU_udd_1103,EDU,udd,1103,3. klasse,pt_dictionaries,highest,danish
EDU_udd_1104,EDU,udd,1104,4. klasse,pt_dictionaries,highest,danish
EDU_udd_1105,EDU,udd,1105,5. klasse,pt_dictionaries,highest,danish
EDU_udd_1106,EDU,udd,1106,6. klasse,pt_dictionaries,highest,danish
EDU_udd_1107,EDU,udd,1107,7. klasse,pt_dictionaries,highest,danish
EDU_udd_1108,EDU,udd,1108,8. klasse,pt_dictionaries,highest,danish
EDU_udd_1109,EDU,udd,1109,9. klasse,pt_dictionaries,highest,danish
EDU_udd_1110,EDU,udd,1110,10. klasse,pt_dictionaries,highest,danish
