code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
EDU_udel_29,EDU,udel,29,9. klassetrin,9. klassetrin,,,Grade-level 9,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_30,EDU,udel,30,10. klassetrin,10. klassetrin,,,Grade-level 10,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_0,EDU,udel,0,Udelt uddannelse,Udelt uddannelse,,,Undivided education,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_28,EDU,udel,28,8. klassetrin,8. klassetrin,,,Grade-level 8,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_51,EDU,udel,51,EUD indgangsforløb,EUD indgangsforløb,,,VET (EUD) entry programme,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_52,EDU,udel,52,EUD hovedforløb,EUD hovedforløb,,,VET (EUD) main programme,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_21,EDU,udel,21,1. klassetrin,1. klassetrin,,,Grade-level 1,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_22,EDU,udel,22,2. klassetrin,2. klassetrin,,,Grade-level 2,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_23,EDU,udel,23,3. klassetrin,3. klassetrin,,,Grade-level 3,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_60,EDU,udel,60,Udelt kandidatuddannelse,Udelt kandidatuddannelse,,,Undivided master's programme,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_61,EDU,udel,61,Bacheloruddannelse,Bacheloruddannelse,,,Bachelor's programme,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_62,EDU,udel,62,Kandidatoverbygning,Kandidatoverbygning,,,Master's top-up programme,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_54,EDU,udel,54,EUD indgangsforløb 2,EUD indgangsforløb 2,,,VET (EUD) entry programme 2,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_31,EDU,udel,31,11. klassetrin,11. klassetrin,,,Grade-level 11,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_55,EDU,udel,55,EUD EUX studiekompetenceforløb,EUD EUX studiekompetenceforløb,,,VET (EUD) EUX study-competence programme,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_27,EDU,udel,27,7. klassetrin,7. klassetrin,,,Grade-level 7,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_56,EDU,udel,56,Grundforløb plus,Grundforløb plus,,,Basic programme plus,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_26,EDU,udel,26,6. klassetrin,6. klassetrin,,,Grade-level 6,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_25,EDU,udel,25,5. klassetrin,5. klassetrin,,,Grade-level 5,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_20,EDU,udel,20,0. klassetrin,0. klassetrin,,,Grade-level 0 (kindergarten class),,,dst_times_udel,none|generated,high,danish,,
EDU_udel_64,EDU,udel,64,Akademisk overbygningsuddannelse,Akademisk overbygningsuddannelse,,,Academic top-up programme,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_24,EDU,udel,24,4. klassetrin,4. klassetrin,,,Grade-level 4,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_41,EDU,udel,41,FGU spor,FGU spor,,,FGU track,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_40,EDU,udel,40,FGU basis/spor ikke valgt,FGU basis/spor ikke valgt,,,FGU basis / track not selected,,,dst_times_udel,none|generated,high,danish,,
EDU_udel_53,EDU,udel,53,EUD indgangsforløb 1,EUD indgangsforløb 1,,,VET (EUD) entry programme 1,,,dst_times_udel,none|generated,high,danish,,
