code,prefix,database,value,description,source,confidence,language
EDU_wellbeing_academic_Q1,EDU,wellbeing,academic_Q1,Student wellbeing measure: academic_Q1,enhanced_english,medium,english
EDU_wellbeing_academic_Q10,EDU,wellbeing,academic_Q10,Student wellbeing measure: academic_Q10,enhanced_english,medium,english
EDU_wellbeing_academic_Q2,EDU,wellbeing,academic_Q2,Student wellbeing measure: academic_Q2,enhanced_english,medium,english
EDU_wellbeing_academic_Q3,EDU,wellbeing,academic_Q3,Student wellbeing measure: academic_Q3,enhanced_english,medium,english
EDU_wellbeing_academic_Q4,EDU,wellbeing,academic_Q4,Student wellbeing measure: academic_Q4,enhanced_english,medium,english
EDU_wellbeing_academic_Q5,EDU,wellbeing,academic_Q5,Student wellbeing measure: academic_Q5,enhanced_english,medium,english
EDU_wellbeing_academic_Q6,EDU,wellbeing,academic_Q6,Student wellbeing measure: academic_Q6,enhanced_english,medium,english
EDU_wellbeing_academic_Q7,EDU,wellbeing,academic_Q7,Student wellbeing measure: academic_Q7,enhanced_english,medium,english
EDU_wellbeing_academic_Q8,EDU,wellbeing,academic_Q8,Student wellbeing measure: academic_Q8,enhanced_english,medium,english
EDU_wellbeing_academic_Q9,EDU,wellbeing,academic_Q9,Student wellbeing measure: academic_Q9,enhanced_english,medium,english
EDU_wellbeing_calm_and_quiet_Q1,EDU,wellbeing,calm_and_quiet_Q1,Student wellbeing measure: calm_and_quiet_Q1,enhanced_english,medium,english
EDU_wellbeing_calm_and_quiet_Q10,EDU,wellbeing,calm_and_quiet_Q10,Student wellbeing measure: calm_and_quiet_Q10,enhanced_english,medium,english
EDU_wellbeing_calm_and_quiet_Q2,EDU,wellbeing,calm_and_quiet_Q2,Student wellbeing measure: calm_and_quiet_Q2,enhanced_english,medium,english
EDU_wellbeing_calm_and_quiet_Q3,EDU,wellbeing,calm_and_quiet_Q3,Student wellbeing measure: calm_and_quiet_Q3,enhanced_english,medium,english
EDU_wellbeing_calm_and_quiet_Q4,EDU,wellbeing,calm_and_quiet_Q4,Student wellbeing measure: calm_and_quiet_Q4,enhanced_english,medium,english
EDU_wellbeing_calm_and_quiet_Q5,EDU,wellbeing,calm_and_quiet_Q5,Student wellbeing measure: calm_and_quiet_Q5,enhanced_english,medium,english
EDU_wellbeing_calm_and_quiet_Q6,EDU,wellbeing,calm_and_quiet_Q6,Student wellbeing measure: calm_and_quiet_Q6,enhanced_english,medium,english
EDU_wellbeing_calm_and_quiet_Q7,EDU,wellbeing,calm_and_quiet_Q7,Student wellbeing measure: calm_and_quiet_Q7,enhanced_english,medium,english
EDU_wellbeing_calm_and_quiet_Q8,EDU,wellbeing,calm_and_quiet_Q8,Student wellbeing measure: calm_and_quiet_Q8,enhanced_english,medium,english
EDU_wellbeing_calm_and_quiet_Q9,EDU,wellbeing,calm_and_quiet_Q9,Student wellbeing measure: calm_and_quiet_Q9,enhanced_english,medium,english
EDU_wellbeing_overall_old_Q1,EDU,wellbeing,overall_old_Q1,Student wellbeing measure: overall_old_Q1,enhanced_english,medium,english
EDU_wellbeing_overall_old_Q10,EDU,wellbeing,overall_old_Q10,Student wellbeing measure: overall_old_Q10,enhanced_english,medium,english
EDU_wellbeing_overall_old_Q2,EDU,wellbeing,overall_old_Q2,Student wellbeing measure: overall_old_Q2,enhanced_english,medium,english
EDU_wellbeing_overall_old_Q3,EDU,wellbeing,overall_old_Q3,Student wellbeing measure: overall_old_Q3,enhanced_english,medium,english
EDU_wellbeing_overall_old_Q4,EDU,wellbeing,overall_old_Q4,Student wellbeing measure: overall_old_Q4,enhanced_english,medium,english
EDU_wellbeing_overall_old_Q5,EDU,wellbeing,overall_old_Q5,Student wellbeing measure: overall_old_Q5,enhanced_english,medium,english
EDU_wellbeing_overall_old_Q6,EDU,wellbeing,overall_old_Q6,Student wellbeing measure: overall_old_Q6,enhanced_english,medium,english
EDU_wellbeing_overall_old_Q7,EDU,wellbeing,overall_old_Q7,Student wellbeing measure: overall_old_Q7,enhanced_english,medium,english
EDU_wellbeing_overall_old_Q8,EDU,wellbeing,overall_old_Q8,Student wellbeing measure: overall_old_Q8,enhanced_english,medium,english
EDU_wellbeing_overall_old_Q9,EDU,wellbeing,overall_old_Q9,Student wellbeing measure: overall_old_Q9,enhanced_english,medium,english
EDU_wellbeing_overall_young_Q1,EDU,wellbeing,overall_young_Q1,Student wellbeing measure: overall_young_Q1,enhanced_english,medium,english
EDU_wellbeing_overall_young_Q10,EDU,wellbeing,overall_young_Q10,Student wellbeing measure: overall_young_Q10,enhanced_english,medium,english
EDU_wellbeing_overall_young_Q2,EDU,wellbeing,overall_young_Q2,Student wellbeing measure: overall_young_Q2,enhanced_english,medium,english
EDU_wellbeing_overall_young_Q3,EDU,wellbeing,overall_young_Q3,Student wellbeing measure: overall_young_Q3,enhanced_english,medium,english
EDU_wellbeing_overall_young_Q4,EDU,wellbeing,overall_young_Q4,Student wellbeing measure: overall_young_Q4,enhanced_english,medium,english
EDU_wellbeing_overall_young_Q5,EDU,wellbeing,overall_young_Q5,Student wellbeing measure: overall_young_Q5,enhanced_english,medium,english
EDU_wellbeing_overall_young_Q6,EDU,wellbeing,overall_young_Q6,Student wellbeing measure: overall_young_Q6,enhanced_english,medium,english
EDU_wellbeing_overall_young_Q7,EDU,wellbeing,overall_young_Q7,Student wellbeing measure: overall_young_Q7,enhanced_english,medium,english
EDU_wellbeing_overall_young_Q8,EDU,wellbeing,overall_young_Q8,Student wellbeing measure: overall_young_Q8,enhanced_english,medium,english
EDU_wellbeing_overall_young_Q9,EDU,wellbeing,overall_young_Q9,Student wellbeing measure: overall_young_Q9,enhanced_english,medium,english
EDU_wellbeing_social_Q1,EDU,wellbeing,social_Q1,Student wellbeing measure: social_Q1,enhanced_english,medium,english
EDU_wellbeing_social_Q10,EDU,wellbeing,social_Q10,Student wellbeing measure: social_Q10,enhanced_english,medium,english
EDU_wellbeing_social_Q2,EDU,wellbeing,social_Q2,Student wellbeing measure: social_Q2,enhanced_english,medium,english
EDU_wellbeing_social_Q3,EDU,wellbeing,social_Q3,Student wellbeing measure: social_Q3,enhanced_english,medium,english
EDU_wellbeing_social_Q4,EDU,wellbeing,social_Q4,Student wellbeing measure: social_Q4,enhanced_english,medium,english
EDU_wellbeing_social_Q5,EDU,wellbeing,social_Q5,Student wellbeing measure: social_Q5,enhanced_english,medium,english
EDU_wellbeing_social_Q6,EDU,wellbeing,social_Q6,Student wellbeing measure: social_Q6,enhanced_english,medium,english
EDU_wellbeing_social_Q7,EDU,wellbeing,social_Q7,Student wellbeing measure: social_Q7,enhanced_english,medium,english
EDU_wellbeing_social_Q8,EDU,wellbeing,social_Q8,Student wellbeing measure: social_Q8,enhanced_english,medium,english
EDU_wellbeing_social_Q9,EDU,wellbeing,social_Q9,Student wellbeing measure: social_Q9,enhanced_english,medium,english
EDU_wellbeing_support_and_inspiration_Q1,EDU,wellbeing,support_and_inspiration_Q1,Student wellbeing measure: support_and_inspiration_Q1,enhanced_english,medium,english
EDU_wellbeing_support_and_inspiration_Q10,EDU,wellbeing,support_and_inspiration_Q10,Student wellbeing measure: support_and_inspiration_Q10,enhanced_english,medium,english
EDU_wellbeing_support_and_inspiration_Q2,EDU,wellbeing,support_and_inspiration_Q2,Student wellbeing measure: support_and_inspiration_Q2,enhanced_english,medium,english
EDU_wellbeing_support_and_inspiration_Q3,EDU,wellbeing,support_and_inspiration_Q3,Student wellbeing measure: support_and_inspiration_Q3,enhanced_english,medium,english
EDU_wellbeing_support_and_inspiration_Q4,EDU,wellbeing,support_and_inspiration_Q4,Student wellbeing measure: support_and_inspiration_Q4,enhanced_english,medium,english
EDU_wellbeing_support_and_inspiration_Q5,EDU,wellbeing,support_and_inspiration_Q5,Student wellbeing measure: support_and_inspiration_Q5,enhanced_english,medium,english
EDU_wellbeing_support_and_inspiration_Q6,EDU,wellbeing,support_and_inspiration_Q6,Student wellbeing measure: support_and_inspiration_Q6,enhanced_english,medium,english
EDU_wellbeing_support_and_inspiration_Q7,EDU,wellbeing,support_and_inspiration_Q7,Student wellbeing measure: support_and_inspiration_Q7,enhanced_english,medium,english
EDU_wellbeing_support_and_inspiration_Q8,EDU,wellbeing,support_and_inspiration_Q8,Student wellbeing measure: support_and_inspiration_Q8,enhanced_english,medium,english
EDU_wellbeing_support_and_inspiration_Q9,EDU,wellbeing,support_and_inspiration_Q9,Student wellbeing measure: support_and_inspiration_Q9,enhanced_english,medium,english
