code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people,program_group,is_primary_code
HEA_DDK_manual_bin_10,HEA,DDK,manual_bin_10,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 10","Lægemiddelmængde pr. pakning (VOLUME), enhed DøgnDosis DK (VOLTYPECODE DDK): 10",,,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 10",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,1637925,792858,0.087815,,
HEA_DDK_manual_bin_20_30,HEA,DDK,manual_bin_20_30,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 20-30","Lægemiddelmængde pr. pakning (VOLUME), enhed DøgnDosis DK (VOLTYPECODE DDK): 20-30",,,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 20-30",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,5596061,1146173,0.126948,,
HEA_DDK_manual_bin_30_40,HEA,DDK,manual_bin_30_40,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 30-40","Lægemiddelmængde pr. pakning (VOLUME), enhed DøgnDosis DK (VOLTYPECODE DDK): 30-40",,,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 30-40",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,3932122,473750,0.052472,,
HEA_DDK_manual_bin_4,HEA,DDK,manual_bin_4,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 4","Lægemiddelmængde pr. pakning (VOLUME), enhed DøgnDosis DK (VOLTYPECODE DDK): 4",,,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 4",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,832174,375937,0.041638,,
HEA_DDK_manual_bin_40_50,HEA,DDK,manual_bin_40_50,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 40-50","Lægemiddelmængde pr. pakning (VOLUME), enhed DøgnDosis DK (VOLTYPECODE DDK): 40-50",,,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 40-50",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,1437989,260405,0.028842,,
HEA_DDK_manual_bin_2,HEA,DDK,manual_bin_2,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 2","Lægemiddelmængde pr. pakning (VOLUME), enhed DøgnDosis DK (VOLTYPECODE DDK): 2",,,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 2",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,94651,22472,0.002489,,
HEA_DDK_manual_bin_50_100,HEA,DDK,manual_bin_50_100,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 50-100","Lægemiddelmængde pr. pakning (VOLUME), enhed DøgnDosis DK (VOLTYPECODE DDK): 50-100",,,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 50-100",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,1165228,210074,0.023267,,
HEA_DDK_manual_bin_10_15,HEA,DDK,manual_bin_10_15,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 10-15","Lægemiddelmængde pr. pakning (VOLUME), enhed DøgnDosis DK (VOLTYPECODE DDK): 10-15",,,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 10-15",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,1649452,652464,0.072266,,
HEA_DDK_manual_bin_15_20,HEA,DDK,manual_bin_15_20,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 15-20","Lægemiddelmængde pr. pakning (VOLUME), enhed DøgnDosis DK (VOLTYPECODE DDK): 15-20",,,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 15-20",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,1882364,489750,0.054244,,
HEA_DDK_manual_bin_9,HEA,DDK,manual_bin_9,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 9","Lægemiddelmængde pr. pakning (VOLUME), enhed DøgnDosis DK (VOLTYPECODE DDK): 9",,,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 9",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,203410,135862,0.015048,,
HEA_DDK_manual_bin_5,HEA,DDK,manual_bin_5,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 5","Lægemiddelmængde pr. pakning (VOLUME), enhed DøgnDosis DK (VOLTYPECODE DDK): 5",,,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 5",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,1437676,608271,0.067371,,
HEA_DDK_manual_bin_6,HEA,DDK,manual_bin_6,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 6","Lægemiddelmængde pr. pakning (VOLUME), enhed DøgnDosis DK (VOLTYPECODE DDK): 6",,,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 6",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,31969,11399,0.001263,,
HEA_DDK_manual_bin_8,HEA,DDK,manual_bin_8,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 8","Lægemiddelmængde pr. pakning (VOLUME), enhed DøgnDosis DK (VOLTYPECODE DDK): 8",,,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 8",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,1110837,627030,0.069449,,
HEA_DDK_manual_bin_100_500,HEA,DDK,manual_bin_100_500,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 100-500","Lægemiddelmængde pr. pakning (VOLUME), enhed DøgnDosis DK (VOLTYPECODE DDK): 100-500",,,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 100-500",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,197917,41938,0.004645,,
HEA_DDK_manual_bin_1,HEA,DDK,manual_bin_1,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 1","Lægemiddelmængde pr. pakning (VOLUME), enhed DøgnDosis DK (VOLTYPECODE DDK): 1",,,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 1",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,69178,56837,0.006295,,
HEA_DDK_manual_bin_3,HEA,DDK,manual_bin_3,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 3","Lægemiddelmængde pr. pakning (VOLUME), enhed DøgnDosis DK (VOLTYPECODE DDK): 3",,,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 3",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,207512,33871,0.003751,,
HEA_DDK_manual_bin_7,HEA,DDK,manual_bin_7,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 7","Lægemiddelmængde pr. pakning (VOLUME), enhed DøgnDosis DK (VOLTYPECODE DDK): 7",,,"Medicine volume per package (VOLUME), unit Danish defined daily dose (DDD-DK) (VOLTYPECODE DDK): 7",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,410,359,4e-05,,
HEA_DDK,HEA,DDK,,LMDB VOLTYPECODE DDK — unit of the medicine-volume variable VOLUME: Danish defined daily dose (DDD-DK),LMDB VOLTYPECODE DDK — enhed for lægemiddelmængden VOLUME: DøgnDosis DK,,,LMDB VOLTYPECODE DDK — unit of the medicine-volume variable VOLUME: Danish defined daily dose (DDD-DK),,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,217,22,2e-06,,
