code,prefix,database,value,description,source,confidence,language
HEA_DWG_manual_bin_1,HEA,DWG,manual_bin_1,HEA DWG code: manual_bin_1,enhanced_english,medium,english
HEA_DWG_manual_bin_10,HEA,DWG,manual_bin_10,HEA DWG code: manual_bin_10,enhanced_english,medium,english
HEA_DWG_manual_bin_100_500,HEA,DWG,manual_bin_100_500,HEA DWG code: manual_bin_100_500,enhanced_english,medium,english
HEA_DWG_manual_bin_10_15,HEA,DWG,manual_bin_10_15,HEA DWG code: manual_bin_10_15,enhanced_english,medium,english
HEA_DWG_manual_bin_15_20,HEA,DWG,manual_bin_15_20,HEA DWG code: manual_bin_15_20,enhanced_english,medium,english
HEA_DWG_manual_bin_2,HEA,DWG,manual_bin_2,HEA DWG code: manual_bin_2,enhanced_english,medium,english
HEA_DWG_manual_bin_20_30,HEA,DWG,manual_bin_20_30,HEA DWG code: manual_bin_20_30,enhanced_english,medium,english
HEA_DWG_manual_bin_3,HEA,DWG,manual_bin_3,HEA DWG code: manual_bin_3,enhanced_english,medium,english
HEA_DWG_manual_bin_30_40,HEA,DWG,manual_bin_30_40,HEA DWG code: manual_bin_30_40,enhanced_english,medium,english
HEA_DWG_manual_bin_4,HEA,DWG,manual_bin_4,HEA DWG code: manual_bin_4,enhanced_english,medium,english
HEA_DWG_manual_bin_40_50,HEA,DWG,manual_bin_40_50,HEA DWG code: manual_bin_40_50,enhanced_english,medium,english
HEA_DWG_manual_bin_5,HEA,DWG,manual_bin_5,HEA DWG code: manual_bin_5,enhanced_english,medium,english
HEA_DWG_manual_bin_50_100,HEA,DWG,manual_bin_50_100,HEA DWG code: manual_bin_50_100,enhanced_english,medium,english
HEA_DWG_manual_bin_6,HEA,DWG,manual_bin_6,HEA DWG code: manual_bin_6,enhanced_english,medium,english
HEA_DWG_manual_bin_7,HEA,DWG,manual_bin_7,HEA DWG code: manual_bin_7,enhanced_english,medium,english
HEA_DWG_manual_bin_8,HEA,DWG,manual_bin_8,HEA DWG code: manual_bin_8,enhanced_english,medium,english
HEA_DWG_manual_bin_9,HEA,DWG,manual_bin_9,HEA DWG code: manual_bin_9,enhanced_english,medium,english
