code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
HEA_DWK_manual_bin_15_20,HEA,DWK,manual_bin_15_20,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, combination list) (VOLTYPECODE DWK): 15-20","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Kombinationsliste (VOLTYPECODE DWK): 15-20",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, combination list) (VOLTYPECODE DWK): 15-20",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_DWK_manual_bin_4,HEA,DWK,manual_bin_4,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, combination list) (VOLTYPECODE DWK): 4","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Kombinationsliste (VOLTYPECODE DWK): 4",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, combination list) (VOLTYPECODE DWK): 4",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_DWK_manual_bin_10,HEA,DWK,manual_bin_10,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, combination list) (VOLTYPECODE DWK): 10","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Kombinationsliste (VOLTYPECODE DWK): 10",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, combination list) (VOLTYPECODE DWK): 10",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_DWK_manual_bin_50_100,HEA,DWK,manual_bin_50_100,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, combination list) (VOLTYPECODE DWK): 50-100","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Kombinationsliste (VOLTYPECODE DWK): 50-100",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, combination list) (VOLTYPECODE DWK): 50-100",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_DWK_manual_bin_20_30,HEA,DWK,manual_bin_20_30,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, combination list) (VOLTYPECODE DWK): 20-30","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Kombinationsliste (VOLTYPECODE DWK): 20-30",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, combination list) (VOLTYPECODE DWK): 20-30",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_DWK_manual_bin_2,HEA,DWK,manual_bin_2,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, combination list) (VOLTYPECODE DWK): 2","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Kombinationsliste (VOLTYPECODE DWK): 2",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, combination list) (VOLTYPECODE DWK): 2",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_DWK_manual_bin_40_50,HEA,DWK,manual_bin_40_50,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, combination list) (VOLTYPECODE DWK): 40-50","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Kombinationsliste (VOLTYPECODE DWK): 40-50",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, combination list) (VOLTYPECODE DWK): 40-50",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_DWK_manual_bin_100_500,HEA,DWK,manual_bin_100_500,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, combination list) (VOLTYPECODE DWK): 100-500","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Kombinationsliste (VOLTYPECODE DWK): 100-500",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, combination list) (VOLTYPECODE DWK): 100-500",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_DWK_manual_bin_8,HEA,DWK,manual_bin_8,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, combination list) (VOLTYPECODE DWK): 8","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Kombinationsliste (VOLTYPECODE DWK): 8",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, combination list) (VOLTYPECODE DWK): 8",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_DWK_manual_bin_5,HEA,DWK,manual_bin_5,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, combination list) (VOLTYPECODE DWK): 5","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Kombinationsliste (VOLTYPECODE DWK): 5",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, combination list) (VOLTYPECODE DWK): 5",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
