code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people
HEA_DW_manual_bin_50_100,HEA,DW,manual_bin_50_100,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 50-100","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Index (VOLTYPECODE DW): 50-100",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 50-100",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,263563004,4803984,0.53208
HEA_DW_manual_bin_40_50,HEA,DW,manual_bin_40_50,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 40-50","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Index (VOLTYPECODE DW): 40-50",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 40-50",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,124765051,4605663,0.510115
HEA_DW_manual_bin_10,HEA,DW,manual_bin_10,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 10","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Index (VOLTYPECODE DW): 10",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 10",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,47938543,5577095,0.617709
HEA_DW_manual_bin_100_500,HEA,DW,manual_bin_100_500,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 100-500","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Index (VOLTYPECODE DW): 100-500",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 100-500",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,106046886,3305583,0.36612
HEA_DW_manual_bin_20_30,HEA,DW,manual_bin_20_30,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 20-30","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Index (VOLTYPECODE DW): 20-30",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 20-30",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,184139949,5616528,0.622076
HEA_DW_manual_bin_3,HEA,DW,manual_bin_3,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 3","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Index (VOLTYPECODE DW): 3",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 3",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,16150938,4158476,0.460585
HEA_DW_manual_bin_7,HEA,DW,manual_bin_7,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 7","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Index (VOLTYPECODE DW): 7",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 7",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,28711639,4766545,0.527934
HEA_DW_manual_bin_2,HEA,DW,manual_bin_2,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 2","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Index (VOLTYPECODE DW): 2",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 2",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,16887264,3414076,0.378137
HEA_DW_manual_bin_10_15,HEA,DW,manual_bin_10_15,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 10-15","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Index (VOLTYPECODE DW): 10-15",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 10-15",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,71296989,5571771,0.617119
HEA_DW_manual_bin_30_40,HEA,DW,manual_bin_30_40,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 30-40","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Index (VOLTYPECODE DW): 30-40",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 30-40",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,97471748,4160366,0.460794
HEA_DW_manual_bin_4,HEA,DW,manual_bin_4,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 4","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Index (VOLTYPECODE DW): 4",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 4",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,26050807,5018820,0.555875
HEA_DW_over_1000,HEA,DW,over_1000,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): over 1000","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Index (VOLTYPECODE DW): over 1000",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): over 1000",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,186508,23685,0.002623
HEA_DW_manual_bin_6,HEA,DW,manual_bin_6,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 6","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Index (VOLTYPECODE DW): 6",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 6",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,9930829,2522128,0.279346
HEA_DW_manual_bin_8,HEA,DW,manual_bin_8,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 8","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Index (VOLTYPECODE DW): 8",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 8",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,28454003,4810679,0.532822
HEA_DW_manual_bin_5,HEA,DW,manual_bin_5,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 5","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Index (VOLTYPECODE DW): 5",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 5",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,19873631,4262767,0.472136
HEA_DW_manual_bin_15_20,HEA,DW,manual_bin_15_20,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 15-20","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Index (VOLTYPECODE DW): 15-20",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 15-20",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,76681714,4689274,0.519375
HEA_DW_manual_bin_9,HEA,DW,manual_bin_9,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 9","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Index (VOLTYPECODE DW): 9",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 9",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,11885592,1726652,0.191241
HEA_DW_manual_bin_500_1000,HEA,DW,manual_bin_500_1000,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 500-1000","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Index (VOLTYPECODE DW): 500-1000",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 500-1000",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,2529445,133087,0.01474
HEA_DW_manual_bin_1,HEA,DW,manual_bin_1,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 1","Lægemiddelmængde pr. pakning (VOLUME), enhed DDD WHO Index (VOLTYPECODE DW): 1",,,"Medicine volume per package (VOLUME), unit WHO defined daily dose (DDD, main index) (VOLTYPECODE DW): 1",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,4952787,1463406,0.162084
HEA_DW,HEA,DW,,"LMDB VOLTYPECODE DW — unit of the medicine-volume variable VOLUME: WHO defined daily dose (DDD, main index)",LMDB VOLTYPECODE DW — enhed for lægemiddelmængden VOLUME: DDD WHO Index,,,"LMDB VOLTYPECODE DW — unit of the medicine-volume variable VOLUME: WHO defined daily dose (DDD, main index)",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,,276,116,1.3e-05
