code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
HEA_GP_manual_bin_20_30,HEA,GP,manual_bin_20_30,"Medicine volume per package (VOLUME), unit grams of preparation (VOLTYPECODE GP): 20-30","Lægemiddelmængde pr. pakning (VOLUME), enhed g (præparat) (VOLTYPECODE GP): 20-30",,,"Medicine volume per package (VOLUME), unit grams of preparation (VOLTYPECODE GP): 20-30",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_GP_manual_bin_15_20,HEA,GP,manual_bin_15_20,"Medicine volume per package (VOLUME), unit grams of preparation (VOLTYPECODE GP): 15-20","Lægemiddelmængde pr. pakning (VOLUME), enhed g (præparat) (VOLTYPECODE GP): 15-20",,,"Medicine volume per package (VOLUME), unit grams of preparation (VOLTYPECODE GP): 15-20",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_GP_manual_bin_40_50,HEA,GP,manual_bin_40_50,"Medicine volume per package (VOLUME), unit grams of preparation (VOLTYPECODE GP): 40-50","Lægemiddelmængde pr. pakning (VOLUME), enhed g (præparat) (VOLTYPECODE GP): 40-50",,,"Medicine volume per package (VOLUME), unit grams of preparation (VOLTYPECODE GP): 40-50",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_GP_manual_bin_10_15,HEA,GP,manual_bin_10_15,"Medicine volume per package (VOLUME), unit grams of preparation (VOLTYPECODE GP): 10-15","Lægemiddelmængde pr. pakning (VOLUME), enhed g (præparat) (VOLTYPECODE GP): 10-15",,,"Medicine volume per package (VOLUME), unit grams of preparation (VOLTYPECODE GP): 10-15",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_GP_manual_bin_50_100,HEA,GP,manual_bin_50_100,"Medicine volume per package (VOLUME), unit grams of preparation (VOLTYPECODE GP): 50-100","Lægemiddelmængde pr. pakning (VOLUME), enhed g (præparat) (VOLTYPECODE GP): 50-100",,,"Medicine volume per package (VOLUME), unit grams of preparation (VOLTYPECODE GP): 50-100",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_GP_manual_bin_10,HEA,GP,manual_bin_10,"Medicine volume per package (VOLUME), unit grams of preparation (VOLTYPECODE GP): 10","Lægemiddelmængde pr. pakning (VOLUME), enhed g (præparat) (VOLTYPECODE GP): 10",,,"Medicine volume per package (VOLUME), unit grams of preparation (VOLTYPECODE GP): 10",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_GP_manual_bin_2,HEA,GP,manual_bin_2,"Medicine volume per package (VOLUME), unit grams of preparation (VOLTYPECODE GP): 2","Lægemiddelmængde pr. pakning (VOLUME), enhed g (præparat) (VOLTYPECODE GP): 2",,,"Medicine volume per package (VOLUME), unit grams of preparation (VOLTYPECODE GP): 2",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_GP_manual_bin_30_40,HEA,GP,manual_bin_30_40,"Medicine volume per package (VOLUME), unit grams of preparation (VOLTYPECODE GP): 30-40","Lægemiddelmængde pr. pakning (VOLUME), enhed g (præparat) (VOLTYPECODE GP): 30-40",,,"Medicine volume per package (VOLUME), unit grams of preparation (VOLTYPECODE GP): 30-40",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_GP_manual_bin_5,HEA,GP,manual_bin_5,"Medicine volume per package (VOLUME), unit grams of preparation (VOLTYPECODE GP): 5","Lægemiddelmængde pr. pakning (VOLUME), enhed g (præparat) (VOLTYPECODE GP): 5",,,"Medicine volume per package (VOLUME), unit grams of preparation (VOLTYPECODE GP): 5",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
HEA_GP_manual_bin_100_500,HEA,GP,manual_bin_100_500,"Medicine volume per package (VOLUME), unit grams of preparation (VOLTYPECODE GP): 100-500","Lægemiddelmængde pr. pakning (VOLUME), enhed g (præparat) (VOLTYPECODE GP): 100-500",,,"Medicine volume per package (VOLUME), unit grams of preparation (VOLTYPECODE GP): 100-500",,,dst-lmdb-voltypecode,esundhed:lmdb_voltypecode,high,danish,,
