code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level
LAB_arblhumv_Q11,LAB,arblhumv,Q11,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 11/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 11/100 kvantil,,,Unemployment benefits and training allowance — 11/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q4,LAB,arblhumv,Q4,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 4/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 4/100 kvantil,,,Unemployment benefits and training allowance — 4/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q70,LAB,arblhumv,Q70,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 70/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 70/100 kvantil,,,Unemployment benefits and training allowance — 70/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q16,LAB,arblhumv,Q16,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 16/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 16/100 kvantil,,,Unemployment benefits and training allowance — 16/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q31,LAB,arblhumv,Q31,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 31/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 31/100 kvantil,,,Unemployment benefits and training allowance — 31/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q2,LAB,arblhumv,Q2,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 2/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 2/100 kvantil,,,Unemployment benefits and training allowance — 2/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q59,LAB,arblhumv,Q59,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 59/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 59/100 kvantil,,,Unemployment benefits and training allowance — 59/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q48,LAB,arblhumv,Q48,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 48/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 48/100 kvantil,,,Unemployment benefits and training allowance — 48/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q51,LAB,arblhumv,Q51,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 51/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 51/100 kvantil,,,Unemployment benefits and training allowance — 51/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q64,LAB,arblhumv,Q64,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 64/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 64/100 kvantil,,,Unemployment benefits and training allowance — 64/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q35,LAB,arblhumv,Q35,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 35/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 35/100 kvantil,,,Unemployment benefits and training allowance — 35/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q5,LAB,arblhumv,Q5,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 5/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 5/100 kvantil,,,Unemployment benefits and training allowance — 5/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q10,LAB,arblhumv,Q10,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 10/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 10/100 kvantil,,,Unemployment benefits and training allowance — 10/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q41,LAB,arblhumv,Q41,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 41/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 41/100 kvantil,,,Unemployment benefits and training allowance — 41/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q81,LAB,arblhumv,Q81,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 81/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 81/100 kvantil,,,Unemployment benefits and training allowance — 81/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q86,LAB,arblhumv,Q86,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 86/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 86/100 kvantil,,,Unemployment benefits and training allowance — 86/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q18,LAB,arblhumv,Q18,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 18/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 18/100 kvantil,,,Unemployment benefits and training allowance — 18/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
LAB_arblhumv_Q36,LAB,arblhumv,Q36,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 36/100 kvantil,Arbejdsløshedsdagpenge og uddannelsesgodtgørelse — 36/100 kvantil,,,Unemployment benefits and training allowance — 36/100 quantile,,,dst_times_arblhumv,generated_pattern,high,english,,
