code,prefix,database,value,description,description_da,description_da_alt,description_da_full,description_en,description_en_official,description_en_official_source,description_en_source,source,confidence,language,parent_code,hierarchy_level,n_occurrences,n_people,pct_people
LAB_assets_Q26,LAB,assets,Q26,"Nettoformue ultimo året, ekskl. pensionsformue — 26/100 kvantil","Nettoformue ultimo året, ekskl. pensionsformue — 26/100 kvantil",,,Net residual wealth at end of year (excl. pension assets) — 26/100 quantile,,,dst_times_formrest_ny05,manual_update,high,english,,,4842944,2769190,0.30671
LAB_assets_Q31,LAB,assets,Q31,"Nettoformue ultimo året, ekskl. pensionsformue — 31/100 kvantil","Nettoformue ultimo året, ekskl. pensionsformue — 31/100 kvantil",,,Net residual wealth at end of year (excl. pension assets) — 31/100 quantile,,,dst_times_formrest_ny05,manual_update,high,english,,,9839213,4272161,0.473177
LAB_assets_Q25,LAB,assets,Q25,"Nettoformue ultimo året, ekskl. pensionsformue — 25/100 kvantil","Nettoformue ultimo året, ekskl. pensionsformue — 25/100 kvantil",,,Net residual wealth at end of year (excl. pension assets) — 25/100 quantile,,,dst_times_formrest_ny05,manual_update,high,english,,,4548526,2536124,0.280896
LAB_assets_Q23,LAB,assets,Q23,"Nettoformue ultimo året, ekskl. pensionsformue — 23/100 kvantil","Nettoformue ultimo året, ekskl. pensionsformue — 23/100 kvantil",,,Net residual wealth at end of year (excl. pension assets) — 23/100 quantile,,,dst_times_formrest_ny05,manual_update,high,english,,,3102269,1830583,0.202752
LAB_assets_Q12,LAB,assets,Q12,"Nettoformue ultimo året, ekskl. pensionsformue — 12/100 kvantil","Nettoformue ultimo året, ekskl. pensionsformue — 12/100 kvantil",,,Net residual wealth at end of year (excl. pension assets) — 12/100 quantile,,,dst_times_formrest_ny05,manual_update,high,english,,,985469,652094,0.072225
LAB_assets_Q27,LAB,assets,Q27,"Nettoformue ultimo året, ekskl. pensionsformue — 27/100 kvantil","Nettoformue ultimo året, ekskl. pensionsformue — 27/100 kvantil",,,Net residual wealth at end of year (excl. pension assets) — 27/100 quantile,,,dst_times_formrest_ny05,manual_update,high,english,,,6152223,3259356,0.361
LAB_assets_Q15,LAB,assets,Q15,"Nettoformue ultimo året, ekskl. pensionsformue — 15/100 kvantil","Nettoformue ultimo året, ekskl. pensionsformue — 15/100 kvantil",,,Net residual wealth at end of year (excl. pension assets) — 15/100 quantile,,,dst_times_formrest_ny05,manual_update,high,english,,,1219223,809012,0.089605
LAB_assets_Q14,LAB,assets,Q14,"Nettoformue ultimo året, ekskl. pensionsformue — 14/100 kvantil","Nettoformue ultimo året, ekskl. pensionsformue — 14/100 kvantil",,,Net residual wealth at end of year (excl. pension assets) — 14/100 quantile,,,dst_times_formrest_ny05,manual_update,high,english,,,1129200,751196,0.083201
LAB_assets_Q22,LAB,assets,Q22,"Nettoformue ultimo året, ekskl. pensionsformue — 22/100 kvantil","Nettoformue ultimo året, ekskl. pensionsformue — 22/100 kvantil",,,Net residual wealth at end of year (excl. pension assets) — 22/100 quantile,,,dst_times_formrest_ny05,manual_update,high,english,,,2698457,1640219,0.181668
LAB_assets_Q29,LAB,assets,Q29,"Nettoformue ultimo året, ekskl. pensionsformue — 29/100 kvantil","Nettoformue ultimo året, ekskl. pensionsformue — 29/100 kvantil",,,Net residual wealth at end of year (excl. pension assets) — 29/100 quantile,,,dst_times_formrest_ny05,manual_update,high,english,,,8581630,3860634,0.427597
LAB_assets_Q30,LAB,assets,Q30,"Nettoformue ultimo året, ekskl. pensionsformue — 30/100 kvantil","Nettoformue ultimo året, ekskl. pensionsformue — 30/100 kvantil",,,Net residual wealth at end of year (excl. pension assets) — 30/100 quantile,,,dst_times_formrest_ny05,manual_update,high,english,,,8885412,3931442,0.435439
LAB_assets_Q21,LAB,assets,Q21,"Nettoformue ultimo året, ekskl. pensionsformue — 21/100 kvantil","Nettoformue ultimo året, ekskl. pensionsformue — 21/100 kvantil",,,Net residual wealth at end of year (excl. pension assets) — 21/100 quantile,,,dst_times_formrest_ny05,manual_update,high,english,,,2355370,1459939,0.1617
