code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
LAB_branche_77_72001,LAB,branche,77_72001,Postvæsen,Postvæsen,,CSV:LAB_branche_from_raw_fixed,medium,danish,,
LAB_branche_77_31111,LAB,branche,77_31111,Svineslagterier,Svineslagterier,,CSV:LAB_branche_from_raw_fixed,medium,danish,,
LAB_branche_77_93501,LAB,branche,77_93501,Arbejdsgiverforeninger og erhvervsorganisatio,Arbejdsgiverforeninger og erhvervsorganisatio,,CSV:LAB_branche_from_raw_fixed,medium,danish,,
LAB_branche_77_61166,LAB,branche,77_61166,Handel med kemikalier,Handel med kemikalier,,CSV:LAB_branche_from_raw_fixed,medium,danish,,
LAB_branche_77_91050,LAB,branche,77_91050,Kommunal administration,Kommunal administration,,CSV:LAB_branche_from_raw_fixed,medium,danish,,
LAB_branche_77_93104,LAB,branche,77_93104,"Højskoler, efterskoler og aftenskoler","Højskoler, efterskoler og aftenskoler",,CSV:LAB_branche_from_raw_fixed,medium,danish,,
LAB_branche_77_62162,LAB,branche,77_62162,Tæppeforretninger,Tæppeforretninger,,CSV:LAB_branche_from_raw_fixed,medium,danish,,
LAB_branche_77_50191,LAB,branche,77_50191,Gulvbelægnings- og terrazzoforretninger,Gulvbelægnings- og terrazzoforretninger,,CSV:LAB_branche_from_raw_fixed,medium,danish,,
LAB_branche_77_33201,LAB,branche,77_33201,Træ- og polstermøbelfabr.,Træ- og polstermøbelfabr.,,CSV:LAB_branche_from_raw_fixed,medium,danish,,
LAB_branche_77_32212,LAB,branche,77_32212,Kjolekonfektionsfabrikker,Kjolekonfektionsfabrikker,,CSV:LAB_branche_from_raw_fixed,medium,danish,,
LAB_branche_77_32129,LAB,branche,77_32129,Fremstilling af div. færdige tekstilvarer,Fremstilling af div. færdige tekstilvarer,,CSV:LAB_branche_from_raw_fixed,medium,danish,,
LAB_branche_77_32190,LAB,branche,77_32190,"Fremst. af div. tekstilv.heru. tvist-og vat,","Fremst. af div. tekstilv.heru. tvist-og vat,",,CSV:LAB_branche_from_raw_fixed,medium,danish,,
LAB_branche_77_11101,LAB,branche,77_11101,Landbrug,Landbrug,,CSV:LAB_branche_from_raw_fixed,medium,danish,,
LAB_branche_77_91030,LAB,branche,77_91030,Forsvar og civilforsvar,Forsvar og civilforsvar,,CSV:LAB_branche_from_raw_fixed,medium,danish,,
LAB_branche_77_61184,LAB,branche,77_61184,Handel med kontor- og datamaskiner og udstyr,Handel med kontor- og datamaskiner og udstyr,,CSV:LAB_branche_from_raw_fixed,medium,danish,,
LAB_branche_77_83310,LAB,branche,77_83310,Finansiel leasing,Finansiel leasing,,CSV:LAB_branche_from_raw_fixed,medium,danish,,
