code,prefix,database,value,description,description_da,description_en,source,confidence,language,parent_code,hierarchy_level
LAB_db07_531000,LAB,db07,531000,Posttjenester omfattet af forsyningspligten (via 531),Posttjenester omfattet af forsyningspligten (via 531),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_53100,detail
LAB_db07_889910,LAB,db07,889910,Andre sociale foranstaltninger uden institutionsophold (via 889),Andre sociale foranstaltninger uden institutionsophold (via 889),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_88991,detail
LAB_db07_222900,LAB,db07,222900,Fremstilling af plastprodukter (via 222),Fremstilling af plastprodukter (via 222),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_22290,detail
LAB_db07_749010,LAB,db07,749010,"Andre liberale, videnskabelige og tekniske tjenesteydelser i.a.n. (via 749)","Andre liberale, videnskabelige og tekniske tjenesteydelser i.a.n. (via 749)",,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_74901,detail
LAB_db07_941100,LAB,db07,941100,Erhvervs- og arbejdsgiverorganisationer samt faglige sammenslutninger (via 941),Erhvervs- og arbejdsgiverorganisationer samt faglige sammenslutninger (via 941),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_94110,detail
LAB_db07_682040,LAB,db07,682040,Udlejning af og virksomhed i forbindelse med egen eller leaset fast ejendom (via 682),Udlejning af og virksomhed i forbindelse med egen eller leaset fast ejendom (via 682),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_68204,detail
LAB_db07_162400,LAB,db07,162400,"Fremstilling af varer af træ, kork, strå og flettematerialer (via 162)","Fremstilling af varer af træ, kork, strå og flettematerialer (via 162)",,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_16240,detail
LAB_db07_721100,LAB,db07,721100,Forskning og eksperimentel udvikling indenfor naturvidenskab og teknik (via 721),Forskning og eksperimentel udvikling indenfor naturvidenskab og teknik (via 721),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_72110,detail
LAB_db07_141300,LAB,db07,141300,Fremstilling af beklædningsartikler undtagen beklædningsartikler af pelsskind (via 141),Fremstilling af beklædningsartikler undtagen beklædningsartikler af pelsskind (via 141),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_14130,detail
LAB_db07_139210,LAB,db07,139210,Fremstilling af andre tekstiler (via 139),Fremstilling af andre tekstiler (via 139),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_13921,detail
LAB_db07_702200,LAB,db07,702200,Virksomhedsrådgivning (via 702),Virksomhedsrådgivning (via 702),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_70220,detail
LAB_db07_14100,LAB,db07,14100,Fremstilling af beklædningsartikler undtagen beklædningsartikler af pelsskind (via 141),Fremstilling af beklædningsartikler undtagen beklædningsartikler af pelsskind (via 141),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_1410,subclass
LAB_db07_842200,LAB,db07,842200,Tjenesteydelser til samfundet som helhed (via 842),Tjenesteydelser til samfundet som helhed (via 842),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_84220,detail
LAB_db07_855300,LAB,db07,855300,Anden undervisning (via 855),Anden undervisning (via 855),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_85530,detail
LAB_db07_651200,LAB,db07,651200,Forsikring (via 651),Forsikring (via 651),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_65120,detail
LAB_db07_692000,LAB,db07,692000,Bogføring og revision; skatterådgivning (via 692),Bogføring og revision; skatterådgivning (via 692),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_69200,detail
LAB_db07_259200,LAB,db07,259200,Fremstilling af andre færdige metalprodukter (via 259),Fremstilling af andre færdige metalprodukter (via 259),,CSV:LAB_db07_hierarchical,medium,danish,LAB_db07_25920,detail
